# Area: Finland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  64.96   Longitude 26.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,0.43,2.45,8.46,14.33,18.91,18.6,15.11,12.83,6.72,2.35,0.62,0.16,8.43
ALLSKY_SFC_SW_DWN,1985,0.45,2.55,7.78,14.69,17.54,18.16,18.53,11.97,7.51,2.48,0.63,0.16,8.57
ALLSKY_SFC_SW_DWN,1986,0.45,2.48,6.86,14.17,15.55,20.52,18.38,10.28,7.56,3.25,0.67,0.15,8.38
ALLSKY_SFC_SW_DWN,1987,0.39,2.44,8.06,14.49,15.6,15.13,16.3,11.07,6.36,2.97,0.69,0.15,7.83
ALLSKY_SFC_SW_DWN,1988,0.42,2.6,7.79,13.84,17.16,17.84,17.77,9.76,6.6,2.71,0.59,0.15,8.11
ALLSKY_SFC_SW_DWN,1989,0.47,1.96,6.29,12.49,16.32,19.33,18.28,12.88,7.04,3.13,0.65,0.14,8.28
ALLSKY_SFC_SW_DWN,1990,0.4,1.82,6.31,13.3,17.81,18.84,15.37,12.72,7.91,2.61,0.72,0.16,8.19
ALLSKY_SFC_SW_DWN,1991,0.4,2.34,6.6,12.39,13.28,14.47,15.49,12.77,7.7,2.2,0.63,0.15,7.39
ALLSKY_SFC_SW_DWN,1992,0.39,2.27,6.39,13.69,18.02,21.35,16.2,9.9,6.25,3.31,0.64,0.16,8.22
ALLSKY_SFC_SW_DWN,1993,0.41,2.67,7.09,14.61,16.96,15.32,16.9,11.29,7.88,2.84,0.69,0.16,8.1
ALLSKY_SFC_SW_DWN,1994,0.41,2.43,6.49,11.89,17.68,18.27,19.65,13.78,7.3,3.18,0.68,0.16,8.53
ALLSKY_SFC_SW_DWN,1995,0.41,1.98,6.1,12.81,15.9,20.58,17.79,13.75,7.84,2.48,0.73,0.15,8.41
ALLSKY_SFC_SW_DWN,1996,0.42,2.28,7.7,12.41,17.76,17.92,17.14,16.36,7.77,2.36,0.66,0.15,8.6
ALLSKY_SFC_SW_DWN,1997,0.42,2.14,7.05,13.49,15.94,21.04,19.61,14.96,7.57,2.71,0.72,0.16,8.85
ALLSKY_SFC_SW_DWN,1998,0.39,1.81,7.18,14.18,16.36,17.27,16.2,11.09,7.6,2.56,0.69,0.15,7.98
ALLSKY_SFC_SW_DWN,1999,0.39,2.49,7.27,12.96,17.74,19.67,16.37,13.28,8.96,2.4,0.68,0.16,8.56
ALLSKY_SFC_SW_DWN,2000,0.43,2.41,7.21,13.27,17.36,17.31,17.66,12.51,8.52,3.1,0.64,0.15,8.4
ALLSKY_SFC_SW_DWN,2001,0.4,2.87,7.55,11.69,16.28,19.58,17.74,13.56,7.43,2.36,0.84,0.17,8.4
ALLSKY_SFC_SW_DWN,2002,0.45,1.86,6.87,11.79,18.4,19.76,17.39,14.23,7.87,3.46,0.82,0.17,8.63
ALLSKY_SFC_SW_DWN,2003,0.51,2.06,6.38,12.82,14.67,18.39,18.58,11.63,8.69,2.84,0.6,0.16,8.14
ALLSKY_SFC_SW_DWN,2004,0.44,2.37,6.65,14.73,13.83,16.99,16.95,12.35,6.88,2.75,0.69,0.15,7.91
ALLSKY_SFC_SW_DWN,2005,0.47,2.79,8.62,13.81,16.31,18.98,19.97,13.33,8.22,3.05,0.47,0.16,8.88
ALLSKY_SFC_SW_DWN,2006,0.53,2.74,8.27,11.49,15.94,20.71,20.83,15.34,6.65,2.19,0.78,0.14,8.84
ALLSKY_SFC_SW_DWN,2007,0.44,2.74,6.52,12.35,15.05,21.53,15.31,13.98,6.79,2.55,0.69,0.14,8.2
ALLSKY_SFC_SW_DWN,2008,0.37,2.03,6.28,12.4,17.65,17.17,16.75,10.83,6.75,2.56,0.66,0.14,7.81
ALLSKY_SFC_SW_DWN,2009,0.45,2.31,6.49,13.82,18.67,19.13,16.5,14.61,8.08,3.07,0.54,0.16,8.68
ALLSKY_SFC_SW_DWN,2010,0.53,2.69,6.7,10.72,17.28,20.11,18.37,12.18,6.81,2.76,0.72,0.17,8.28
ALLSKY_SFC_SW_DWN,2011,0.45,3.01,7.48,12.28,17.29,20.09,17.57,12.56,7.3,2.59,0.67,0.14,8.48
ALLSKY_SFC_SW_DWN,2012,0.52,2.32,7.16,10.59,17.23,16.89,17.02,12.92,6.85,2.3,0.57,0.16,7.9
ALLSKY_SFC_SW_DWN,2013,0.49,2.06,8.78,12.71,18.92,18.48,16.37,13.95,7.6,2.94,0.64,0.15,8.63
ALLSKY_SFC_SW_DWN,2014,0.62,1.42,6.92,13.63,15.64,17.9,19.77,13.6,8.12,2.89,0.68,0.15,8.48
ALLSKY_SFC_SW_DWN,2015,0.4,1.69,6.46,11.7,14.19,16.56,14.99,15.49,7.42,3.51,0.71,0.15,7.81
ALLSKY_SFC_SW_DWN,2016,0.43,1.85,6.5,9.93,17.45,18.14,16.83,11.97,7.47,2.85,0.79,0.16,7.88
ALLSKY_SFC_SW_DWN,2017,0.46,2.21,7.09,11.71,17.03,19.53,16.62,12.14,6.09,2.26,0.7,0.15,8.03
ALLSKY_SFC_SW_DWN,2018,0.44,2.85,7.64,13.14,20.74,19.18,21.23,13.59,7.36,3.33,0.58,0.15,9.23
ALLSKY_SFC_SW_DWN,2019,0.54,2.33,6.38,14.82,14.8,21.05,17.69,12.38,7.8,2.69,0.65,0.16,8.46
ALLSKY_SFC_SW_DWN,2020,0.43,2.22,7.2,12.8,18.52,22.74,16.25,14.12,7.45,2.42,0.65,0.14,8.76
ALLSKY_SFC_SW_DWN,2021,0.4,2.65,7.5,12.21,15.26,21.83,20.69,12.2,7.53,2.2,0.67,0.17,8.64
ALLSKY_SFC_SW_DWN,2022,0.47,2.13,7.88,12.99,16.49,19.55,16.6,13.58,6.5,2.77,0.7,0.15,8.35
ALLSKY_SFC_SW_DWN,2023,0.51,2.45,7.42,15.03,18.0,19.91,14.98,13.73,6.52,3.1,0.74,0.16,8.58
