# Area: France
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  46.23   Longitude 2.21 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 593.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,3.88,6.64,11.71,17.97,15.89,20.02,22.11,16.97,11.48,7.49,5.02,3.86,11.93
ALLSKY_SFC_SW_DWN,1985,4.69,7.63,9.68,15.84,14.87,19.4,21.4,18.35,16.68,10.74,4.61,3.37,12.29
ALLSKY_SFC_SW_DWN,1986,4.21,7.9,11.44,13.16,17.01,20.16,21.81,17.15,13.87,9.33,5.82,3.94,12.17
ALLSKY_SFC_SW_DWN,1987,5.04,6.14,10.44,15.98,17.33,16.7,19.01,17.75,14.44,7.6,4.89,3.37,11.59
ALLSKY_SFC_SW_DWN,1988,3.96,7.34,8.9,16.67,16.79,20.97,21.73,18.79,11.77,8.49,5.91,3.01,12.03
ALLSKY_SFC_SW_DWN,1989,5.53,7.34,11.24,12.29,22.13,20.08,21.12,19.35,14.56,9.67,6.27,4.19,12.85
ALLSKY_SFC_SW_DWN,1990,4.79,7.18,12.31,14.39,20.4,18.3,22.63,19.58,15.09,8.95,4.98,3.73,12.73
ALLSKY_SFC_SW_DWN,1991,4.23,7.88,9.99,16.42,19.66,18.77,21.72,20.88,14.31,8.16,5.21,4.66,12.69
ALLSKY_SFC_SW_DWN,1992,5.5,8.18,9.7,16.28,21.32,16.8,19.74,18.6,14.93,6.76,4.9,3.61,12.2
ALLSKY_SFC_SW_DWN,1993,4.43,7.28,12.95,13.84,17.54,20.42,21.17,19.73,11.61,7.21,5.48,2.8,12.07
ALLSKY_SFC_SW_DWN,1994,3.99,6.31,10.92,13.39,19.68,21.59,23.14,18.96,11.94,9.61,4.88,3.32,12.35
ALLSKY_SFC_SW_DWN,1995,4.06,6.0,10.92,13.77,19.43,20.8,22.23,18.77,12.16,9.8,5.5,2.92,12.24
ALLSKY_SFC_SW_DWN,1996,4.59,4.53,11.18,17.33,15.75,23.43,22.03,17.91,15.1,8.44,3.81,3.31,12.3
ALLSKY_SFC_SW_DWN,1997,4.87,7.45,13.12,20.22,20.41,17.55,20.95,19.33,16.18,9.69,4.97,3.11,13.18
ALLSKY_SFC_SW_DWN,1998,4.01,8.08,12.03,13.0,23.42,21.51,20.41,20.47,12.22,6.82,5.06,3.35,12.56
ALLSKY_SFC_SW_DWN,1999,4.46,7.95,11.51,14.85,18.05,21.09,22.57,18.7,13.61,8.7,4.88,3.22,12.49
ALLSKY_SFC_SW_DWN,2000,4.85,7.08,12.37,14.46,19.18,21.91,20.1,18.89,14.15,7.5,4.41,3.55,12.38
ALLSKY_SFC_SW_DWN,2001,4.02,6.3,8.99,12.43,18.7,22.61,20.93,19.09,12.49,9.53,5.27,3.64,12.03
ALLSKY_SFC_SW_DWN,2002,4.96,6.08,12.46,16.31,18.24,22.13,19.49,15.45,13.53,8.16,4.83,2.5,12.04
ALLSKY_SFC_SW_DWN,2003,4.65,7.3,14.21,17.13,18.32,22.97,22.54,20.13,15.09,8.73,5.34,3.53,13.36
ALLSKY_SFC_SW_DWN,2004,3.48,8.28,11.42,14.19,20.95,23.13,20.38,17.4,15.04,8.5,4.37,3.34,12.54
ALLSKY_SFC_SW_DWN,2005,4.33,6.49,10.97,15.39,20.53,23.35,20.39,19.36,13.72,8.88,5.53,3.41,12.73
ALLSKY_SFC_SW_DWN,2006,4.41,5.93,11.9,16.42,16.68,24.92,23.16,15.88,13.54,8.55,5.53,3.73,12.58
ALLSKY_SFC_SW_DWN,2007,4.11,7.24,11.51,19.2,16.97,18.75,19.28,16.06,14.8,9.73,5.15,4.1,12.26
ALLSKY_SFC_SW_DWN,2008,5.09,8.97,10.04,14.96,19.27,19.82,21.98,17.3,14.47,8.5,4.29,3.41,12.35
ALLSKY_SFC_SW_DWN,2009,5.04,7.17,13.11,15.3,19.82,22.17,21.25,20.32,14.3,9.38,4.88,3.04,13.02
ALLSKY_SFC_SW_DWN,2010,3.71,6.98,12.23,17.83,16.58,19.17,22.24,18.41,14.41,9.36,4.11,3.26,12.38
ALLSKY_SFC_SW_DWN,2011,4.5,7.14,12.24,19.67,22.72,20.04,19.72,18.9,14.94,9.82,5.69,3.18,13.24
ALLSKY_SFC_SW_DWN,2012,3.83,8.83,14.15,13.64,18.84,20.24,21.42,19.76,14.45,8.41,4.9,3.19,12.65
ALLSKY_SFC_SW_DWN,2013,3.48,6.64,10.15,14.7,15.53,19.81,23.22,20.33,13.03,7.92,4.27,4.59,12.0
ALLSKY_SFC_SW_DWN,2014,4.27,7.12,13.63,16.2,19.42,23.05,18.33,18.01,15.87,9.57,5.24,3.11,12.84
ALLSKY_SFC_SW_DWN,2015,4.03,7.29,11.1,17.58,20.05,23.66,23.09,18.48,13.84,8.62,5.83,4.8,13.22
ALLSKY_SFC_SW_DWN,2016,4.05,6.08,11.41,14.91,16.91,18.13,22.36,20.72,14.35,9.5,4.78,4.39,12.32
ALLSKY_SFC_SW_DWN,2017,4.71,7.24,11.82,18.9,20.18,23.18,20.3,18.55,12.89,9.77,4.93,3.09,12.99
ALLSKY_SFC_SW_DWN,2018,3.62,7.12,11.23,16.02,18.89,23.11,23.49,20.25,16.58,9.63,5.11,3.31,13.23
ALLSKY_SFC_SW_DWN,2019,3.75,9.42,13.35,16.79,18.95,22.24,23.86,19.74,15.33,7.68,4.99,3.82,13.34
ALLSKY_SFC_SW_DWN,2020,4.79,7.82,12.58,18.81,21.77,21.11,23.94,18.65,14.93,6.81,6.32,3.24,13.41
ALLSKY_SFC_SW_DWN,2021,3.85,7.7,12.77,18.05,18.65,20.85,18.66,17.47,14.64,10.4,4.85,3.43,12.63
ALLSKY_SFC_SW_DWN,2022,4.68,8.27,12.38,16.27,22.37,22.56,26.1,20.5,14.67,9.0,5.26,3.32,13.82
ALLSKY_SFC_SW_DWN,2023,3.7,8.38,11.45,15.66,19.65,23.08,21.7,18.58,16.25,9.89,4.92,3.58,13.09
