# Area: French Polynesia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -17.53   Longitude -149.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,21.42,22.28,20.74,18.57,14.49,13.13,13.44,16.68,19.3,19.12,20.78,17.66,18.11
ALLSKY_SFC_SW_DWN,1985,19.32,23.05,21.19,16.65,14.38,12.74,13.84,16.53,19.16,20.17,21.82,20.81,18.27
ALLSKY_SFC_SW_DWN,1986,21.41,18.52,21.5,19.27,13.52,14.39,14.57,16.94,20.66,21.84,22.35,18.93,18.65
ALLSKY_SFC_SW_DWN,1987,22.13,22.49,22.33,15.63,15.39,13.76,14.06,16.22,18.86,19.24,23.31,20.6,18.65
ALLSKY_SFC_SW_DWN,1988,20.57,20.64,18.2,18.66,14.69,14.17,13.79,17.81,20.72,21.42,25.55,23.19,19.1
ALLSKY_SFC_SW_DWN,1989,22.23,23.01,20.8,18.8,15.33,13.66,14.77,17.14,20.53,21.14,19.04,20.46,18.88
ALLSKY_SFC_SW_DWN,1990,24.37,18.46,19.49,18.89,15.32,14.15,14.66,17.32,18.68,20.9,21.7,22.13,18.85
ALLSKY_SFC_SW_DWN,1991,22.93,24.08,21.21,17.72,14.34,13.55,13.89,16.1,18.11,20.45,24.84,19.41,18.85
ALLSKY_SFC_SW_DWN,1992,21.93,23.63,19.55,18.33,15.56,13.56,14.53,16.29,20.62,21.7,21.61,20.42,18.96
ALLSKY_SFC_SW_DWN,1993,21.22,21.89,22.54,19.3,14.87,12.86,13.62,17.62,21.01,22.17,23.86,22.5,19.44
ALLSKY_SFC_SW_DWN,1994,22.52,24.11,21.01,18.53,14.51,13.44,14.16,15.43,19.7,21.5,22.2,20.62,18.94
ALLSKY_SFC_SW_DWN,1995,22.47,20.74,22.21,16.14,15.03,14.97,15.77,17.82,19.05,20.27,22.18,19.78,18.86
ALLSKY_SFC_SW_DWN,1996,24.29,20.64,20.27,17.33,16.14,15.25,15.92,16.91,18.71,20.99,23.42,22.05,19.33
ALLSKY_SFC_SW_DWN,1997,22.75,21.82,19.54,18.16,14.65,14.33,15.43,17.35,20.22,22.17,21.39,20.53,19.01
ALLSKY_SFC_SW_DWN,1998,24.66,22.42,18.5,15.96,14.85,13.61,14.57,16.19,19.85,22.26,23.8,21.73,19.01
ALLSKY_SFC_SW_DWN,1999,22.89,22.11,20.19,19.54,15.24,14.59,15.49,18.19,20.58,23.33,23.23,23.89,19.93
ALLSKY_SFC_SW_DWN,2000,21.41,21.93,19.89,17.82,15.85,13.81,14.11,18.67,20.79,22.97,24.15,21.22,19.38
ALLSKY_SFC_SW_DWN,2001,23.88,21.73,21.65,17.94,12.72,14.95,15.04,17.97,19.71,20.88,22.54,17.2,18.83
ALLSKY_SFC_SW_DWN,2002,25.1,24.77,21.36,17.45,15.9,14.53,15.15,17.96,20.29,24.26,25.55,20.81,20.23
ALLSKY_SFC_SW_DWN,2003,21.33,20.77,21.39,17.78,16.06,12.88,15.39,18.33,21.33,21.98,21.24,22.64,19.26
ALLSKY_SFC_SW_DWN,2004,22.25,23.14,20.26,18.01,15.86,14.88,15.35,18.55,20.93,21.41,23.1,23.47,19.75
ALLSKY_SFC_SW_DWN,2005,25.83,17.33,21.22,18.48,14.81,15.33,15.82,17.26,18.79,23.96,23.5,22.64,19.61
ALLSKY_SFC_SW_DWN,2006,22.08,21.4,22.7,16.38,14.9,15.06,14.69,16.89,20.25,19.81,22.82,21.84,19.05
ALLSKY_SFC_SW_DWN,2007,17.73,22.7,19.63,18.87,15.28,15.17,15.92,17.6,20.43,21.39,21.79,18.29,18.7
ALLSKY_SFC_SW_DWN,2008,21.16,23.87,19.97,18.59,17.31,14.08,15.33,18.97,20.22,24.49,22.91,23.51,20.02
ALLSKY_SFC_SW_DWN,2009,22.33,22.57,19.61,19.06,15.81,15.04,15.45,16.34,18.08,22.37,21.28,25.27,19.42
ALLSKY_SFC_SW_DWN,2010,19.5,19.65,20.18,19.62,15.76,13.92,15.65,17.55,19.37,21.58,23.86,24.67,19.27
ALLSKY_SFC_SW_DWN,2011,23.02,23.89,22.24,19.43,14.27,14.79,15.8,18.86,21.91,21.63,21.63,23.87,20.09
ALLSKY_SFC_SW_DWN,2012,21.26,23.61,18.78,16.72,17.01,14.83,15.17,17.25,20.25,23.04,25.45,17.31,19.2
ALLSKY_SFC_SW_DWN,2013,17.8,20.26,21.45,16.48,16.02,15.1,14.87,18.1,20.07,22.25,24.61,24.55,19.29
ALLSKY_SFC_SW_DWN,2014,23.54,20.02,18.87,18.02,15.84,13.49,16.38,16.41,19.53,20.97,22.92,20.07,18.83
ALLSKY_SFC_SW_DWN,2015,21.19,24.3,20.95,19.16,15.48,14.74,14.03,15.92,18.84,19.9,22.61,22.76,19.12
ALLSKY_SFC_SW_DWN,2016,21.24,18.64,20.35,14.2,13.89,12.48,15.29,17.26,21.53,23.25,23.71,23.04,18.75
ALLSKY_SFC_SW_DWN,2017,21.22,21.51,19.66,16.88,15.45,13.89,15.27,16.74,20.37,20.73,21.31,21.81,18.72
ALLSKY_SFC_SW_DWN,2018,22.59,17.46,20.93,17.16,15.78,14.89,15.33,16.75,20.34,22.54,24.11,24.02,19.34
ALLSKY_SFC_SW_DWN,2019,21.7,21.18,19.73,16.45,14.66,12.94,14.58,18.72,19.92,23.18,22.94,18.11,18.66
ALLSKY_SFC_SW_DWN,2020,22.88,22.32,21.21,18.67,15.61,13.58,14.59,18.11,22.24,21.78,22.03,21.95,19.57
ALLSKY_SFC_SW_DWN,2021,23.81,22.25,21.46,18.74,16.77,13.49,15.19,17.73,21.83,21.43,24.48,24.88,20.16
ALLSKY_SFC_SW_DWN,2022,18.52,24.81,23.31,19.1,16.76,14.35,15.76,15.59,21.89,22.39,19.86,24.67,19.72
ALLSKY_SFC_SW_DWN,2023,21.2,23.82,21.06,17.25,15.76,15.45,15.47,18.19,16.72,21.27,20.85,19.79,18.88
