# Area: Grenada
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.26   Longitude -61.6 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.46,19.54,21.26,20.91,20.94,19.36,17.64,19.41,18.86,16.81,15.25,15.99,18.61
ALLSKY_SFC_SW_DWN,1985,16.62,18.31,20.2,19.45,20.16,17.0,17.97,19.37,18.46,16.47,16.72,15.91,18.05
ALLSKY_SFC_SW_DWN,1986,17.33,18.96,21.01,20.37,17.87,17.03,18.62,18.62,18.79,18.95,16.88,16.67,18.42
ALLSKY_SFC_SW_DWN,1987,16.88,19.13,20.5,21.57,20.08,17.44,18.84,19.84,19.57,19.42,16.76,16.53,18.88
ALLSKY_SFC_SW_DWN,1988,17.51,18.12,21.51,21.76,22.91,19.93,20.39,18.68,17.78,16.68,15.86,15.88,18.92
ALLSKY_SFC_SW_DWN,1989,18.22,19.14,19.53,21.63,21.31,17.79,18.77,22.12,18.21,20.09,15.95,16.72,19.13
ALLSKY_SFC_SW_DWN,1990,17.02,19.07,20.4,21.61,19.66,17.11,19.29,19.87,20.67,16.42,17.01,17.32,18.78
ALLSKY_SFC_SW_DWN,1991,17.73,19.89,21.51,20.67,21.58,19.28,18.14,20.61,19.61,18.9,14.95,15.81,19.05
ALLSKY_SFC_SW_DWN,1992,16.47,18.07,20.97,20.97,19.23,14.15,18.61,19.13,18.26,20.88,15.16,16.96,18.25
ALLSKY_SFC_SW_DWN,1993,19.39,21.0,22.69,23.21,22.16,19.49,21.92,21.2,21.16,19.88,18.61,17.79,20.71
ALLSKY_SFC_SW_DWN,1994,18.89,20.67,22.36,24.33,23.71,21.64,22.02,22.03,20.53,20.37,16.94,17.08,20.88
ALLSKY_SFC_SW_DWN,1995,17.56,18.1,20.44,21.27,24.32,19.6,22.05,20.86,21.48,19.07,18.94,18.67,20.21
ALLSKY_SFC_SW_DWN,1996,19.28,21.15,22.45,22.44,22.04,18.9,19.27,22.16,19.58,18.66,17.68,17.38,20.08
ALLSKY_SFC_SW_DWN,1997,18.84,19.96,22.9,24.18,23.28,20.61,20.91,20.6,21.82,19.81,19.19,18.04,20.85
ALLSKY_SFC_SW_DWN,1998,19.17,22.03,22.16,22.88,21.44,18.61,21.84,22.63,21.97,17.03,19.0,16.58,20.43
ALLSKY_SFC_SW_DWN,1999,18.92,21.17,22.88,22.96,24.5,20.41,21.46,22.99,21.17,19.3,16.96,16.72,20.79
ALLSKY_SFC_SW_DWN,2000,18.12,20.38,21.16,23.45,21.98,19.45,22.85,22.73,22.36,19.28,15.4,18.5,20.48
ALLSKY_SFC_SW_DWN,2001,18.56,21.13,24.02,23.44,23.51,21.72,21.05,22.59,21.61,18.42,20.3,15.65,20.99
ALLSKY_SFC_SW_DWN,2002,18.93,21.06,22.49,23.55,22.09,21.35,21.72,22.57,20.64,19.51,18.04,18.88,20.9
ALLSKY_SFC_SW_DWN,2003,19.33,21.51,24.43,23.47,22.15,19.51,21.3,22.43,22.7,20.46,17.56,17.44,21.02
ALLSKY_SFC_SW_DWN,2004,18.9,21.44,23.18,21.4,19.29,20.66,20.95,21.43,22.48,20.01,15.62,18.54,20.32
ALLSKY_SFC_SW_DWN,2005,16.86,21.78,23.25,23.41,23.16,18.3,19.59,23.56,22.12,18.94,17.37,17.74,20.5
ALLSKY_SFC_SW_DWN,2006,18.15,21.05,22.79,24.4,24.33,20.6,21.24,22.34,22.31,20.33,19.19,16.65,21.11
ALLSKY_SFC_SW_DWN,2007,18.99,20.55,21.43,23.94,24.18,21.81,22.49,20.98,22.06,19.06,18.7,17.67,20.98
ALLSKY_SFC_SW_DWN,2008,19.08,21.2,23.21,22.79,24.06,21.3,21.13,22.63,20.39,18.62,17.48,18.46,20.86
ALLSKY_SFC_SW_DWN,2009,18.5,20.35,22.33,23.79,22.56,21.74,19.55,22.09,22.1,21.32,19.61,19.49,21.12
ALLSKY_SFC_SW_DWN,2010,19.7,21.98,23.89,21.73,22.27,21.45,20.31,22.08,20.66,19.03,17.26,17.7,20.67
ALLSKY_SFC_SW_DWN,2011,18.77,19.47,22.65,21.24,21.5,20.44,21.38,21.86,21.92,19.56,17.22,17.0,20.26
ALLSKY_SFC_SW_DWN,2012,18.91,21.4,19.63,22.08,20.59,21.2,22.19,21.03,23.23,20.46,19.7,17.09,20.61
ALLSKY_SFC_SW_DWN,2013,19.35,21.79,23.38,22.87,21.61,20.08,23.38,21.9,22.03,19.26,19.34,16.95,20.99
ALLSKY_SFC_SW_DWN,2014,19.74,21.36,23.26,23.77,22.82,20.61,21.15,21.42,21.36,20.26,17.78,18.88,21.03
ALLSKY_SFC_SW_DWN,2015,18.39,21.62,22.75,22.6,22.51,20.86,20.63,23.06,22.41,19.13,17.72,17.13,20.73
ALLSKY_SFC_SW_DWN,2016,19.02,21.88,23.07,22.89,20.79,20.8,22.78,22.88,21.56,20.88,15.49,17.92,20.83
ALLSKY_SFC_SW_DWN,2017,18.27,20.56,22.52,23.67,21.97,18.54,22.28,21.55,19.77,18.39,19.18,18.3,20.42
ALLSKY_SFC_SW_DWN,2018,18.04,21.83,22.27,23.5,23.67,21.72,21.21,22.54,21.7,19.78,18.04,18.84,21.09
ALLSKY_SFC_SW_DWN,2019,20.57,21.85,22.84,23.74,22.75,20.21,21.94,22.51,22.39,20.1,18.3,18.12,21.27
ALLSKY_SFC_SW_DWN,2020,19.15,20.22,23.96,24.03,22.73,20.73,22.55,21.2,21.72,19.46,17.93,18.66,21.03
ALLSKY_SFC_SW_DWN,2021,18.86,21.29,22.07,22.13,22.92,20.28,21.27,22.56,22.95,20.58,19.91,18.43,21.1
ALLSKY_SFC_SW_DWN,2022,19.78,20.35,22.91,22.48,21.85,20.32,21.81,21.64,21.53,18.29,16.89,18.4,20.52
ALLSKY_SFC_SW_DWN,2023,18.58,21.98,24.34,22.57,23.45,22.19,20.57,20.12,23.76,20.19,17.57,17.58,21.06
