# Area: Haiti
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.97   Longitude -72.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.27,19.27,22.52,24.36,23.73,22.57,23.17,22.79,20.31,18.54,16.19,16.52,20.61
ALLSKY_SFC_SW_DWN,1985,17.67,19.49,21.59,22.97,23.17,24.83,23.98,23.18,22.26,17.89,17.4,16.96,20.95
ALLSKY_SFC_SW_DWN,1986,16.63,19.39,20.49,22.68,22.28,22.81,23.91,23.25,22.7,19.47,17.59,17.0,20.68
ALLSKY_SFC_SW_DWN,1987,16.72,18.75,21.32,22.8,23.56,22.96,24.38,23.76,22.13,18.71,18.48,15.38,20.75
ALLSKY_SFC_SW_DWN,1988,16.67,19.81,22.36,22.74,22.91,22.42,22.69,22.93,20.67,20.35,17.66,16.38,20.63
ALLSKY_SFC_SW_DWN,1989,17.57,18.5,21.32,22.43,22.25,23.72,23.94,23.61,23.19,19.67,18.3,16.49,20.93
ALLSKY_SFC_SW_DWN,1990,16.94,19.3,20.8,21.94,23.3,22.8,23.76,23.78,22.3,18.21,16.74,16.92,20.57
ALLSKY_SFC_SW_DWN,1991,18.06,18.78,22.09,22.76,21.99,24.11,24.2,24.45,22.68,20.72,17.84,17.12,21.25
ALLSKY_SFC_SW_DWN,1992,17.45,19.45,20.86,21.55,20.46,24.29,24.2,23.42,20.49,19.95,18.07,16.66,20.57
ALLSKY_SFC_SW_DWN,1993,16.96,20.27,20.62,21.28,19.33,23.03,25.28,24.32,20.38,20.96,17.54,16.62,20.55
ALLSKY_SFC_SW_DWN,1994,17.25,19.31,20.05,23.24,22.39,24.18,24.48,23.56,22.16,19.5,17.13,16.15,20.79
ALLSKY_SFC_SW_DWN,1995,17.54,18.18,20.67,23.03,22.72,23.92,23.88,23.16,22.55,19.6,17.55,16.49,20.78
ALLSKY_SFC_SW_DWN,1996,17.56,18.96,20.82,23.73,24.03,23.81,23.75,24.35,22.69,19.73,16.07,16.9,21.04
ALLSKY_SFC_SW_DWN,1997,17.69,20.48,21.57,24.24,24.23,23.66,24.19,23.91,22.52,17.81,17.68,16.82,21.23
ALLSKY_SFC_SW_DWN,1998,17.18,20.29,20.26,23.0,23.01,23.91,23.31,23.34,20.36,19.16,18.1,16.77,20.72
ALLSKY_SFC_SW_DWN,1999,17.96,19.06,20.92,24.79,22.73,23.47,24.21,23.49,21.95,19.36,15.72,16.09,20.82
ALLSKY_SFC_SW_DWN,2000,17.54,19.62,22.53,23.09,22.35,24.23,24.49,24.12,20.78,20.21,18.71,15.79,21.12
ALLSKY_SFC_SW_DWN,2001,16.09,20.03,21.78,23.33,21.96,24.84,24.29,24.61,22.67,18.67,15.93,16.34,20.88
ALLSKY_SFC_SW_DWN,2002,17.78,19.34,22.93,23.61,21.29,23.62,24.34,22.92,18.91,20.38,18.22,16.64,20.84
ALLSKY_SFC_SW_DWN,2003,15.94,19.61,22.27,22.44,24.3,23.44,23.38,22.22,22.92,18.64,17.31,15.76,20.68
ALLSKY_SFC_SW_DWN,2004,17.12,19.3,22.36,22.06,22.22,24.13,24.14,24.34,19.85,20.13,18.6,16.47,20.9
ALLSKY_SFC_SW_DWN,2005,17.02,20.3,21.31,22.96,19.82,20.11,22.44,22.69,21.76,15.78,17.8,16.58,19.87
ALLSKY_SFC_SW_DWN,2006,17.71,19.02,22.31,22.82,23.39,22.94,23.5,22.92,22.56,19.34,16.91,17.25,20.9
ALLSKY_SFC_SW_DWN,2007,18.6,19.17,20.53,22.75,21.28,24.45,24.38,22.48,22.64,16.21,17.1,17.33,20.58
ALLSKY_SFC_SW_DWN,2008,18.12,19.66,21.37,22.74,22.52,23.39,24.16,20.82,19.85,19.46,16.56,17.53,20.52
ALLSKY_SFC_SW_DWN,2009,17.21,19.94,22.16,22.98,21.3,22.16,24.45,24.07,23.08,19.32,18.2,16.3,20.93
ALLSKY_SFC_SW_DWN,2010,16.48,18.16,20.14,22.57,21.49,22.87,22.71,22.86,20.03,19.56,16.79,14.69,19.87
ALLSKY_SFC_SW_DWN,2011,17.58,20.43,22.86,24.37,22.04,21.32,22.69,22.71,22.05,18.46,18.91,17.58,20.91
ALLSKY_SFC_SW_DWN,2012,17.71,19.27,22.82,21.03,24.0,24.36,24.44,21.58,22.78,17.99,15.91,17.47,20.78
ALLSKY_SFC_SW_DWN,2013,18.23,20.7,20.27,23.33,22.85,23.46,23.46,23.47,21.16,19.93,17.17,17.74,20.98
ALLSKY_SFC_SW_DWN,2014,18.02,20.15,21.84,24.2,22.72,22.24,24.33,22.72,21.82,21.06,17.63,16.17,21.08
ALLSKY_SFC_SW_DWN,2015,17.26,18.59,21.14,24.79,23.62,23.96,24.75,24.19,22.78,19.43,16.79,16.28,21.14
ALLSKY_SFC_SW_DWN,2016,17.75,18.53,22.08,21.41,21.89,23.69,24.38,22.86,23.06,15.91,16.65,17.12,20.45
ALLSKY_SFC_SW_DWN,2017,18.22,19.11,21.63,21.3,21.94,24.06,24.77,23.84,20.98,19.64,14.88,17.11,20.64
ALLSKY_SFC_SW_DWN,2018,15.82,21.34,22.75,23.06,21.96,23.87,23.92,24.48,22.09,18.97,18.42,17.62,21.18
ALLSKY_SFC_SW_DWN,2019,18.12,20.67,22.03,23.94,21.39,25.33,25.06,24.31,21.3,20.54,18.17,16.45,21.44
ALLSKY_SFC_SW_DWN,2020,18.78,19.47,22.78,24.67,22.89,24.24,24.34,23.6,22.11,19.42,15.66,16.5,21.21
ALLSKY_SFC_SW_DWN,2021,17.94,20.8,23.03,22.96,24.33,23.65,24.23,22.99,22.88,18.98,18.12,17.5,21.45
ALLSKY_SFC_SW_DWN,2022,17.7,20.45,22.17,22.36,22.87,24.47,24.5,23.49,21.85,19.65,18.61,17.81,21.33
ALLSKY_SFC_SW_DWN,2023,18.76,21.73,22.82,23.54,23.6,23.02,23.91,23.35,22.76,19.45,17.15,15.81,21.32
