# Area: Indonesia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.79   Longitude 113.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 122.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.87,16.27,16.16,17.75,16.68,17.18,13.36,18.07,15.53,17.54,18.94,17.5,16.82
ALLSKY_SFC_SW_DWN,1985,18.84,20.04,18.94,18.96,18.13,18.86,17.45,16.66,18.18,17.25,18.26,18.27,18.3
ALLSKY_SFC_SW_DWN,1986,17.39,18.32,19.02,18.79,18.38,18.15,17.5,18.31,17.97,17.33,18.55,18.27,18.16
ALLSKY_SFC_SW_DWN,1987,16.59,17.66,19.84,18.31,17.55,17.74,17.7,15.74,17.5,16.68,17.12,17.94,17.53
ALLSKY_SFC_SW_DWN,1988,17.89,19.66,18.6,19.68,16.82,17.58,15.87,16.08,16.12,16.86,17.94,17.84,17.56
ALLSKY_SFC_SW_DWN,1989,17.15,17.96,18.68,19.62,18.66,18.14,16.93,17.26,17.15,16.85,18.12,17.85,17.86
ALLSKY_SFC_SW_DWN,1990,17.29,18.72,18.45,18.47,18.08,17.8,17.26,17.46,16.02,18.32,18.67,18.07,17.88
ALLSKY_SFC_SW_DWN,1991,16.97,17.83,17.93,18.59,17.28,18.1,17.7,17.09,17.42,17.37,17.49,15.88,17.46
ALLSKY_SFC_SW_DWN,1992,18.05,18.48,19.39,18.76,17.08,17.38,16.86,18.09,16.05,17.65,17.48,16.72,17.66
ALLSKY_SFC_SW_DWN,1993,19.14,17.86,17.51,16.92,17.5,17.12,16.67,18.13,15.83,16.3,17.48,17.58,17.34
ALLSKY_SFC_SW_DWN,1994,17.3,18.63,16.68,18.4,17.54,16.66,18.16,17.0,18.72,17.37,17.29,17.05,17.56
ALLSKY_SFC_SW_DWN,1995,17.12,17.83,17.36,17.83,17.82,17.17,17.08,15.55,16.0,17.06,17.58,18.33,17.22
ALLSKY_SFC_SW_DWN,1996,16.48,18.03,19.05,17.83,18.51,16.94,18.13,16.51,16.1,16.85,17.64,18.55,17.55
ALLSKY_SFC_SW_DWN,1997,18.12,17.3,19.47,18.24,17.89,17.77,17.25,18.5,16.15,14.8,17.0,17.81,17.53
ALLSKY_SFC_SW_DWN,1998,19.4,18.76,18.17,16.91,17.96,16.59,16.1,16.58,16.14,16.91,18.41,18.34,17.52
ALLSKY_SFC_SW_DWN,1999,17.66,18.13,17.75,18.75,16.76,17.04,16.83,16.46,18.27,17.68,17.95,18.25,17.62
ALLSKY_SFC_SW_DWN,2000,16.29,17.62,18.72,17.7,18.11,16.08,17.84,17.03,17.14,17.71,17.27,17.42,17.41
ALLSKY_SFC_SW_DWN,2001,16.7,16.51,19.33,18.53,17.85,18.14,17.89,17.35,17.62,17.72,17.54,18.42,17.81
ALLSKY_SFC_SW_DWN,2002,18.68,17.41,17.9,19.01,18.16,16.94,17.81,16.91,13.36,13.41,17.48,17.83,17.08
ALLSKY_SFC_SW_DWN,2003,18.32,18.16,18.02,17.95,17.77,17.65,16.12,16.16,15.2,16.36,17.44,16.66,17.14
ALLSKY_SFC_SW_DWN,2004,16.57,17.87,18.62,17.61,17.75,17.88,16.14,19.1,16.91,16.55,17.14,16.96,17.42
ALLSKY_SFC_SW_DWN,2005,17.76,16.61,18.41,16.52,16.67,16.61,15.59,17.16,16.78,17.0,17.33,17.1,16.97
ALLSKY_SFC_SW_DWN,2006,16.84,18.05,17.7,16.52,17.03,16.42,17.64,17.47,16.23,13.75,15.76,16.3,16.64
ALLSKY_SFC_SW_DWN,2007,16.7,18.02,18.18,17.63,17.76,16.25,16.8,17.49,17.68,17.47,16.82,16.61,17.28
ALLSKY_SFC_SW_DWN,2008,17.17,17.27,17.16,15.84,17.27,17.18,15.71,17.36,18.51,18.13,17.05,17.1,17.14
ALLSKY_SFC_SW_DWN,2009,15.64,17.47,17.61,18.45,17.48,16.87,17.59,16.61,16.52,17.44,17.41,16.84,17.16
ALLSKY_SFC_SW_DWN,2010,16.43,19.75,17.67,18.27,18.63,16.95,15.82,17.72,17.53,18.14,17.61,17.45,17.65
ALLSKY_SFC_SW_DWN,2011,17.24,17.39,17.03,16.9,17.39,16.03,16.97,16.34,17.11,17.67,17.04,16.98,17.01
ALLSKY_SFC_SW_DWN,2012,16.99,18.06,18.35,17.8,16.99,17.62,15.25,16.39,17.56,16.68,16.49,17.38,17.12
ALLSKY_SFC_SW_DWN,2013,18.02,18.28,18.09,17.89,16.88,18.05,16.6,17.78,17.17,17.38,16.7,16.92,17.47
ALLSKY_SFC_SW_DWN,2014,18.19,16.19,18.13,17.52,17.85,16.64,17.41,16.29,18.39,14.4,16.57,16.92,17.05
ALLSKY_SFC_SW_DWN,2015,17.65,16.76,18.58,18.24,17.15,16.05,18.24,18.13,12.37,12.84,15.94,17.39,16.62
ALLSKY_SFC_SW_DWN,2016,16.93,16.51,18.57,18.19,16.81,17.23,17.17,18.21,17.93,18.11,16.32,18.31,17.53
ALLSKY_SFC_SW_DWN,2017,17.89,17.91,17.38,17.93,17.06,15.94,16.09,14.87,17.32,17.88,17.04,18.5,17.15
ALLSKY_SFC_SW_DWN,2018,17.37,18.12,18.23,17.63,17.25,17.1,16.05,17.07,18.72,16.67,16.82,17.38,17.36
ALLSKY_SFC_SW_DWN,2019,17.59,18.22,18.48,17.55,18.37,16.2,16.64,16.8,16.78,16.83,16.59,16.48,17.21
ALLSKY_SFC_SW_DWN,2020,17.49,18.64,17.83,18.07,17.01,16.63,15.96,17.66,16.99,17.49,17.61,17.74,17.42
ALLSKY_SFC_SW_DWN,2021,16.67,18.23,18.06,19.09,16.41,16.91,16.77,16.7,16.88,18.27,16.76,17.8,17.37
ALLSKY_SFC_SW_DWN,2022,16.46,18.21,18.4,17.68,17.28,16.32,15.83,16.45,16.61,17.27,17.37,17.12,17.07
ALLSKY_SFC_SW_DWN,2023,17.41,16.84,17.25,18.29,16.38,15.86,15.83,16.09,16.07,17.08,17.78,16.23,16.76
