# Area: Iraq
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  33.22   Longitude 43.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,10.93,14.5,16.54,21.09,23.15,26.5,25.92,23.91,20.15,14.61,11.5,10.04,18.24
ALLSKY_SFC_SW_DWN,1985,10.42,13.34,17.85,22.35,24.33,26.2,25.32,24.48,20.74,15.73,12.03,10.19,18.61
ALLSKY_SFC_SW_DWN,1986,11.7,14.15,17.83,20.85,25.42,27.26,26.48,24.6,21.04,15.02,11.06,10.51,18.85
ALLSKY_SFC_SW_DWN,1987,11.2,14.13,16.49,21.75,24.01,26.29,26.09,23.99,20.9,15.65,11.63,9.4,18.48
ALLSKY_SFC_SW_DWN,1988,10.64,14.73,17.33,19.21,25.53,26.65,25.81,23.33,20.95,15.72,11.32,9.52,18.4
ALLSKY_SFC_SW_DWN,1989,12.43,15.69,17.83,23.53,25.29,26.17,26.05,24.82,21.28,16.56,12.16,10.3,19.36
ALLSKY_SFC_SW_DWN,1990,10.98,15.47,19.33,22.69,25.93,26.94,25.88,24.82,21.18,16.09,11.98,9.58,19.25
ALLSKY_SFC_SW_DWN,1991,10.12,13.9,16.98,21.98,24.11,25.6,25.03,25.17,21.35,17.13,12.9,11.0,18.79
ALLSKY_SFC_SW_DWN,1992,11.89,13.64,19.19,22.05,23.82,26.91,27.04,24.53,21.49,16.54,11.89,9.77,19.08
ALLSKY_SFC_SW_DWN,1993,12.22,14.6,19.43,20.99,22.49,26.92,25.72,24.79,21.06,16.02,12.37,10.05,18.91
ALLSKY_SFC_SW_DWN,1994,10.75,15.23,17.97,23.25,26.0,26.7,26.17,25.08,21.18,16.19,11.14,10.6,19.2
ALLSKY_SFC_SW_DWN,1995,11.12,14.31,19.61,21.12,25.73,27.85,26.22,25.22,21.88,17.79,13.26,10.52,19.58
ALLSKY_SFC_SW_DWN,1996,10.11,13.7,16.31,22.3,25.1,27.93,25.93,26.02,22.09,18.31,12.14,9.49,19.12
ALLSKY_SFC_SW_DWN,1997,11.11,15.46,19.01,22.74,26.57,26.31,26.25,25.06,21.51,15.22,11.52,9.37,19.19
ALLSKY_SFC_SW_DWN,1998,10.35,14.76,18.69,23.1,27.78,28.96,27.73,26.01,22.87,18.36,12.56,9.92,20.11
ALLSKY_SFC_SW_DWN,1999,11.44,15.4,20.14,23.4,26.17,29.18,26.25,25.11,20.78,16.21,12.61,9.6,19.71
ALLSKY_SFC_SW_DWN,2000,10.93,16.18,20.87,21.87,26.35,28.5,27.16,25.52,22.84,15.52,11.89,9.51,19.76
ALLSKY_SFC_SW_DWN,2001,10.75,14.12,19.2,23.27,27.06,30.32,27.72,25.34,21.47,16.96,12.15,9.35,19.83
ALLSKY_SFC_SW_DWN,2002,10.92,15.39,19.05,20.54,27.01,29.23,28.02,25.88,21.47,15.16,12.16,8.66,19.48
ALLSKY_SFC_SW_DWN,2003,11.65,14.48,18.04,21.29,26.53,29.06,27.87,26.18,22.37,16.53,11.9,9.61,19.65
ALLSKY_SFC_SW_DWN,2004,10.54,14.28,19.29,23.09,26.75,29.99,29.0,26.14,22.46,15.83,11.41,10.15,19.92
ALLSKY_SFC_SW_DWN,2005,10.75,14.62,19.08,22.91,25.81,28.6,27.09,25.13,22.13,17.01,12.69,10.58,19.72
ALLSKY_SFC_SW_DWN,2006,10.66,13.45,20.26,20.87,25.21,29.2,27.67,24.8,22.35,15.34,12.84,9.99,19.41
ALLSKY_SFC_SW_DWN,2007,11.15,13.51,18.84,21.3,23.96,28.68,26.74,25.25,22.1,16.07,13.02,10.76,19.31
ALLSKY_SFC_SW_DWN,2008,10.82,14.63,19.45,21.29,26.24,27.86,27.33,24.2,19.6,15.05,12.59,10.98,19.18
ALLSKY_SFC_SW_DWN,2009,11.58,14.03,18.74,21.53,24.7,27.47,25.72,25.63,21.46,15.64,11.51,9.38,18.97
ALLSKY_SFC_SW_DWN,2010,11.25,13.01,17.98,21.22,25.67,27.91,27.18,25.02,20.59,16.28,13.42,10.24,19.18
ALLSKY_SFC_SW_DWN,2011,10.22,14.05,19.49,21.43,25.39,27.94,25.96,25.17,21.29,16.02,12.72,10.67,19.22
ALLSKY_SFC_SW_DWN,2012,11.14,14.55,19.52,22.02,24.53,28.63,27.36,25.19,21.7,14.92,10.68,9.79,19.18
ALLSKY_SFC_SW_DWN,2013,10.14,15.01,19.08,23.44,23.35,28.72,27.89,25.8,21.75,17.53,10.35,9.83,19.43
ALLSKY_SFC_SW_DWN,2014,10.35,15.21,19.72,22.22,26.12,28.53,28.02,25.56,21.76,15.45,12.36,9.62,19.59
ALLSKY_SFC_SW_DWN,2015,10.87,14.52,20.26,24.32,25.98,27.83,27.73,24.84,20.44,14.41,11.59,10.33,19.45
ALLSKY_SFC_SW_DWN,2016,11.56,15.33,18.87,23.62,26.22,28.19,27.56,25.34,21.83,16.78,13.07,9.6,19.83
ALLSKY_SFC_SW_DWN,2017,11.73,16.22,17.27,21.38,26.42,29.45,26.85,25.54,20.97,16.52,11.16,10.12,19.48
ALLSKY_SFC_SW_DWN,2018,11.18,11.53,18.74,21.69,24.32,28.95,28.02,25.55,21.44,13.83,10.18,8.77,18.72
ALLSKY_SFC_SW_DWN,2019,11.21,14.45,18.53,22.27,25.86,28.99,28.81,25.39,21.87,14.96,12.89,9.36,19.57
ALLSKY_SFC_SW_DWN,2020,10.38,13.99,17.79,22.72,27.31,29.31,27.73,25.9,21.58,17.61,11.24,10.32,19.67
ALLSKY_SFC_SW_DWN,2021,12.12,14.51,18.92,23.05,27.0,29.24,27.62,25.38,21.83,16.3,12.19,9.7,19.85
ALLSKY_SFC_SW_DWN,2022,11.23,15.1,18.46,21.94,25.82,27.07,26.72,23.99,21.18,15.72,11.41,8.94,18.98
ALLSKY_SFC_SW_DWN,2023,10.53,15.79,18.54,22.78,24.73,27.6,27.69,24.3,21.16,14.3,11.61,9.8,19.08
