# Area: Lesotho
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -29.61   Longitude 28.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2313.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,26.38,26.26,19.05,18.31,14.94,13.17,13.32,17.46,21.0,23.23,25.45,28.78,20.59
ALLSKY_SFC_SW_DWN,1985,24.54,18.52,20.09,18.07,15.37,13.24,13.89,18.32,20.88,21.37,25.79,26.92,19.76
ALLSKY_SFC_SW_DWN,1986,27.27,24.95,21.25,16.48,15.79,11.67,13.07,14.71,20.44,20.85,24.96,28.33,19.96
ALLSKY_SFC_SW_DWN,1987,28.05,22.32,20.18,17.02,15.53,11.78,13.41,14.25,15.94,22.75,24.75,27.91,19.49
ALLSKY_SFC_SW_DWN,1988,27.3,21.87,18.08,14.94,14.45,11.87,13.37,17.78,20.29,21.73,25.5,23.82,19.25
ALLSKY_SFC_SW_DWN,1989,25.26,18.99,20.97,15.16,12.6,11.79,13.85,17.54,21.66,22.65,24.85,27.9,19.45
ALLSKY_SFC_SW_DWN,1990,25.74,24.43,20.0,15.52,14.74,12.66,13.19,17.16,21.56,22.83,27.79,25.52,20.07
ALLSKY_SFC_SW_DWN,1991,22.65,23.21,18.4,18.99,14.94,12.95,14.49,17.59,19.25,18.42,27.07,25.65,19.44
ALLSKY_SFC_SW_DWN,1992,28.85,25.16,22.22,17.45,15.74,13.76,14.41,17.13,21.68,24.1,25.62,27.46,21.13
ALLSKY_SFC_SW_DWN,1993,26.9,21.95,20.78,17.13,14.16,12.91,13.84,17.29,21.78,21.04,25.83,25.48,19.91
ALLSKY_SFC_SW_DWN,1994,23.91,22.23,20.72,17.21,15.65,13.04,14.28,17.63,22.18,24.9,26.9,28.18,20.56
ALLSKY_SFC_SW_DWN,1995,26.08,25.2,19.05,16.94,14.55,13.12,14.5,17.41,21.03,23.18,23.82,25.37,19.99
ALLSKY_SFC_SW_DWN,1996,24.17,20.44,21.27,16.4,12.67,13.23,9.96,16.78,22.16,22.4,23.42,26.58,19.12
ALLSKY_SFC_SW_DWN,1997,24.24,25.37,17.74,17.09,13.2,11.07,13.79,16.96,19.95,23.46,24.24,28.44,19.6
ALLSKY_SFC_SW_DWN,1998,24.43,22.23,20.44,18.18,14.98,13.7,13.05,17.1,21.42,24.13,24.68,25.27,19.95
ALLSKY_SFC_SW_DWN,1999,26.79,25.86,21.34,17.54,14.24,13.37,14.09,17.62,21.81,22.12,27.08,20.99,20.2
ALLSKY_SFC_SW_DWN,2000,24.64,23.51,18.61,16.29,13.9,13.01,14.45,17.86,19.73,22.56,23.26,26.3,19.5
ALLSKY_SFC_SW_DWN,2001,27.82,23.26,20.17,14.56,14.14,12.61,13.54,16.53,18.93,21.73,23.11,26.39,19.39
ALLSKY_SFC_SW_DWN,2002,25.47,25.06,20.48,17.45,13.93,12.02,13.49,14.33,19.76,24.34,27.44,23.08,19.7
ALLSKY_SFC_SW_DWN,2003,25.47,21.84,21.54,17.27,14.65,13.49,14.71,16.9,19.7,24.21,25.29,28.01,20.26
ALLSKY_SFC_SW_DWN,2004,23.6,21.72,18.62,18.49,15.13,12.95,14.1,16.44,19.73,22.53,25.93,25.92,19.59
ALLSKY_SFC_SW_DWN,2005,24.16,23.05,19.43,16.77,14.9,13.26,14.74,16.13,21.58,21.45,25.32,28.45,19.92
ALLSKY_SFC_SW_DWN,2006,21.94,18.76,17.95,16.1,13.84,13.61,13.66,14.81,21.41,20.81,26.11,26.3,18.77
ALLSKY_SFC_SW_DWN,2007,26.42,26.14,21.85,16.22,15.62,12.14,14.93,18.25,21.19,20.2,25.23,25.6,20.28
ALLSKY_SFC_SW_DWN,2008,24.14,22.36,19.66,17.44,12.88,12.29,14.87,17.42,22.52,24.28,25.3,27.13,20.02
ALLSKY_SFC_SW_DWN,2009,24.75,19.59,20.87,17.44,13.95,11.11,14.59,16.96,19.76,20.78,24.73,27.78,19.37
ALLSKY_SFC_SW_DWN,2010,21.12,24.52,21.6,16.96,14.5,12.9,13.68,18.42,22.22,22.93,25.13,23.92,19.79
ALLSKY_SFC_SW_DWN,2011,21.14,22.35,19.21,14.96,12.48,12.99,13.61,17.19,22.33,23.76,27.29,25.0,19.33
ALLSKY_SFC_SW_DWN,2012,27.53,22.94,20.14,17.99,14.57,11.52,14.32,15.29,19.73,23.3,25.44,23.85,19.71
ALLSKY_SFC_SW_DWN,2013,26.2,25.74,20.42,16.99,14.7,13.9,14.0,17.65,21.56,24.56,26.24,23.63,20.43
ALLSKY_SFC_SW_DWN,2014,25.03,21.13,19.22,18.23,15.06,14.15,15.14,15.71,21.87,24.6,23.71,25.97,19.98
ALLSKY_SFC_SW_DWN,2015,26.39,26.07,20.35,17.6,15.35,12.88,12.11,17.18,19.56,23.79,28.66,27.41,20.58
ALLSKY_SFC_SW_DWN,2016,23.77,24.7,21.03,17.23,14.04,12.97,13.12,17.71,19.52,26.21,24.49,27.04,20.14
ALLSKY_SFC_SW_DWN,2017,23.3,18.69,22.18,16.69,13.56,13.61,14.34,17.76,21.94,23.58,26.17,25.56,19.79
ALLSKY_SFC_SW_DWN,2018,26.94,22.81,17.91,15.63,13.79,14.13,14.6,15.51,21.24,24.83,28.22,28.5,20.33
ALLSKY_SFC_SW_DWN,2019,28.78,24.8,20.76,15.04,15.05,14.11,15.14,17.98,22.79,26.59,27.37,23.77,21.0
ALLSKY_SFC_SW_DWN,2020,25.8,21.85,20.78,14.77,15.58,14.07,14.82,18.32,22.43,23.47,24.26,25.28,20.12
ALLSKY_SFC_SW_DWN,2021,19.96,22.25,21.48,17.82,15.46,12.4,15.44,15.67,19.99,23.59,26.46,21.02,19.27
ALLSKY_SFC_SW_DWN,2022,23.63,22.67,17.79,14.44,14.33,13.23,13.05,17.15,18.89,19.71,23.1,22.62,18.36
ALLSKY_SFC_SW_DWN,2023,25.64,20.41,19.63,18.6,12.85,12.83,13.35,17.94,20.57,23.22,25.97,24.05,19.58
