# Area: Luxembourg
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  49.61   Longitude 6.13 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 277.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,2.75,5.45,10.14,15.54,13.45,19.16,18.23,15.17,9.07,6.32,3.71,2.23,10.11
ALLSKY_SFC_SW_DWN,1985,4.03,6.64,7.25,12.88,15.64,16.6,20.83,15.51,12.86,8.45,3.48,2.05,10.54
ALLSKY_SFC_SW_DWN,1986,3.02,8.25,8.76,11.8,16.99,19.01,18.07,14.39,11.97,7.32,3.88,2.51,10.5
ALLSKY_SFC_SW_DWN,1987,4.26,6.22,9.05,14.2,14.83,16.12,17.36,14.28,11.27,6.92,3.43,2.29,10.04
ALLSKY_SFC_SW_DWN,1988,2.59,4.87,6.2,16.42,17.31,19.57,17.61,17.41,9.35,6.27,4.08,1.73,10.29
ALLSKY_SFC_SW_DWN,1989,3.55,4.31,9.12,10.11,21.98,18.85,19.57,16.11,12.26,7.42,4.86,2.54,10.94
ALLSKY_SFC_SW_DWN,1990,2.43,5.75,9.75,13.78,21.21,16.75,21.26,16.26,10.27,7.86,3.82,2.72,11.03
ALLSKY_SFC_SW_DWN,1991,3.05,6.83,8.09,15.06,17.59,15.88,21.15,19.15,12.89,7.15,3.71,2.94,11.15
ALLSKY_SFC_SW_DWN,1992,3.0,5.03,7.9,14.03,20.1,18.24,19.37,16.72,13.15,6.48,3.45,2.64,10.86
ALLSKY_SFC_SW_DWN,1993,2.62,5.13,11.03,14.44,17.65,19.63,18.21,18.41,9.52,5.67,3.82,1.71,10.69
ALLSKY_SFC_SW_DWN,1994,2.66,5.17,7.79,13.82,17.61,22.48,22.07,16.38,11.14,8.65,3.27,2.24,11.14
ALLSKY_SFC_SW_DWN,1995,2.99,3.8,8.11,12.22,17.51,18.09,21.2,17.02,9.71,7.26,3.84,2.17,10.37
ALLSKY_SFC_SW_DWN,1996,3.18,4.84,9.94,16.5,14.15,20.49,19.5,16.33,11.92,7.18,3.04,2.4,10.8
ALLSKY_SFC_SW_DWN,1997,3.67,4.55,9.22,15.93,19.43,17.52,18.82,18.04,14.69,7.81,3.57,1.9,11.3
ALLSKY_SFC_SW_DWN,1998,3.05,6.14,9.15,11.06,21.64,19.44,16.1,17.78,10.44,4.78,4.07,2.35,10.53
ALLSKY_SFC_SW_DWN,1999,3.01,6.2,9.2,13.72,18.13,20.23,21.22,16.73,12.59,7.26,3.84,2.15,11.22
ALLSKY_SFC_SW_DWN,2000,3.29,5.53,7.92,14.02,17.14,22.63,16.4,17.88,10.12,5.78,2.68,2.09,10.46
ALLSKY_SFC_SW_DWN,2001,3.48,6.2,7.28,12.82,20.14,19.86,20.49,17.59,9.17,7.41,3.99,2.8,10.97
ALLSKY_SFC_SW_DWN,2002,3.4,5.22,10.73,15.8,17.17,20.64,17.1,14.87,13.28,6.88,3.17,2.08,10.88
ALLSKY_SFC_SW_DWN,2003,3.03,7.71,12.68,17.12,18.08,22.6,20.74,20.27,15.32,7.35,3.92,2.87,12.66
ALLSKY_SFC_SW_DWN,2004,2.58,5.69,10.28,15.68,19.42,20.17,18.35,15.25,13.63,6.8,3.38,2.38,11.14
ALLSKY_SFC_SW_DWN,2005,3.34,5.55,9.67,14.81,18.81,21.5,18.13,15.35,13.56,8.38,3.73,2.21,11.28
ALLSKY_SFC_SW_DWN,2006,3.52,4.63,9.18,14.4,16.53,22.34,22.86,13.3,13.35,7.44,3.79,2.61,11.19
ALLSKY_SFC_SW_DWN,2007,2.75,5.34,10.02,20.82,17.12,17.9,18.25,15.69,11.51,8.07,3.34,2.7,11.15
ALLSKY_SFC_SW_DWN,2008,3.34,6.81,8.34,12.5,20.02,19.79,19.4,15.27,10.74,6.75,3.45,2.54,10.76
ALLSKY_SFC_SW_DWN,2009,3.84,4.89,9.05,15.65,18.5,20.23,18.97,18.47,12.07,7.15,3.14,2.27,11.22
ALLSKY_SFC_SW_DWN,2010,2.45,4.94,10.21,16.96,14.79,21.75,21.1,14.69,12.27,8.06,2.93,1.87,11.02
ALLSKY_SFC_SW_DWN,2011,3.17,5.18,12.15,17.72,22.16,18.45,16.61,16.39,13.19,8.01,3.9,2.15,11.62
ALLSKY_SFC_SW_DWN,2012,2.91,6.71,11.8,13.5,19.6,17.06,18.83,18.15,13.21,7.52,3.08,2.39,11.25
ALLSKY_SFC_SW_DWN,2013,2.39,4.42,9.56,13.57,14.15,19.83,21.62,17.5,12.05,6.75,3.31,2.71,10.69
ALLSKY_SFC_SW_DWN,2014,3.25,5.12,12.42,15.62,18.1,21.94,18.27,15.0,12.56,7.17,3.2,1.88,11.24
ALLSKY_SFC_SW_DWN,2015,2.59,5.46,10.83,17.21,17.84,20.92,20.82,17.36,11.47,6.42,3.47,2.93,11.47
ALLSKY_SFC_SW_DWN,2016,3.16,5.12,8.97,13.9,17.49,17.18,19.26,18.05,13.91,6.66,3.7,2.87,10.87
ALLSKY_SFC_SW_DWN,2017,3.6,5.46,11.12,16.42,19.63,22.27,19.21,15.67,11.49,7.31,3.24,1.97,11.48
ALLSKY_SFC_SW_DWN,2018,2.56,7.06,8.67,16.5,20.2,20.36,22.45,17.85,14.14,8.56,3.99,2.33,12.08
ALLSKY_SFC_SW_DWN,2019,2.88,7.83,10.37,15.02,18.11,23.23,21.98,17.49,13.01,6.43,3.33,2.65,11.87
ALLSKY_SFC_SW_DWN,2020,3.14,5.31,11.55,19.44,21.93,19.57,21.04,16.96,13.3,5.78,4.61,2.3,12.09
ALLSKY_SFC_SW_DWN,2021,2.99,6.82,11.55,16.69,16.89,20.0,17.12,14.99,13.67,7.83,3.52,2.23,11.2
ALLSKY_SFC_SW_DWN,2022,3.18,6.12,12.55,15.55,20.99,21.99,23.54,19.52,12.21,7.97,3.93,2.63,12.56
ALLSKY_SFC_SW_DWN,2023,2.63,6.79,9.2,13.34,20.01,24.12,18.35,15.55,15.37,7.58,3.21,2.24,11.54
