# Area: Mali
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.57   Longitude -3.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 280.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,18.83,22.07,24.94,25.6,26.53,25.83,25.55,25.54,24.08,22.08,20.82,17.48,23.28
ALLSKY_SFC_SW_DWN,1985,16.25,22.56,23.11,25.22,28.33,26.04,24.94,24.67,24.04,23.31,21.29,16.91,23.05
ALLSKY_SFC_SW_DWN,1986,20.48,21.92,25.0,25.87,25.55,27.06,26.57,25.34,22.74,21.99,20.12,18.24,23.41
ALLSKY_SFC_SW_DWN,1987,21.51,20.72,24.7,26.58,26.1,25.91,26.27,24.33,24.4,21.94,20.69,17.19,23.37
ALLSKY_SFC_SW_DWN,1988,18.38,20.27,24.52,26.41,27.21,25.97,25.94,24.55,23.61,22.92,20.36,19.01,23.27
ALLSKY_SFC_SW_DWN,1989,19.68,22.49,25.92,27.04,28.21,25.13,24.68,24.25,24.0,22.3,18.4,17.78,23.33
ALLSKY_SFC_SW_DWN,1990,18.06,22.75,25.51,26.0,27.45,25.09,24.93,23.89,23.98,22.64,20.41,18.22,23.24
ALLSKY_SFC_SW_DWN,1991,18.89,20.94,25.43,27.53,27.02,25.91,25.65,24.41,23.89,21.64,19.29,18.51,23.27
ALLSKY_SFC_SW_DWN,1992,17.16,20.98,23.75,26.93,27.37,26.93,24.5,23.55,23.86,22.92,18.65,17.67,22.85
ALLSKY_SFC_SW_DWN,1993,20.28,20.89,25.23,26.69,26.91,25.24,24.7,23.53,23.7,22.72,19.69,17.78,23.12
ALLSKY_SFC_SW_DWN,1994,18.27,21.42,24.57,27.04,25.67,25.08,25.33,23.81,22.51,21.28,19.02,17.68,22.64
ALLSKY_SFC_SW_DWN,1995,19.63,22.18,22.63,25.67,26.14,25.3,24.81,23.91,23.38,22.76,19.94,17.06,22.78
ALLSKY_SFC_SW_DWN,1996,17.99,22.24,24.13,27.01,26.89,26.78,25.45,23.59,24.02,22.87,20.03,16.71,23.13
ALLSKY_SFC_SW_DWN,1997,18.3,23.25,24.2,26.88,26.56,25.84,25.6,23.6,23.39,22.39,20.06,19.04,23.25
ALLSKY_SFC_SW_DWN,1998,19.09,21.3,24.5,26.07,27.51,25.4,25.03,24.18,23.97,22.72,19.48,18.14,23.12
ALLSKY_SFC_SW_DWN,1999,18.67,20.21,24.12,25.64,26.7,26.23,25.19,24.75,23.18,22.57,19.07,18.41,22.91
ALLSKY_SFC_SW_DWN,2000,17.42,22.78,25.33,26.65,26.43,26.31,25.16,25.33,23.95,22.0,18.51,18.23,23.17
ALLSKY_SFC_SW_DWN,2001,20.69,23.02,26.55,27.54,27.44,25.76,26.44,24.72,24.14,23.13,20.38,18.52,24.03
ALLSKY_SFC_SW_DWN,2002,19.24,22.99,25.09,26.13,25.78,26.62,25.66,24.64,24.37,22.68,20.62,18.55,23.52
ALLSKY_SFC_SW_DWN,2003,17.71,22.48,25.82,27.13,27.35,25.6,25.41,24.53,23.73,22.92,19.64,19.05,23.45
ALLSKY_SFC_SW_DWN,2004,19.23,21.88,24.04,24.56,28.75,25.77,24.92,24.94,24.69,23.22,19.94,18.32,23.36
ALLSKY_SFC_SW_DWN,2005,18.16,18.33,24.6,27.47,26.37,24.35,24.99,23.98,23.74,22.77,20.1,18.35,22.79
ALLSKY_SFC_SW_DWN,2006,18.36,21.13,24.99,26.58,26.92,25.7,25.32,23.43,23.75,22.95,21.13,19.2,23.3
ALLSKY_SFC_SW_DWN,2007,19.35,22.42,24.6,26.29,26.93,26.16,23.62,24.29,24.23,23.03,20.43,18.96,23.36
ALLSKY_SFC_SW_DWN,2008,20.27,21.92,26.5,26.36,26.52,26.52,24.92,24.08,23.14,21.2,20.52,18.09,23.34
ALLSKY_SFC_SW_DWN,2009,19.58,20.21,23.15,26.87,27.53,24.57,24.78,24.18,22.92,22.22,19.19,17.73,22.76
ALLSKY_SFC_SW_DWN,2010,20.46,22.46,24.72,24.43,24.7,24.2,24.13,23.47,23.48,20.98,20.14,19.4,22.71
ALLSKY_SFC_SW_DWN,2011,18.67,23.69,24.32,26.58,25.74,25.26,24.08,24.11,24.92,21.69,20.6,18.89,23.19
ALLSKY_SFC_SW_DWN,2012,19.83,20.04,23.3,25.65,26.89,25.1,24.38,24.2,22.89,21.66,20.02,18.41,22.71
ALLSKY_SFC_SW_DWN,2013,18.58,23.22,26.21,27.46,26.13,26.02,25.14,23.43,23.4,22.56,20.19,18.24,23.37
ALLSKY_SFC_SW_DWN,2014,19.39,23.35,26.03,28.35,24.0,26.41,25.59,23.39,24.1,22.74,19.67,18.73,23.47
ALLSKY_SFC_SW_DWN,2015,18.33,22.8,22.81,27.65,27.01,26.42,23.66,23.44,22.02,20.92,19.8,17.65,22.7
ALLSKY_SFC_SW_DWN,2016,16.42,22.02,25.07,26.04,25.86,25.57,24.69,24.42,24.01,22.6,19.3,17.88,22.82
ALLSKY_SFC_SW_DWN,2017,20.89,21.38,25.93,27.99,25.51,25.2,24.96,24.09,23.66,22.83,19.55,18.35,23.37
ALLSKY_SFC_SW_DWN,2018,18.81,20.01,25.81,27.2,27.57,25.19,24.14,23.04,22.8,21.76,18.8,19.55,22.91
ALLSKY_SFC_SW_DWN,2019,19.9,21.88,24.11,26.97,27.85,26.79,25.24,24.17,23.74,22.57,20.71,19.44,23.62
ALLSKY_SFC_SW_DWN,2020,18.62,21.69,25.48,25.63,26.2,26.17,25.3,22.97,23.51,23.28,20.75,19.14,23.23
ALLSKY_SFC_SW_DWN,2021,20.74,21.99,24.74,27.63,26.33,27.29,25.07,23.95,24.12,22.14,19.27,17.39,23.39
ALLSKY_SFC_SW_DWN,2022,19.61,22.44,23.1,27.21,26.29,24.72,24.75,23.54,23.76,22.13,18.83,17.78,22.84
ALLSKY_SFC_SW_DWN,2023,19.66,20.41,25.56,26.17,24.63,25.31,25.06,24.11,23.46,22.16,20.84,18.9,23.03
