# Area: Mauritania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.01   Longitude -10.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 433.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.46,21.09,23.96,26.22,25.98,27.28,26.02,25.68,22.49,20.23,19.19,15.9,22.54
ALLSKY_SFC_SW_DWN,1985,17.82,19.26,24.01,26.78,28.32,27.45,26.39,25.76,23.83,22.14,18.35,15.71,23.0
ALLSKY_SFC_SW_DWN,1986,17.83,22.05,23.87,26.46,27.03,28.39,26.8,25.38,22.69,20.77,16.55,15.91,22.81
ALLSKY_SFC_SW_DWN,1987,17.58,20.16,23.48,25.3,26.17,27.16,26.38,25.07,22.69,20.59,16.88,15.89,22.29
ALLSKY_SFC_SW_DWN,1988,16.99,17.83,24.15,26.29,26.9,25.78,25.69,25.11,23.13,21.29,18.17,15.67,22.26
ALLSKY_SFC_SW_DWN,1989,17.32,19.42,25.37,26.47,28.16,24.49,25.62,25.07,22.78,21.02,17.08,17.99,22.59
ALLSKY_SFC_SW_DWN,1990,17.16,22.2,23.88,26.33,28.26,25.76,26.21,24.96,23.39,21.1,17.42,17.33,22.83
ALLSKY_SFC_SW_DWN,1991,16.71,21.49,24.91,26.14,26.87,26.26,26.04,25.3,23.49,21.73,18.75,14.11,22.65
ALLSKY_SFC_SW_DWN,1992,16.82,19.92,25.03,25.8,26.15,26.08,25.78,25.07,22.8,21.87,17.29,16.14,22.4
ALLSKY_SFC_SW_DWN,1993,16.48,21.22,24.9,25.82,25.98,26.75,26.76,25.28,23.25,21.27,17.46,17.02,22.69
ALLSKY_SFC_SW_DWN,1994,18.55,20.95,24.53,26.17,25.76,26.71,26.16,24.58,21.02,20.04,17.5,15.21,22.27
ALLSKY_SFC_SW_DWN,1995,18.25,20.86,23.13,25.89,26.96,26.41,26.25,24.97,22.33,21.54,17.54,15.67,22.49
ALLSKY_SFC_SW_DWN,1996,18.13,19.19,23.22,26.93,27.04,28.24,26.55,25.4,23.42,21.52,16.43,16.29,22.7
ALLSKY_SFC_SW_DWN,1997,18.08,18.8,24.33,27.16,26.1,28.04,25.25,24.06,22.33,20.31,18.7,17.04,22.53
ALLSKY_SFC_SW_DWN,1998,17.68,19.63,22.81,26.38,26.61,26.01,26.92,25.14,22.51,21.76,17.33,15.05,22.33
ALLSKY_SFC_SW_DWN,1999,18.43,21.04,23.53,26.47,28.21,27.6,26.29,24.86,22.99,19.66,17.97,16.0,22.76
ALLSKY_SFC_SW_DWN,2000,17.76,18.42,23.8,25.74,25.98,28.29,26.43,25.71,23.95,21.92,17.55,17.25,22.74
ALLSKY_SFC_SW_DWN,2001,19.47,21.64,25.16,27.52,28.51,25.75,26.17,25.76,24.05,22.2,18.02,16.45,23.4
ALLSKY_SFC_SW_DWN,2002,18.13,21.36,24.23,26.9,26.98,27.45,26.76,25.52,23.66,21.84,19.29,17.31,23.29
ALLSKY_SFC_SW_DWN,2003,18.71,20.37,25.44,27.45,27.05,27.62,25.93,25.43,23.63,20.08,19.38,16.8,23.16
ALLSKY_SFC_SW_DWN,2004,18.06,20.82,23.71,26.67,28.5,28.35,26.86,25.13,23.71,21.75,17.45,16.55,23.13
ALLSKY_SFC_SW_DWN,2005,15.54,19.51,25.62,26.42,26.17,27.06,26.85,25.87,22.42,20.88,17.56,15.77,22.49
ALLSKY_SFC_SW_DWN,2006,18.03,20.29,25.37,27.13,27.96,28.51,26.85,25.0,23.38,20.87,18.84,17.13,23.29
ALLSKY_SFC_SW_DWN,2007,17.1,21.68,23.23,27.47,27.86,28.62,26.63,25.33,23.73,21.15,19.02,16.93,23.23
ALLSKY_SFC_SW_DWN,2008,17.98,19.58,23.79,26.32,28.83,27.26,26.16,26.18,23.24,19.46,18.0,15.76,22.72
ALLSKY_SFC_SW_DWN,2009,18.96,20.22,22.97,27.08,27.61,23.84,26.83,26.16,22.91,21.84,17.54,15.4,22.63
ALLSKY_SFC_SW_DWN,2010,18.92,21.49,23.65,25.28,25.83,27.41,25.61,24.98,22.81,20.09,18.58,16.42,22.59
ALLSKY_SFC_SW_DWN,2011,16.92,21.56,24.01,26.93,25.71,28.06,26.48,24.69,24.93,20.27,18.97,15.9,22.86
ALLSKY_SFC_SW_DWN,2012,16.83,19.96,21.87,24.68,27.41,27.11,26.31,25.43,22.94,20.45,18.29,17.61,22.41
ALLSKY_SFC_SW_DWN,2013,18.68,21.56,25.62,27.37,27.0,27.39,26.12,25.22,22.57,21.91,17.84,15.56,23.07
ALLSKY_SFC_SW_DWN,2014,17.43,22.69,25.16,27.36,27.46,27.93,26.83,24.78,23.12,21.91,19.35,16.72,23.39
ALLSKY_SFC_SW_DWN,2015,16.13,20.25,24.72,26.09,28.64,27.47,27.3,24.34,21.92,18.71,18.11,16.08,22.49
ALLSKY_SFC_SW_DWN,2016,16.61,20.32,24.55,26.34,26.83,28.4,26.98,25.32,24.21,19.99,15.71,15.08,22.53
ALLSKY_SFC_SW_DWN,2017,18.17,22.02,22.0,26.12,26.51,27.93,26.14,25.39,23.05,21.89,18.52,16.59,22.86
ALLSKY_SFC_SW_DWN,2018,18.46,19.21,23.63,26.78,28.15,25.68,26.03,25.91,22.28,19.03,18.36,17.79,22.63
ALLSKY_SFC_SW_DWN,2019,18.61,21.08,23.41,26.52,28.05,28.83,27.19,25.32,22.93,21.42,18.76,17.23,23.29
ALLSKY_SFC_SW_DWN,2020,17.59,20.29,24.88,26.19,28.11,25.0,26.19,26.15,23.36,21.03,18.07,16.56,22.79
ALLSKY_SFC_SW_DWN,2021,17.96,20.41,24.39,26.77,26.65,26.92,27.01,25.68,23.83,21.25,17.04,15.26,22.77
ALLSKY_SFC_SW_DWN,2022,15.51,19.33,24.61,27.23,26.79,25.2,25.95,25.06,22.93,20.32,18.43,16.41,22.33
ALLSKY_SFC_SW_DWN,2023,17.44,17.93,24.15,26.18,25.66,28.44,25.87,25.03,22.18,21.86,19.34,16.68,22.59
