# Area: Netherlands (Kingdom of the)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  52.13   Longitude 5.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,2.09,5.4,9.66,15.79,14.54,18.32,15.34,16.62,9.0,5.37,3.2,1.98,9.78
ALLSKY_SFC_SW_DWN,1985,2.83,5.71,7.98,13.19,16.76,17.53,17.68,14.88,10.71,6.58,2.94,1.79,9.9
ALLSKY_SFC_SW_DWN,1986,2.68,6.95,9.21,12.95,19.43,20.63,18.74,15.12,11.61,7.18,3.25,1.76,10.81
ALLSKY_SFC_SW_DWN,1987,2.77,5.5,9.18,14.07,16.72,17.15,17.68,14.15,11.95,6.3,2.91,1.91,10.05
ALLSKY_SFC_SW_DWN,1988,2.36,5.38,8.72,15.48,18.94,18.4,17.15,16.71,9.44,6.25,3.37,1.57,10.33
ALLSKY_SFC_SW_DWN,1989,3.12,5.32,8.4,12.27,21.83,20.36,18.35,15.2,11.22,5.8,3.93,1.97,10.68
ALLSKY_SFC_SW_DWN,1990,2.17,5.21,10.0,16.36,19.85,17.63,19.31,16.56,8.72,6.48,3.16,1.97,10.65
ALLSKY_SFC_SW_DWN,1991,3.0,5.7,8.7,15.44,16.14,16.57,19.66,17.13,10.38,6.36,3.05,2.19,10.39
ALLSKY_SFC_SW_DWN,1992,2.87,5.17,8.47,13.36,20.29,19.68,18.96,14.95,11.16,5.75,3.12,1.93,10.49
ALLSKY_SFC_SW_DWN,1993,2.35,4.46,10.31,13.32,18.49,19.14,16.94,14.7,9.39,5.75,3.0,1.52,9.98
ALLSKY_SFC_SW_DWN,1994,2.5,5.51,8.49,13.9,17.12,19.27,21.82,15.79,10.08,6.66,2.88,1.86,10.52
ALLSKY_SFC_SW_DWN,1995,2.57,4.79,9.36,13.31,18.72,18.2,21.36,18.52,9.74,6.68,3.15,1.97,10.74
ALLSKY_SFC_SW_DWN,1996,3.14,4.53,8.78,15.65,15.46,19.15,17.59,15.53,11.73,6.71,2.82,1.9,10.26
ALLSKY_SFC_SW_DWN,1997,3.26,4.57,8.79,13.77,17.28,18.7,18.66,17.45,12.05,6.14,2.81,1.61,10.46
ALLSKY_SFC_SW_DWN,1998,2.4,5.07,8.03,12.18,20.86,16.87,16.43,16.38,10.16,4.04,3.08,1.97,9.82
ALLSKY_SFC_SW_DWN,1999,2.7,6.06,8.32,14.78,19.27,20.57,20.19,15.39,11.19,6.28,2.97,1.73,10.81
ALLSKY_SFC_SW_DWN,2000,2.62,5.36,8.2,12.88,18.64,19.42,16.28,17.12,9.35,4.43,2.15,1.98,9.88
ALLSKY_SFC_SW_DWN,2001,2.74,5.05,7.12,13.44,20.8,20.51,19.31,15.82,9.87,6.47,2.98,2.06,10.55
ALLSKY_SFC_SW_DWN,2002,2.59,5.64,10.24,14.22,17.29,18.82,17.21,14.5,11.67,6.1,2.99,1.66,10.26
ALLSKY_SFC_SW_DWN,2003,2.52,6.54,10.72,16.16,17.9,19.85,19.27,16.55,12.72,7.35,3.11,1.9,11.24
ALLSKY_SFC_SW_DWN,2004,2.09,4.58,9.36,15.1,18.28,18.28,18.63,14.61,12.09,6.59,2.69,1.79,10.35
ALLSKY_SFC_SW_DWN,2005,2.91,4.87,8.26,14.62,18.44,20.75,16.09,15.4,12.41,7.28,2.99,2.04,10.53
ALLSKY_SFC_SW_DWN,2006,2.67,4.36,9.43,14.4,17.39,20.5,22.55,13.49,12.15,6.09,3.12,1.49,10.67
ALLSKY_SFC_SW_DWN,2007,2.36,3.98,10.34,17.9,17.93,17.15,17.65,16.7,10.37,6.4,2.91,1.96,10.51
ALLSKY_SFC_SW_DWN,2008,2.16,5.7,8.58,15.25,19.2,20.36,18.1,14.67,10.78,6.51,2.67,2.25,10.53
ALLSKY_SFC_SW_DWN,2009,2.88,4.15,9.31,15.79,19.37,21.49,19.41,16.89,11.02,6.27,2.56,1.84,10.95
ALLSKY_SFC_SW_DWN,2010,2.19,3.72,9.56,17.18,17.64,20.69,20.08,14.42,10.25,6.6,2.63,1.77,10.59
ALLSKY_SFC_SW_DWN,2011,2.66,4.25,10.3,16.98,19.83,19.35,16.38,14.24,10.87,6.84,3.3,1.88,10.6
ALLSKY_SFC_SW_DWN,2012,2.59,4.83,9.82,13.6,17.99,17.86,18.1,17.03,11.68,6.15,2.72,1.75,10.36
ALLSKY_SFC_SW_DWN,2013,2.32,4.92,9.45,15.36,16.59,18.34,19.68,17.25,10.79,6.18,2.84,2.09,10.51
ALLSKY_SFC_SW_DWN,2014,2.38,5.04,11.1,13.94,17.48,20.01,18.72,15.18,11.62,5.88,3.1,1.8,10.55
ALLSKY_SFC_SW_DWN,2015,2.43,5.62,9.26,16.05,18.48,19.94,18.67,16.02,10.8,6.42,2.79,1.97,10.73
ALLSKY_SFC_SW_DWN,2016,2.4,5.28,9.61,15.27,18.86,18.0,19.27,16.69,12.67,6.58,3.1,2.0,10.83
ALLSKY_SFC_SW_DWN,2017,2.82,4.28,10.5,15.51,18.83,19.76,18.6,15.8,10.67,6.07,3.01,1.53,10.65
ALLSKY_SFC_SW_DWN,2018,2.31,6.64,9.31,13.93,20.93,19.17,22.78,15.59,11.52,7.67,3.43,1.76,11.28
ALLSKY_SFC_SW_DWN,2019,2.43,6.26,8.95,16.54,18.57,20.56,19.22,16.81,10.95,5.65,2.94,2.11,10.93
ALLSKY_SFC_SW_DWN,2020,2.12,4.29,11.13,18.3,22.46,20.23,18.12,16.61,11.45,5.08,3.34,1.81,11.26
ALLSKY_SFC_SW_DWN,2021,2.64,5.21,9.27,15.62,17.51,20.5,17.77,14.73,11.48,6.23,2.88,1.78,10.49
ALLSKY_SFC_SW_DWN,2022,2.49,5.42,12.26,15.79,19.72,21.79,20.44,18.7,12.35,7.0,3.37,2.03,11.82
ALLSKY_SFC_SW_DWN,2023,2.46,5.53,9.01,14.61,19.47,23.21,18.2,15.87,12.51,5.93,3.02,1.68,10.98
