# Area: Niger
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.61   Longitude 8.08 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 667.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,18.39,20.56,23.56,24.09,24.81,25.17,25.58,24.99,23.21,21.18,19.5,17.14,22.35
ALLSKY_SFC_SW_DWN,1985,18.58,21.25,24.44,27.38,27.06,25.78,25.2,24.32,24.26,21.75,20.11,18.52,23.22
ALLSKY_SFC_SW_DWN,1986,19.72,21.11,22.87,25.52,25.85,25.92,25.16,24.64,23.01,22.64,19.24,18.83,22.88
ALLSKY_SFC_SW_DWN,1987,18.58,20.73,23.59,26.48,24.53,25.46,25.46,24.09,22.4,22.16,19.61,18.13,22.61
ALLSKY_SFC_SW_DWN,1988,18.99,20.53,23.43,24.64,26.41,24.99,24.68,23.25,23.02,22.98,20.95,18.75,22.72
ALLSKY_SFC_SW_DWN,1989,20.23,21.41,24.38,25.78,26.27,22.64,24.28,22.55,24.4,23.39,20.35,20.06,22.99
ALLSKY_SFC_SW_DWN,1990,21.14,22.78,25.5,25.81,25.65,25.77,24.19,23.91,24.89,23.19,21.47,19.05,23.61
ALLSKY_SFC_SW_DWN,1991,19.75,22.44,23.63,25.15,23.16,24.27,24.41,24.19,25.6,24.03,20.39,19.75,23.06
ALLSKY_SFC_SW_DWN,1992,19.42,21.88,21.49,24.22,23.85,24.67,23.55,23.94,23.65,23.34,20.24,18.42,22.38
ALLSKY_SFC_SW_DWN,1993,19.81,21.64,25.0,26.39,25.54,26.6,25.31,23.94,23.52,23.75,20.92,19.35,23.49
ALLSKY_SFC_SW_DWN,1994,20.04,21.86,23.89,25.35,26.64,26.01,24.92,22.27,22.8,22.05,21.14,19.07,23.0
ALLSKY_SFC_SW_DWN,1995,19.7,22.99,24.1,23.57,23.98,24.13,25.19,23.24,24.15,23.89,20.38,18.62,22.82
ALLSKY_SFC_SW_DWN,1996,19.83,22.01,25.23,26.79,26.38,24.9,24.78,23.45,23.07,23.68,20.72,18.51,23.28
ALLSKY_SFC_SW_DWN,1997,19.94,22.56,22.46,25.67,26.53,25.55,25.82,24.25,24.44,24.1,20.53,18.22,23.34
ALLSKY_SFC_SW_DWN,1998,18.81,22.32,25.01,25.71,28.6,25.23,24.3,23.74,22.75,23.55,21.33,19.52,23.41
ALLSKY_SFC_SW_DWN,1999,19.99,21.92,26.04,26.52,26.7,26.38,24.54,22.81,22.49,23.98,20.24,19.21,23.41
ALLSKY_SFC_SW_DWN,2000,19.11,23.2,26.04,27.8,27.4,24.64,25.17,24.84,24.06,22.45,19.73,18.54,23.58
ALLSKY_SFC_SW_DWN,2001,20.62,22.89,26.73,25.95,26.64,26.35,25.4,23.97,24.38,23.53,21.28,18.96,23.89
ALLSKY_SFC_SW_DWN,2002,20.13,23.25,25.12,26.31,26.54,26.03,24.56,24.28,23.36,21.63,20.04,19.29,23.37
ALLSKY_SFC_SW_DWN,2003,20.1,22.16,25.49,26.31,27.97,23.99,24.51,23.1,22.46,22.34,19.98,19.36,23.15
ALLSKY_SFC_SW_DWN,2004,19.43,22.15,25.14,25.94,26.07,24.84,24.09,23.69,24.38,23.79,20.91,18.66,23.25
ALLSKY_SFC_SW_DWN,2005,19.57,20.21,23.44,26.51,25.32,22.95,24.77,23.46,23.19,22.78,20.51,18.88,22.65
ALLSKY_SFC_SW_DWN,2006,19.37,22.39,25.69,27.1,25.82,25.73,25.45,23.07,22.4,21.99,21.24,18.98,23.27
ALLSKY_SFC_SW_DWN,2007,19.73,22.65,25.0,24.5,25.5,25.27,23.63,22.62,24.33,23.45,19.69,18.39,22.89
ALLSKY_SFC_SW_DWN,2008,19.81,22.49,25.69,26.79,24.32,25.51,23.86,22.93,22.77,22.73,20.8,18.71,23.03
ALLSKY_SFC_SW_DWN,2009,19.36,21.74,23.93,25.44,26.25,25.05,24.42,22.75,22.79,21.05,20.7,19.3,22.73
ALLSKY_SFC_SW_DWN,2010,20.2,23.5,25.26,23.47,24.28,23.92,22.87,22.96,23.41,21.62,20.5,19.72,22.63
ALLSKY_SFC_SW_DWN,2011,19.69,20.15,22.23,25.45,25.73,25.32,24.18,22.91,24.07,21.43,21.25,19.35,22.65
ALLSKY_SFC_SW_DWN,2012,20.06,20.39,25.45,24.85,24.75,24.44,24.09,22.89,22.61,22.68,20.07,18.87,22.6
ALLSKY_SFC_SW_DWN,2013,19.02,22.52,24.49,25.0,26.64,25.96,24.95,22.5,22.92,22.68,20.88,18.42,22.99
ALLSKY_SFC_SW_DWN,2014,19.27,21.91,25.05,26.44,25.25,26.0,25.0,22.88,22.79,23.19,20.0,19.17,23.08
ALLSKY_SFC_SW_DWN,2015,19.67,22.36,23.77,27.57,26.06,25.25,24.06,21.88,22.2,21.92,20.38,19.25,22.86
ALLSKY_SFC_SW_DWN,2016,19.0,22.29,22.33,25.0,25.5,23.5,24.14,22.96,22.96,23.29,20.15,17.97,22.42
ALLSKY_SFC_SW_DWN,2017,20.35,21.17,26.18,25.35,25.65,22.16,24.14,22.82,24.44,23.08,20.56,17.5,22.79
ALLSKY_SFC_SW_DWN,2018,19.81,21.4,25.83,27.13,26.41,24.87,24.51,22.27,22.36,21.47,20.22,19.3,22.97
ALLSKY_SFC_SW_DWN,2019,20.32,22.13,22.9,25.16,25.53,24.93,24.47,22.52,23.88,20.95,20.93,20.06,22.81
ALLSKY_SFC_SW_DWN,2020,19.41,22.81,24.81,26.98,26.58,26.17,24.04,21.97,23.23,22.92,21.06,19.5,23.28
ALLSKY_SFC_SW_DWN,2021,21.04,22.53,23.91,27.64,28.88,26.26,24.2,22.48,23.7,22.3,20.69,18.64,23.52
ALLSKY_SFC_SW_DWN,2022,20.16,23.39,23.2,26.24,25.34,23.94,23.96,22.96,22.73,23.09,20.51,18.43,22.82
ALLSKY_SFC_SW_DWN,2023,19.98,21.79,24.78,25.42,25.65,24.03,25.02,22.54,23.33,21.79,20.02,18.96,22.78
