# Area: Papua New Guinea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -6.315   Longitude 143.9555 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1282.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.53,19.08,18.96,17.16,15.79,13.24,10.65,15.61,17.96,15.76,20.59,17.84,16.92
ALLSKY_SFC_SW_DWN,1985,17.88,19.1,19.25,17.27,16.9,14.41,14.83,14.96,16.19,18.27,19.45,18.9,17.27
ALLSKY_SFC_SW_DWN,1986,18.58,18.41,19.77,18.24,16.9,14.25,15.39,16.16,17.45,19.15,19.81,21.01,17.93
ALLSKY_SFC_SW_DWN,1987,19.06,18.44,19.18,18.08,16.07,14.04,14.69,14.56,15.5,19.45,18.85,19.44,17.28
ALLSKY_SFC_SW_DWN,1988,19.78,20.14,18.07,17.81,14.91,13.52,14.16,15.23,16.34,18.0,19.16,18.83,17.15
ALLSKY_SFC_SW_DWN,1989,19.09,19.58,17.86,17.59,16.99,15.16,15.27,15.06,16.98,18.08,19.82,18.85,17.51
ALLSKY_SFC_SW_DWN,1990,18.7,22.05,18.74,17.34,16.59,14.66,14.26,14.29,13.79,17.3,19.7,19.16,17.18
ALLSKY_SFC_SW_DWN,1991,18.87,18.63,18.8,17.29,16.69,15.0,13.47,13.11,18.22,17.52,19.73,19.14,17.19
ALLSKY_SFC_SW_DWN,1992,19.78,19.1,18.61,16.87,16.0,14.21,14.45,14.38,17.74,17.79,20.3,17.84,17.25
ALLSKY_SFC_SW_DWN,1993,18.29,19.67,18.47,16.84,16.27,13.39,12.8,14.48,15.04,19.21,18.33,17.61,16.68
ALLSKY_SFC_SW_DWN,1994,18.06,18.21,18.38,17.29,14.84,13.47,13.24,13.33,16.39,19.32,20.67,18.69,16.81
ALLSKY_SFC_SW_DWN,1995,18.43,19.26,18.33,17.02,16.35,14.59,14.47,14.89,15.93,17.89,18.28,18.51,16.98
ALLSKY_SFC_SW_DWN,1996,18.94,18.08,19.1,17.01,15.37,14.75,14.18,15.5,16.33,17.81,18.82,17.71,16.96
ALLSKY_SFC_SW_DWN,1997,18.36,18.12,19.35,17.56,17.22,15.61,14.0,16.69,20.33,22.26,21.16,18.38,18.25
ALLSKY_SFC_SW_DWN,1998,19.41,19.1,19.15,16.92,15.3,14.71,15.05,15.17,17.87,18.48,18.58,18.39,17.33
ALLSKY_SFC_SW_DWN,1999,19.82,18.5,18.29,17.99,16.92,14.79,14.3,13.92,15.79,18.49,18.59,18.27,17.13
ALLSKY_SFC_SW_DWN,2000,18.89,19.88,18.22,18.2,15.6,14.36,13.85,14.66,16.83,17.29,18.57,18.46,17.05
ALLSKY_SFC_SW_DWN,2001,18.51,18.3,18.0,17.22,14.73,13.56,13.35,13.22,16.54,20.11,17.81,17.59,16.57
ALLSKY_SFC_SW_DWN,2002,19.8,18.04,17.19,17.66,15.79,13.23,14.86,14.89,18.77,19.68,19.2,19.3,17.36
ALLSKY_SFC_SW_DWN,2003,18.37,18.42,18.03,17.95,14.91,17.03,12.91,13.48,15.62,19.01,18.59,17.86,16.83
ALLSKY_SFC_SW_DWN,2004,18.65,17.73,18.67,17.89,15.34,12.67,13.35,14.27,15.16,20.46,19.56,19.75,16.96
ALLSKY_SFC_SW_DWN,2005,16.82,19.12,19.54,16.58,13.26,13.7,13.26,13.32,14.99,17.64,17.69,18.45,16.18
ALLSKY_SFC_SW_DWN,2006,19.12,19.82,18.31,16.83,16.37,13.47,13.79,13.11,13.8,16.15,18.49,19.89,16.58
ALLSKY_SFC_SW_DWN,2007,17.54,18.9,17.56,16.36,16.27,15.7,12.29,14.47,14.25,18.13,18.95,18.81,16.59
ALLSKY_SFC_SW_DWN,2008,19.43,18.48,18.91,16.9,14.29,13.01,14.53,15.32,16.04,18.34,18.41,17.6,16.77
ALLSKY_SFC_SW_DWN,2009,19.54,18.52,17.43,17.59,16.16,13.77,11.21,14.5,15.96,17.62,16.68,18.76,16.47
ALLSKY_SFC_SW_DWN,2010,18.54,19.62,18.7,17.17,15.23,14.3,15.28,16.53,18.83,18.21,19.35,18.16,17.48
ALLSKY_SFC_SW_DWN,2011,19.27,19.03,19.08,16.74,13.53,11.77,11.93,12.81,14.09,18.99,18.64,19.0,16.23
ALLSKY_SFC_SW_DWN,2012,17.81,20.24,17.35,18.38,15.77,13.42,13.15,13.15,15.6,18.37,17.9,20.48,16.79
ALLSKY_SFC_SW_DWN,2013,18.09,18.8,19.76,16.88,15.47,13.63,12.9,13.47,15.2,16.96,17.81,18.25,16.42
ALLSKY_SFC_SW_DWN,2014,18.83,19.39,18.98,18.27,15.07,13.12,11.28,14.46,14.66,16.71,17.97,19.15,16.47
ALLSKY_SFC_SW_DWN,2015,18.23,19.03,18.73,17.62,15.72,13.75,14.54,15.5,17.01,18.36,19.62,18.72,17.22
ALLSKY_SFC_SW_DWN,2016,18.94,18.55,18.85,17.57,16.95,13.95,14.13,15.57,16.98,16.83,18.21,17.85,17.03
ALLSKY_SFC_SW_DWN,2017,18.31,17.79,18.04,16.31,16.0,14.15,13.0,14.13,16.42,16.9,17.64,17.92,16.38
ALLSKY_SFC_SW_DWN,2018,17.92,19.42,18.3,17.45,15.73,13.77,13.4,13.62,15.69,18.83,19.12,18.92,16.83
ALLSKY_SFC_SW_DWN,2019,18.38,20.28,16.87,17.06,16.07,13.2,13.18,14.38,15.1,18.22,18.13,19.55,16.68
ALLSKY_SFC_SW_DWN,2020,19.18,19.96,17.97,17.73,15.3,14.01,13.92,15.45,16.01,17.04,17.99,18.3,16.89
ALLSKY_SFC_SW_DWN,2021,18.82,18.11,18.56,17.16,15.38,15.25,14.43,15.82,16.03,18.53,18.99,18.31,17.11
ALLSKY_SFC_SW_DWN,2022,18.29,18.25,19.33,17.47,15.6,15.56,13.13,15.22,19.16,18.88,18.39,17.25,17.2
ALLSKY_SFC_SW_DWN,2023,17.85,17.76,19.05,16.37,14.11,13.43,12.68,13.78,13.7,18.06,18.09,18.27,16.09
