# Area: Philippines
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.88   Longitude 121.77 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 5.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,15.7,18.87,21.06,22.51,20.93,16.44,18.66,15.57,19.63,13.72,16.32,16.02,17.94
ALLSKY_SFC_SW_DWN,1985,16.78,20.65,22.08,21.59,23.02,17.12,19.3,18.93,17.69,17.56,17.05,17.06,19.06
ALLSKY_SFC_SW_DWN,1986,15.43,20.34,21.49,23.53,21.75,20.08,17.78,16.68,17.77,17.08,17.01,16.79,18.79
ALLSKY_SFC_SW_DWN,1987,17.63,20.08,23.11,24.12,22.85,19.15,17.66,18.5,16.67,19.76,15.61,15.87,19.25
ALLSKY_SFC_SW_DWN,1988,18.31,21.07,23.04,22.28,21.66,18.82,17.69,19.69,18.97,12.99,14.66,14.43,18.62
ALLSKY_SFC_SW_DWN,1989,14.62,17.57,19.32,22.82,20.4,20.09,18.44,16.1,18.37,18.72,17.52,16.83,18.39
ALLSKY_SFC_SW_DWN,1990,17.87,21.83,22.91,24.04,20.51,16.79,19.51,15.92,18.15,18.1,16.54,17.04,19.08
ALLSKY_SFC_SW_DWN,1991,17.87,19.34,22.11,23.56,23.06,19.82,16.91,14.46,16.5,18.88,17.3,16.61,18.86
ALLSKY_SFC_SW_DWN,1992,18.19,20.42,23.09,23.43,22.31,18.56,17.83,16.05,18.67,16.24,17.51,16.52,19.05
ALLSKY_SFC_SW_DWN,1993,17.98,19.94,21.49,23.63,23.21,19.14,17.75,16.72,18.3,16.31,15.95,13.52,18.65
ALLSKY_SFC_SW_DWN,1994,17.26,20.22,21.05,22.76,21.05,18.54,11.93,18.99,16.34,19.54,18.8,16.7,18.58
ALLSKY_SFC_SW_DWN,1995,17.06,20.67,22.01,23.65,21.64,21.11,17.95,17.63,15.38,16.94,15.49,13.07,18.53
ALLSKY_SFC_SW_DWN,1996,14.53,18.06,20.68,20.04,20.91,19.43,15.69,19.83,17.18,18.41,15.49,15.35,17.97
ALLSKY_SFC_SW_DWN,1997,17.82,17.3,21.28,23.01,19.52,20.55,16.55,17.06,18.58,19.19,18.08,17.4,18.86
ALLSKY_SFC_SW_DWN,1998,17.53,21.07,21.58,23.39,20.19,18.98,20.37,19.33,17.1,15.42,16.02,14.13,18.74
ALLSKY_SFC_SW_DWN,1999,15.0,17.39,19.04,20.37,19.19,17.37,16.59,16.24,18.3,18.51,15.18,14.74,17.32
ALLSKY_SFC_SW_DWN,2000,16.85,15.73,18.39,22.44,18.28,19.32,16.54,17.54,16.27,16.28,15.88,14.43,17.32
ALLSKY_SFC_SW_DWN,2001,15.76,16.59,20.26,23.27,20.56,18.43,18.1,14.97,20.05,16.89,14.95,15.39,17.93
ALLSKY_SFC_SW_DWN,2002,17.77,19.7,21.78,23.54,22.32,19.98,14.35,16.47,17.15,18.06,17.27,16.92,18.76
ALLSKY_SFC_SW_DWN,2003,17.41,20.62,22.79,24.63,18.13,18.93,18.38,17.43,17.44,17.59,17.39,15.1,18.8
ALLSKY_SFC_SW_DWN,2004,18.13,18.93,21.5,23.1,20.34,15.1,19.3,16.97,20.85,17.82,17.12,15.77,18.74
ALLSKY_SFC_SW_DWN,2005,17.82,20.73,21.92,22.97,21.39,18.69,17.31,15.28,15.77,17.4,16.8,12.41,18.18
ALLSKY_SFC_SW_DWN,2006,16.45,18.93,21.15,22.78,19.73,19.5,14.48,16.07,18.18,17.74,18.28,14.8,18.15
ALLSKY_SFC_SW_DWN,2007,16.13,20.69,22.32,23.65,21.47,20.23,19.1,16.27,15.79,15.23,13.68,15.08,18.28
ALLSKY_SFC_SW_DWN,2008,15.11,15.54,20.67,21.62,17.99,19.17,18.12,18.25,15.51,18.31,16.23,13.74,17.53
ALLSKY_SFC_SW_DWN,2009,14.71,17.53,22.0,19.74,18.18,16.83,15.82,18.48,13.76,16.59,17.76,16.7,17.34
ALLSKY_SFC_SW_DWN,2010,16.05,22.54,23.0,24.12,24.01,20.3,17.67,17.88,18.71,14.81,16.21,14.4,19.11
ALLSKY_SFC_SW_DWN,2011,14.6,18.13,17.03,23.02,18.64,16.53,15.75,16.15,17.07,17.56,15.95,14.64,17.07
ALLSKY_SFC_SW_DWN,2012,16.28,17.92,18.56,23.38,20.6,16.94,16.09,16.76,16.47,17.45,18.38,15.77,17.87
ALLSKY_SFC_SW_DWN,2013,15.84,18.31,22.68,23.53,20.58,17.51,17.48,14.9,15.64,17.8,16.33,15.64,18.02
ALLSKY_SFC_SW_DWN,2014,15.72,20.1,21.72,22.28,23.64,19.05,15.02,19.42,16.48,17.66,17.6,13.31,18.48
ALLSKY_SFC_SW_DWN,2015,16.42,20.58,22.7,24.41,23.36,19.66,17.65,18.2,20.31,17.76,18.66,16.07,19.63
ALLSKY_SFC_SW_DWN,2016,17.9,19.49,23.4,24.83,22.09,18.96,17.86,16.29,17.82,16.12,15.88,15.19,18.81
ALLSKY_SFC_SW_DWN,2017,14.42,19.25,21.48,23.3,21.49,20.47,15.59,18.47,17.91,15.49,16.23,13.5,18.11
ALLSKY_SFC_SW_DWN,2018,14.31,19.0,21.64,23.92,21.75,17.17,14.35,15.86,17.49,19.39,17.91,14.67,18.1
ALLSKY_SFC_SW_DWN,2019,17.77,22.01,23.77,25.05,22.17,20.2,17.4,14.84,17.78,19.8,15.93,15.53,19.33
ALLSKY_SFC_SW_DWN,2020,16.73,19.65,23.6,24.49,22.09,19.41,18.75,17.43,18.66,14.92,14.88,14.47,18.75
ALLSKY_SFC_SW_DWN,2021,14.89,17.49,21.19,22.39,22.17,18.93,16.34,18.14,17.23,15.35,16.74,14.94,17.98
ALLSKY_SFC_SW_DWN,2022,17.64,17.25,20.6,19.79,22.02,20.3,17.87,17.5,17.39,16.38,17.3,13.99,18.17
ALLSKY_SFC_SW_DWN,2023,12.18,17.47,22.68,22.14,19.75,19.11,16.68,18.63,18.46,17.8,15.95,16.92,18.14
