# Area: Puerto Rico
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.47   Longitude -66.11 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.26,17.13,19.9,21.86,20.73,19.78,19.8,19.86,14.94,14.79,14.47,14.44,17.84
ALLSKY_SFC_SW_DWN,1985,15.35,16.56,17.01,19.42,19.49,20.56,20.88,19.68,16.87,14.64,14.98,14.42,17.49
ALLSKY_SFC_SW_DWN,1986,14.56,16.91,18.66,19.15,18.28,19.06,19.58,19.54,18.16,16.31,13.64,15.0,17.41
ALLSKY_SFC_SW_DWN,1987,14.96,17.04,17.77,19.4,19.17,18.97,20.26,21.1,19.44,17.52,14.88,13.58,17.85
ALLSKY_SFC_SW_DWN,1988,14.15,16.74,18.75,20.07,20.76,19.74,20.08,19.07,18.88,17.57,15.74,14.16,17.98
ALLSKY_SFC_SW_DWN,1989,15.49,17.36,18.33,20.63,20.4,20.73,20.45,19.81,19.16,17.7,16.2,15.24,18.46
ALLSKY_SFC_SW_DWN,1990,15.07,16.56,18.22,21.46,21.89,20.11,20.86,20.89,19.53,14.56,15.37,14.16,18.23
ALLSKY_SFC_SW_DWN,1991,15.1,16.4,19.01,21.82,20.69,19.92,20.6,20.46,18.9,17.66,16.02,13.75,18.37
ALLSKY_SFC_SW_DWN,1992,14.03,16.98,18.43,20.21,18.41,20.48,21.86,20.9,19.24,17.43,14.75,14.94,18.14
ALLSKY_SFC_SW_DWN,1993,14.74,18.23,19.62,20.66,19.3,20.86,21.26,21.95,18.82,18.27,16.31,15.09,18.76
ALLSKY_SFC_SW_DWN,1994,16.35,18.22,19.77,21.99,21.46,21.42,21.99,22.24,19.47,17.74,15.04,15.32,19.26
ALLSKY_SFC_SW_DWN,1995,14.88,15.99,18.86,21.06,21.09,21.98,20.62,20.47,17.18,18.07,16.17,14.39,18.41
ALLSKY_SFC_SW_DWN,1996,14.64,17.63,19.23,21.42,21.29,20.89,20.58,20.15,18.32,18.42,13.76,14.11,18.37
ALLSKY_SFC_SW_DWN,1997,15.29,17.38,19.46,21.5,22.01,22.24,20.84,21.29,20.64,17.24,15.7,15.65,19.11
ALLSKY_SFC_SW_DWN,1998,15.74,17.39,18.17,20.63,20.04,21.37,21.36,20.84,19.42,17.62,15.72,14.29,18.55
ALLSKY_SFC_SW_DWN,1999,16.16,17.24,20.54,22.87,21.74,19.51,20.15,20.96,19.74,16.53,13.77,12.72,18.5
ALLSKY_SFC_SW_DWN,2000,15.93,17.7,20.13,21.61,21.58,21.43,22.55,21.29,18.6,18.02,16.86,15.17,19.24
ALLSKY_SFC_SW_DWN,2001,14.82,18.16,19.71,21.5,19.92,21.85,21.87,21.22,20.64,17.11,14.23,12.89,18.65
ALLSKY_SFC_SW_DWN,2002,15.64,18.08,20.55,19.65,22.19,21.1,22.41,20.5,18.31,18.7,17.36,14.64,19.1
ALLSKY_SFC_SW_DWN,2003,15.49,18.0,20.47,18.96,22.05,20.33,20.78,20.47,20.47,17.86,13.42,13.84,18.52
ALLSKY_SFC_SW_DWN,2004,15.44,17.29,19.29,21.25,18.74,21.49,21.28,21.36,17.5,17.05,14.27,14.7,18.31
ALLSKY_SFC_SW_DWN,2005,13.78,17.58,20.24,20.01,18.23,19.9,19.75,20.16,20.07,15.09,15.97,14.84,17.96
ALLSKY_SFC_SW_DWN,2006,14.87,18.47,19.16,20.87,21.38,20.47,19.84,20.17,20.34,17.13,16.66,14.58,18.65
ALLSKY_SFC_SW_DWN,2007,16.26,17.75,17.96,20.54,20.87,21.9,21.04,20.6,20.04,16.11,15.59,14.73,18.61
ALLSKY_SFC_SW_DWN,2008,15.63,17.94,19.67,21.04,21.39,20.68,22.11,20.65,16.84,17.75,15.76,14.92,18.7
ALLSKY_SFC_SW_DWN,2009,15.86,17.7,18.29,22.22,18.59,21.35,21.37,21.14,19.87,18.99,15.72,14.67,18.81
ALLSKY_SFC_SW_DWN,2010,14.45,16.83,19.0,19.79,19.1,19.08,19.56,20.35,19.42,17.67,14.53,13.14,17.75
ALLSKY_SFC_SW_DWN,2011,15.54,17.82,20.35,22.04,17.83,19.2,20.02,19.51,19.2,18.87,15.12,14.93,18.37
ALLSKY_SFC_SW_DWN,2012,15.84,17.87,19.11,21.04,21.12,22.87,20.81,19.53,21.24,17.27,15.66,14.41,18.89
ALLSKY_SFC_SW_DWN,2013,15.11,18.27,18.62,22.41,20.42,19.25,20.91,20.84,19.3,17.82,15.69,14.0,18.55
ALLSKY_SFC_SW_DWN,2014,16.36,18.5,21.13,22.45,20.6,21.02,22.12,20.31,19.82,19.55,15.51,15.5,19.41
ALLSKY_SFC_SW_DWN,2015,15.95,17.66,20.68,23.12,20.95,21.23,21.38,21.35,20.87,17.81,14.51,14.73,19.19
ALLSKY_SFC_SW_DWN,2016,15.23,18.3,19.22,19.62,20.21,20.86,20.91,20.97,20.75,16.18,13.22,15.18,18.39
ALLSKY_SFC_SW_DWN,2017,16.31,18.4,18.85,20.14,20.91,22.39,21.79,21.02,16.75,17.01,14.72,15.33,18.64
ALLSKY_SFC_SW_DWN,2018,15.58,18.52,20.87,23.34,22.83,21.7,21.41,21.47,19.79,17.05,16.72,16.04,19.61
ALLSKY_SFC_SW_DWN,2019,16.42,18.67,21.39,23.5,20.56,22.89,22.07,21.98,19.41,18.98,17.28,15.04,19.85
ALLSKY_SFC_SW_DWN,2020,15.8,18.73,20.25,23.34,22.81,23.07,21.45,22.13,20.64,17.94,15.39,15.79,19.77
ALLSKY_SFC_SW_DWN,2021,16.55,19.36,22.22,22.3,22.35,20.79,21.74,22.03,20.88,18.26,17.01,15.55,19.92
ALLSKY_SFC_SW_DWN,2022,17.32,18.43,21.37,22.46,21.97,22.97,21.75,21.82,19.67,18.0,16.42,16.42,19.89
ALLSKY_SFC_SW_DWN,2023,16.57,19.46,22.27,22.45,22.88,23.3,21.35,20.58,21.52,17.87,15.58,15.09,19.9
