# Area: Qatar
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  25.35   Longitude 51.18 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 21.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,11.96,14.37,15.73,19.97,21.98,22.91,22.15,21.14,19.24,16.07,13.14,10.42,17.43
ALLSKY_SFC_SW_DWN,1985,12.04,14.23,15.75,20.83,21.98,22.58,22.47,22.58,19.89,17.06,13.52,10.82,17.83
ALLSKY_SFC_SW_DWN,1986,11.68,14.1,15.62,18.33,21.7,22.65,21.2,20.95,18.11,15.44,11.61,10.07,16.8
ALLSKY_SFC_SW_DWN,1987,10.56,12.58,13.79,18.68,20.73,21.78,22.67,20.49,18.52,14.85,12.29,10.76,16.49
ALLSKY_SFC_SW_DWN,1988,10.91,11.76,14.65,17.8,21.82,22.6,21.97,21.8,19.44,16.92,13.39,11.24,17.04
ALLSKY_SFC_SW_DWN,1989,13.11,14.57,16.57,18.41,23.54,23.37,22.79,22.49,20.13,17.59,13.91,11.34,18.17
ALLSKY_SFC_SW_DWN,1990,12.18,14.48,18.16,19.61,23.87,24.13,23.49,23.07,20.46,17.5,14.56,12.87,18.72
ALLSKY_SFC_SW_DWN,1991,11.49,13.54,16.59,20.0,23.07,23.37,23.38,22.62,20.16,16.79,14.61,11.47,18.11
ALLSKY_SFC_SW_DWN,1992,10.77,13.77,14.87,20.17,22.05,22.62,22.69,22.41,20.07,17.1,13.32,10.09,17.5
ALLSKY_SFC_SW_DWN,1993,11.39,13.33,17.18,18.58,22.62,23.99,23.03,22.76,20.0,17.03,14.37,12.52,18.09
ALLSKY_SFC_SW_DWN,1994,12.87,14.99,16.24,18.99,21.08,23.53,22.5,22.13,19.89,16.51,14.06,11.97,17.91
ALLSKY_SFC_SW_DWN,1995,13.31,14.18,16.75,19.57,23.08,23.94,22.2,22.71,20.6,17.83,14.5,8.65,18.13
ALLSKY_SFC_SW_DWN,1996,12.32,13.82,15.09,20.48,22.86,24.47,23.1,22.88,20.63,17.57,13.72,12.76,18.32
ALLSKY_SFC_SW_DWN,1997,13.17,15.24,15.75,21.05,23.86,24.08,23.18,23.5,21.44,16.37,11.35,10.72,18.32
ALLSKY_SFC_SW_DWN,1998,11.12,15.37,17.59,21.45,21.79,24.14,23.55,23.18,21.22,18.22,14.98,13.07,18.82
ALLSKY_SFC_SW_DWN,1999,12.63,14.61,19.42,23.51,24.6,25.88,23.7,23.3,21.22,18.56,14.77,12.97,19.62
ALLSKY_SFC_SW_DWN,2000,12.39,17.02,20.0,21.96,24.74,25.13,23.61,23.42,21.03,17.65,11.83,11.73,19.21
ALLSKY_SFC_SW_DWN,2001,13.31,15.98,19.08,22.48,23.92,25.34,23.32,23.04,20.86,18.17,14.8,11.89,19.36
ALLSKY_SFC_SW_DWN,2002,12.0,15.6,17.29,21.87,24.19,25.66,24.98,23.61,21.19,18.19,13.9,11.55,19.18
ALLSKY_SFC_SW_DWN,2003,12.64,14.41,17.32,20.04,22.56,25.53,22.5,22.68,21.61,17.9,13.72,11.24,18.53
ALLSKY_SFC_SW_DWN,2004,12.63,16.31,19.1,19.77,23.93,26.07,24.4,23.2,21.0,18.17,13.3,10.56,19.04
ALLSKY_SFC_SW_DWN,2005,12.6,14.55,17.52,21.45,23.28,25.01,23.69,23.1,21.49,18.12,13.81,12.45,18.94
ALLSKY_SFC_SW_DWN,2006,12.5,13.81,18.22,20.06,23.9,25.32,22.93,21.9,21.19,17.6,12.8,10.41,18.41
ALLSKY_SFC_SW_DWN,2007,12.58,15.59,19.14,19.97,24.53,25.1,24.54,23.8,21.86,18.19,14.98,12.33,19.4
ALLSKY_SFC_SW_DWN,2008,10.89,16.61,21.05,21.81,23.84,23.78,23.47,22.34,20.55,17.62,13.5,13.25,19.06
ALLSKY_SFC_SW_DWN,2009,13.07,15.22,18.11,20.28,23.7,24.14,22.16,22.61,21.18,17.62,14.12,11.4,18.65
ALLSKY_SFC_SW_DWN,2010,13.92,15.69,20.06,19.18,23.08,25.24,23.63,22.6,21.11,18.14,14.4,13.02,19.19
ALLSKY_SFC_SW_DWN,2011,12.12,15.69,18.31,18.57,23.67,24.45,23.52,22.94,21.27,17.78,13.54,13.23,18.77
ALLSKY_SFC_SW_DWN,2012,13.79,15.44,17.51,19.9,23.44,24.99,24.05,23.07,21.33,17.76,13.68,11.08,18.84
ALLSKY_SFC_SW_DWN,2013,12.81,16.56,19.32,19.43,23.33,23.66,23.98,22.55,21.19,17.91,13.25,12.31,18.87
ALLSKY_SFC_SW_DWN,2014,12.33,16.0,18.85,22.36,24.28,26.03,24.32,23.32,21.41,18.0,13.74,12.66,19.45
ALLSKY_SFC_SW_DWN,2015,13.34,15.82,17.55,21.41,22.91,25.2,23.62,23.12,20.35,17.51,13.05,11.69,18.81
ALLSKY_SFC_SW_DWN,2016,12.81,16.32,17.25,20.39,24.17,25.78,23.78,23.29,21.25,18.5,13.75,12.42,19.14
ALLSKY_SFC_SW_DWN,2017,13.08,13.63,16.36,22.45,23.72,25.48,24.4,23.09,20.85,18.18,13.85,12.64,19.0
ALLSKY_SFC_SW_DWN,2018,14.07,15.56,20.7,18.87,22.65,25.13,24.12,22.95,20.89,16.14,12.91,12.34,18.88
ALLSKY_SFC_SW_DWN,2019,12.99,15.13,18.87,19.34,22.96,25.47,24.69,22.95,21.36,16.95,13.35,11.4,18.81
ALLSKY_SFC_SW_DWN,2020,13.29,16.41,19.0,18.89,24.16,26.06,23.71,22.43,21.34,18.04,13.5,12.83,19.14
ALLSKY_SFC_SW_DWN,2021,14.1,16.0,19.72,22.58,25.5,25.36,23.87,23.67,21.76,18.41,14.76,11.87,19.82
ALLSKY_SFC_SW_DWN,2022,12.5,17.82,19.31,21.09,22.41,25.52,20.74,21.5,20.98,18.11,13.8,11.07,18.73
ALLSKY_SFC_SW_DWN,2023,10.79,15.79,18.57,20.49,23.22,25.07,23.66,21.8,20.93,18.03,12.74,12.16,18.62
