# Area: Saint Lucia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.91   Longitude -60.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.41,19.5,21.4,22.34,21.38,20.53,18.71,20.23,19.3,16.5,15.5,16.67,19.12
ALLSKY_SFC_SW_DWN,1985,17.01,18.1,20.18,19.97,20.4,17.73,19.25,20.32,19.1,17.93,16.44,15.93,18.54
ALLSKY_SFC_SW_DWN,1986,17.08,19.45,20.45,20.6,17.86,18.16,18.61,18.79,18.11,18.63,16.26,16.09,18.33
ALLSKY_SFC_SW_DWN,1987,16.36,18.49,20.62,22.23,19.45,17.06,19.11,20.33,19.04,18.39,16.14,16.9,18.68
ALLSKY_SFC_SW_DWN,1988,17.24,17.9,20.79,21.95,22.47,19.8,20.18,19.54,17.45,16.22,16.28,16.44,18.86
ALLSKY_SFC_SW_DWN,1989,17.97,19.51,20.0,21.52,22.05,18.42,19.27,21.68,18.48,20.15,16.47,16.79,19.36
ALLSKY_SFC_SW_DWN,1990,16.71,18.71,20.16,21.27,19.54,18.21,20.06,20.09,20.81,15.81,17.86,17.6,18.9
ALLSKY_SFC_SW_DWN,1991,17.08,19.56,21.53,20.83,21.21,19.72,18.83,20.73,19.56,19.42,14.73,16.18,19.11
ALLSKY_SFC_SW_DWN,1992,16.63,18.05,20.88,21.09,18.99,15.18,19.13,19.43,18.29,21.49,14.89,17.43,18.47
ALLSKY_SFC_SW_DWN,1993,18.59,21.54,22.55,23.65,21.52,20.3,21.89,22.29,21.5,19.65,18.84,18.32,20.88
ALLSKY_SFC_SW_DWN,1994,18.55,20.32,22.41,24.45,23.35,21.81,22.42,21.85,19.45,20.31,17.49,17.06,20.79
ALLSKY_SFC_SW_DWN,1995,17.98,18.67,19.89,21.45,24.34,20.71,22.51,20.25,20.03,19.31,18.55,18.32,20.18
ALLSKY_SFC_SW_DWN,1996,18.4,20.69,21.72,22.37,21.71,19.85,19.61,21.97,18.51,17.11,17.06,16.89,19.66
ALLSKY_SFC_SW_DWN,1997,18.56,19.88,22.79,24.16,23.51,21.69,21.05,21.26,21.57,19.7,19.25,17.99,20.95
ALLSKY_SFC_SW_DWN,1998,18.62,21.91,22.16,22.94,21.9,19.33,22.55,22.1,21.65,17.46,18.56,16.32,20.44
ALLSKY_SFC_SW_DWN,1999,19.26,21.43,22.57,22.78,24.37,21.26,21.97,22.93,21.05,19.64,17.11,17.09,20.96
ALLSKY_SFC_SW_DWN,2000,18.54,20.05,20.77,23.39,22.5,20.6,22.71,22.48,21.24,19.84,16.12,18.37,20.56
ALLSKY_SFC_SW_DWN,2001,18.6,21.07,23.77,23.4,23.79,22.34,21.2,23.09,21.92,18.28,20.44,16.22,21.17
ALLSKY_SFC_SW_DWN,2002,18.99,21.13,23.26,22.92,22.38,21.83,21.72,22.7,20.85,19.3,18.36,19.08,21.04
ALLSKY_SFC_SW_DWN,2003,18.96,21.19,24.04,23.9,22.12,20.91,21.32,22.47,22.25,20.16,17.58,18.03,21.07
ALLSKY_SFC_SW_DWN,2004,19.33,21.41,22.97,22.34,19.45,20.47,21.26,22.28,22.57,19.58,16.36,18.29,20.52
ALLSKY_SFC_SW_DWN,2005,16.34,21.02,23.56,24.2,22.71,18.58,20.06,23.38,21.98,18.75,16.88,17.96,20.45
ALLSKY_SFC_SW_DWN,2006,18.45,21.03,22.9,24.37,23.95,21.34,21.98,21.88,22.21,19.95,19.2,16.71,21.16
ALLSKY_SFC_SW_DWN,2007,18.69,21.25,21.02,23.43,24.02,22.24,22.44,21.39,22.66,18.89,19.22,17.41,21.05
ALLSKY_SFC_SW_DWN,2008,18.48,21.62,22.68,22.46,24.04,20.89,22.4,22.58,20.41,18.63,17.78,18.56,20.88
ALLSKY_SFC_SW_DWN,2009,18.39,20.79,22.16,23.53,22.03,21.14,20.22,22.62,21.23,21.35,19.5,19.16,21.01
ALLSKY_SFC_SW_DWN,2010,19.33,21.92,23.6,21.42,22.36,21.06,20.56,22.34,20.06,18.61,18.01,17.22,20.53
ALLSKY_SFC_SW_DWN,2011,18.58,20.59,22.11,20.98,21.48,20.16,20.63,20.51,20.54,20.2,17.12,16.7,19.96
ALLSKY_SFC_SW_DWN,2012,19.46,21.42,19.96,22.9,19.66,22.3,22.27,20.18,22.7,20.13,19.84,17.41,20.67
ALLSKY_SFC_SW_DWN,2013,19.07,21.93,23.33,21.58,21.86,20.24,23.28,21.92,21.38,19.11,19.22,16.83,20.81
ALLSKY_SFC_SW_DWN,2014,19.29,20.98,23.3,24.09,22.82,21.13,22.3,20.36,21.4,20.07,18.02,19.02,21.07
ALLSKY_SFC_SW_DWN,2015,19.34,21.41,23.34,22.83,22.48,21.23,21.48,22.98,22.78,19.78,17.43,17.91,21.08
ALLSKY_SFC_SW_DWN,2016,18.26,20.68,22.95,23.1,20.95,21.05,22.42,23.37,21.08,20.33,14.57,17.95,20.57
ALLSKY_SFC_SW_DWN,2017,19.07,21.1,22.58,23.03,21.69,19.44,22.86,22.55,19.47,18.99,19.11,18.05,20.66
ALLSKY_SFC_SW_DWN,2018,18.26,21.62,21.87,22.94,23.75,22.07,21.81,23.09,22.1,20.0,18.14,18.73,21.19
ALLSKY_SFC_SW_DWN,2019,19.85,21.66,22.76,23.48,22.15,19.85,22.42,22.29,22.25,20.18,18.5,18.32,21.14
ALLSKY_SFC_SW_DWN,2020,19.34,20.2,23.76,25.03,22.99,20.37,22.5,22.26,22.55,17.59,16.67,18.77,21.01
ALLSKY_SFC_SW_DWN,2021,18.46,20.98,22.77,22.34,23.34,20.39,22.19,22.51,23.63,20.01,19.89,18.48,21.25
ALLSKY_SFC_SW_DWN,2022,19.33,20.65,23.11,22.47,21.55,20.63,21.78,22.46,21.03,18.75,17.49,18.08,20.61
ALLSKY_SFC_SW_DWN,2023,18.21,21.7,24.38,22.78,23.17,22.64,20.71,19.97,23.34,19.0,18.61,16.98,20.94
