# Area: Serbia and Montenegro
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  43.5   Longitude 20.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 795.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,5.25,8.7,12.3,13.89,19.63,20.84,21.08,17.35,14.84,9.62,7.18,4.42,12.94
ALLSKY_SFC_SW_DWN,1985,6.27,8.76,11.36,14.94,18.85,19.31,22.01,18.58,16.21,9.83,5.58,5.23,13.1
ALLSKY_SFC_SW_DWN,1986,5.5,8.21,9.66,16.26,18.57,17.85,18.11,19.57,15.91,10.66,6.55,4.63,12.64
ALLSKY_SFC_SW_DWN,1987,4.97,8.85,12.65,15.53,16.39,20.5,22.43,18.58,16.08,9.95,5.16,3.84,12.93
ALLSKY_SFC_SW_DWN,1988,5.11,7.97,10.88,14.81,18.12,21.34,24.36,21.07,13.14,10.06,5.62,3.54,13.02
ALLSKY_SFC_SW_DWN,1989,6.3,7.73,11.78,14.04,16.97,17.74,21.06,18.05,13.38,10.42,6.61,4.64,12.43
ALLSKY_SFC_SW_DWN,1990,6.66,9.04,12.44,12.96,18.08,21.4,23.41,20.19,13.32,10.96,5.64,3.83,13.19
ALLSKY_SFC_SW_DWN,1991,5.22,8.42,11.38,13.37,13.58,21.89,18.97,16.91,15.85,9.11,5.98,4.92,12.14
ALLSKY_SFC_SW_DWN,1992,6.07,8.88,12.39,13.58,19.87,17.93,22.86,22.25,17.84,8.4,6.23,5.23,13.48
ALLSKY_SFC_SW_DWN,1993,6.93,8.1,12.22,16.36,19.55,24.05,23.23,21.27,15.07,10.34,6.43,4.81,14.06
ALLSKY_SFC_SW_DWN,1994,5.11,8.73,12.86,14.14,21.31,22.81,22.52,21.41,16.22,10.48,6.61,4.2,13.9
ALLSKY_SFC_SW_DWN,1995,5.94,8.67,9.98,15.78,16.53,20.31,22.39,17.3,13.59,12.6,6.21,4.13,12.81
ALLSKY_SFC_SW_DWN,1996,5.26,8.86,11.76,16.17,17.21,23.37,23.32,17.85,11.17,8.56,6.29,4.47,12.86
ALLSKY_SFC_SW_DWN,1997,5.8,9.13,12.01,14.73,21.04,22.73,19.38,17.48,15.25,9.77,6.47,3.83,13.15
ALLSKY_SFC_SW_DWN,1998,6.01,10.07,13.3,16.17,20.79,22.73,23.44,20.04,13.06,9.47,5.56,5.29,13.85
ALLSKY_SFC_SW_DWN,1999,5.77,8.93,12.55,14.9,19.41,19.41,20.77,20.32,14.71,9.6,5.82,4.06,13.05
ALLSKY_SFC_SW_DWN,2000,6.53,8.71,12.88,17.32,23.35,23.62,23.14,22.35,12.99,9.85,6.18,4.76,14.33
ALLSKY_SFC_SW_DWN,2001,4.23,7.85,11.91,13.94,19.1,20.86,21.51,20.12,13.45,11.82,5.58,4.31,12.93
ALLSKY_SFC_SW_DWN,2002,5.9,9.42,12.11,14.8,18.96,21.88,20.25,16.36,12.48,9.72,5.95,3.29,12.61
ALLSKY_SFC_SW_DWN,2003,4.36,8.72,13.03,14.69,21.11,24.23,22.31,21.76,13.54,8.5,6.33,5.16,13.67
ALLSKY_SFC_SW_DWN,2004,4.76,9.12,12.84,14.55,18.41,20.71,21.04,20.32,14.53,10.23,6.11,4.37,13.1
ALLSKY_SFC_SW_DWN,2005,5.4,7.67,13.16,15.16,18.94,21.4,20.78,16.28,12.54,9.56,6.08,3.67,12.58
ALLSKY_SFC_SW_DWN,2006,6.06,8.18,11.18,13.26,20.66,20.79,21.94,18.29,15.41,11.42,7.32,4.73,13.3
ALLSKY_SFC_SW_DWN,2007,5.87,7.64,12.0,20.66,18.89,23.36,25.47,19.21,13.62,7.93,5.27,4.47,13.73
ALLSKY_SFC_SW_DWN,2008,6.61,9.63,12.47,13.85,21.02,22.16,21.81,22.29,12.43,10.95,6.29,3.78,13.63
ALLSKY_SFC_SW_DWN,2009,5.14,7.04,9.66,17.48,21.65,20.5,24.2,19.24,14.7,8.71,6.49,3.97,13.26
ALLSKY_SFC_SW_DWN,2010,4.46,6.88,11.56,14.93,17.34,19.56,21.46,21.0,14.46,8.25,6.98,4.95,12.69
ALLSKY_SFC_SW_DWN,2011,5.66,8.2,11.39,15.82,18.56,21.98,22.21,22.17,15.99,10.66,7.96,4.81,13.81
ALLSKY_SFC_SW_DWN,2012,4.63,7.86,15.33,16.25,17.48,27.18,24.75,22.7,16.36,11.29,6.15,3.97,14.51
ALLSKY_SFC_SW_DWN,2013,4.74,6.31,11.52,17.81,19.96,20.37,24.08,20.88,15.18,11.22,5.5,5.6,13.65
ALLSKY_SFC_SW_DWN,2014,5.52,9.12,13.31,12.15,18.25,21.4,21.13,20.68,11.4,9.8,5.95,4.44,12.79
ALLSKY_SFC_SW_DWN,2015,5.13,8.36,10.61,17.27,19.5,21.59,25.45,20.55,13.84,9.38,7.81,5.79,13.8
ALLSKY_SFC_SW_DWN,2016,5.31,8.18,10.54,16.93,18.33,22.21,23.08,18.93,15.18,8.14,6.46,5.69,13.25
ALLSKY_SFC_SW_DWN,2017,5.85,8.98,13.03,15.9,19.0,24.85,24.16,21.64,14.43,11.2,5.7,4.25,14.11
ALLSKY_SFC_SW_DWN,2018,5.69,7.04,10.51,18.69,22.35,18.88,19.44,20.73,16.66,11.07,6.49,4.23,13.51
ALLSKY_SFC_SW_DWN,2019,4.52,8.4,14.41,15.71,16.02,24.14,22.29,22.09,15.78,12.69,5.81,4.57,13.9
ALLSKY_SFC_SW_DWN,2020,6.92,8.55,12.29,19.69,17.33,20.02,22.85,19.85,16.88,10.24,6.47,4.41,13.8
ALLSKY_SFC_SW_DWN,2021,5.1,9.48,11.72,16.03,21.09,23.52,22.58,20.81,15.5,9.43,6.28,3.47,13.77
ALLSKY_SFC_SW_DWN,2022,5.75,8.41,13.98,16.87,22.0,24.0,25.16,18.6,13.49,11.9,5.73,4.79,14.26
ALLSKY_SFC_SW_DWN,2023,4.56,9.51,12.74,12.61,15.96,18.48,25.3,20.79,16.03,11.23,6.1,5.19,13.24
