# Area: Tajikistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.86   Longitude 71.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3367.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,6.84,6.21,10.32,17.37,21.07,25.83,26.13,25.07,20.27,14.65,10.01,9.93,16.17
ALLSKY_SFC_SW_DWN,1985,6.95,7.22,9.65,17.39,21.26,23.39,26.02,24.05,21.44,13.86,8.78,4.92,15.45
ALLSKY_SFC_SW_DWN,1986,5.48,6.7,9.7,16.43,21.26,23.1,24.33,22.62,20.6,14.18,7.93,4.98,14.82
ALLSKY_SFC_SW_DWN,1987,6.84,6.68,7.53,13.26,20.73,22.57,22.88,23.88,19.9,9.47,8.22,7.08,14.13
ALLSKY_SFC_SW_DWN,1988,5.97,7.96,8.15,15.58,19.83,24.64,25.65,23.79,21.95,13.48,10.27,6.33,15.31
ALLSKY_SFC_SW_DWN,1989,8.36,5.86,8.32,14.48,19.08,22.56,23.01,24.19,20.94,14.38,8.34,6.54,14.72
ALLSKY_SFC_SW_DWN,1990,4.64,5.81,8.13,13.55,20.17,23.97,24.19,23.73,21.83,13.96,10.76,5.69,14.74
ALLSKY_SFC_SW_DWN,1991,5.16,8.69,8.62,15.49,18.54,23.61,24.18,23.37,20.23,12.11,9.57,5.04,14.57
ALLSKY_SFC_SW_DWN,1992,5.86,6.82,8.69,15.45,20.16,21.8,23.68,23.13,19.58,15.09,10.4,6.51,14.79
ALLSKY_SFC_SW_DWN,1993,7.26,8.55,8.29,14.28,17.82,23.16,24.39,23.54,21.33,13.61,9.88,9.56,15.17
ALLSKY_SFC_SW_DWN,1994,8.21,7.89,9.26,14.47,21.23,24.85,27.61,26.27,20.44,13.89,11.49,9.63,16.32
ALLSKY_SFC_SW_DWN,1995,9.83,7.71,10.86,14.4,21.27,22.83,25.47,26.03,20.79,13.86,10.88,7.23,15.98
ALLSKY_SFC_SW_DWN,1996,7.59,5.95,7.95,14.63,20.5,22.68,24.54,24.3,21.66,12.82,9.72,9.14,15.15
ALLSKY_SFC_SW_DWN,1997,7.16,8.36,10.44,17.14,21.46,22.32,26.62,25.65,22.92,15.41,8.83,6.56,16.12
ALLSKY_SFC_SW_DWN,1998,4.62,7.11,10.52,17.28,19.0,23.09,26.59,23.46,21.21,16.03,11.01,5.87,15.52
ALLSKY_SFC_SW_DWN,1999,8.83,9.25,11.51,15.84,22.61,22.31,22.62,23.14,20.88,15.01,5.61,7.62,15.48
ALLSKY_SFC_SW_DWN,2000,7.1,11.25,13.75,18.06,21.7,22.87,25.85,25.25,20.58,10.23,5.34,4.87,15.58
ALLSKY_SFC_SW_DWN,2001,7.26,9.12,13.56,17.47,21.96,27.5,26.29,24.25,20.6,11.63,7.74,6.13,16.16
ALLSKY_SFC_SW_DWN,2002,8.4,8.1,14.34,15.69,19.19,23.18,24.84,25.67,20.13,15.53,8.92,5.05,15.8
ALLSKY_SFC_SW_DWN,2003,6.83,6.95,11.54,14.35,22.13,24.34,25.68,23.33,20.44,13.37,7.95,5.58,15.26
ALLSKY_SFC_SW_DWN,2004,6.29,8.21,11.36,17.29,22.35,24.09,23.3,24.38,21.24,11.35,8.07,5.32,15.28
ALLSKY_SFC_SW_DWN,2005,6.25,7.58,11.89,17.44,19.97,23.46,25.34,22.84,21.81,12.77,7.81,8.45,15.51
ALLSKY_SFC_SW_DWN,2006,5.06,7.69,12.26,18.16,20.3,23.79,26.35,25.87,21.23,12.69,7.08,6.45,15.62
ALLSKY_SFC_SW_DWN,2007,8.3,8.45,9.82,19.71,21.28,24.4,24.57,25.72,23.01,16.24,9.33,6.17,16.45
ALLSKY_SFC_SW_DWN,2008,6.12,9.67,13.97,17.18,24.0,27.32,26.24,25.39,20.52,11.66,6.76,5.88,16.24
ALLSKY_SFC_SW_DWN,2009,6.79,6.98,12.17,15.97,20.14,21.1,24.76,24.53,18.27,14.16,8.18,5.74,14.95
ALLSKY_SFC_SW_DWN,2010,5.78,5.49,12.47,17.9,18.68,20.58,23.93,22.51,18.35,12.82,10.59,8.75,14.88
ALLSKY_SFC_SW_DWN,2011,6.99,6.85,11.38,20.34,21.85,24.82,26.98,25.68,21.15,11.8,4.47,5.85,15.73
ALLSKY_SFC_SW_DWN,2012,7.36,7.41,10.93,18.48,19.39,23.27,25.62,24.46,19.9,14.69,9.35,6.36,15.62
ALLSKY_SFC_SW_DWN,2013,7.23,7.27,12.75,17.2,21.87,22.95,26.72,23.44,21.57,15.94,8.05,5.66,15.94
ALLSKY_SFC_SW_DWN,2014,6.89,8.43,13.09,16.22,21.2,23.05,26.79,25.39,22.04,11.61,7.71,7.4,15.86
ALLSKY_SFC_SW_DWN,2015,6.05,7.07,11.81,18.51,22.7,24.15,22.93,23.21,20.72,13.5,7.2,6.79,15.43
ALLSKY_SFC_SW_DWN,2016,7.59,11.44,13.73,17.69,19.49,25.06,24.54,24.85,21.21,13.02,8.91,5.66,16.1
ALLSKY_SFC_SW_DWN,2017,6.34,9.16,13.28,20.24,26.13,25.27,25.4,25.96,20.42,14.18,10.23,6.57,16.97
ALLSKY_SFC_SW_DWN,2018,6.45,9.75,13.46,20.89,21.29,24.9,27.13,27.12,20.11,11.97,7.37,7.13,16.5
ALLSKY_SFC_SW_DWN,2019,6.61,9.65,16.68,17.58,27.57,22.46,28.09,26.4,22.47,12.81,8.59,7.39,17.25
ALLSKY_SFC_SW_DWN,2020,7.71,10.94,15.69,21.96,23.03,23.36,24.11,26.13,22.25,13.46,9.38,6.3,17.03
ALLSKY_SFC_SW_DWN,2021,10.63,10.05,10.64,23.26,22.15,25.32,24.93,25.25,23.97,13.5,9.41,8.19,17.3
ALLSKY_SFC_SW_DWN,2022,7.17,11.7,11.35,23.76,24.5,25.35,28.63,23.79,23.01,13.17,7.26,7.43,17.28
ALLSKY_SFC_SW_DWN,2023,9.27,12.05,19.09,19.27,21.31,26.26,26.53,24.77,21.29,13.95,10.68,8.78,17.8
