# Area: Timor-Leste
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -8.87   Longitude 125.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 741.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,18.49,18.69,19.82,19.2,17.36,15.97,15.75,21.01,22.88,23.94,23.78,19.69,19.71
ALLSKY_SFC_SW_DWN,1985,22.6,19.34,21.81,20.82,19.27,17.45,17.03,21.95,23.1,23.44,22.77,20.73,20.87
ALLSKY_SFC_SW_DWN,1986,18.69,17.93,20.32,21.6,20.17,16.43,16.6,18.68,22.93,24.0,23.04,23.45,20.33
ALLSKY_SFC_SW_DWN,1987,17.09,18.77,21.99,21.12,18.92,18.24,18.06,21.7,22.97,25.5,22.37,20.44,20.61
ALLSKY_SFC_SW_DWN,1988,21.79,22.52,18.93,20.92,18.99,18.01,18.09,19.4,22.74,23.83,20.01,18.83,20.33
ALLSKY_SFC_SW_DWN,1989,21.1,20.04,18.59,17.88,19.22,16.98,17.76,20.7,23.5,24.86,24.46,22.85,20.67
ALLSKY_SFC_SW_DWN,1990,17.88,23.4,21.24,21.04,17.71,17.67,18.46,21.37,23.94,25.11,25.24,20.39,21.09
ALLSKY_SFC_SW_DWN,1991,19.22,16.39,22.86,19.12,19.42,18.76,18.94,20.88,23.85,25.95,23.01,23.26,21.01
ALLSKY_SFC_SW_DWN,1992,22.46,20.51,21.73,19.28,19.1,18.49,18.72,21.46,23.13,25.04,23.34,18.61,20.99
ALLSKY_SFC_SW_DWN,1993,20.08,20.72,22.35,17.46,19.99,16.9,18.76,21.21,23.84,24.59,23.47,20.81,20.85
ALLSKY_SFC_SW_DWN,1994,20.0,18.79,19.83,20.55,19.78,18.23,19.13,21.71,23.86,25.67,25.58,22.12,21.28
ALLSKY_SFC_SW_DWN,1995,19.23,20.87,19.15,19.37,19.14,17.06,18.9,20.41,23.55,24.51,22.47,19.88,20.37
ALLSKY_SFC_SW_DWN,1996,20.3,20.16,21.26,19.5,18.44,18.12,18.79,20.79,23.84,24.83,22.5,17.56,20.5
ALLSKY_SFC_SW_DWN,1997,19.31,17.55,22.58,20.61,19.86,17.59,18.68,21.81,24.15,25.81,24.07,20.38,21.06
ALLSKY_SFC_SW_DWN,1998,20.13,21.0,21.6,19.0,18.13,16.79,17.53,20.95,23.05,23.0,19.34,19.27,19.98
ALLSKY_SFC_SW_DWN,1999,19.74,18.4,18.96,18.19,19.84,16.92,18.8,20.16,24.36,24.05,21.3,19.22,20.01
ALLSKY_SFC_SW_DWN,2000,19.63,19.11,18.56,17.92,16.61,16.81,18.63,21.15,23.88,23.14,22.39,21.61,19.95
ALLSKY_SFC_SW_DWN,2001,18.84,18.57,18.73,20.77,19.92,16.15,19.2,21.98,23.93,24.6,20.67,20.22,20.31
ALLSKY_SFC_SW_DWN,2002,20.67,17.64,22.55,20.83,19.84,18.93,19.21,22.23,23.48,26.0,24.42,22.35,21.54
ALLSKY_SFC_SW_DWN,2003,20.31,18.55,19.49,21.86,18.69,17.75,18.92,21.27,23.82,24.32,24.49,19.88,20.78
ALLSKY_SFC_SW_DWN,2004,22.4,18.03,19.48,22.07,18.65,18.08,19.62,22.57,23.72,24.18,24.33,22.13,21.28
ALLSKY_SFC_SW_DWN,2005,20.9,22.61,20.4,19.25,20.74,19.09,18.55,21.06,23.77,23.31,21.61,18.61,20.81
ALLSKY_SFC_SW_DWN,2006,16.2,20.03,17.59,16.89,18.37,16.35,18.82,21.45,24.34,25.85,25.49,22.31,20.3
ALLSKY_SFC_SW_DWN,2007,19.48,21.43,17.87,18.32,19.06,15.24,18.7,20.11,24.15,24.37,22.56,19.12,20.02
ALLSKY_SFC_SW_DWN,2008,19.61,15.75,19.4,20.13,18.43,17.05,18.89,19.58,23.0,23.84,21.56,17.54,19.58
ALLSKY_SFC_SW_DWN,2009,18.07,16.9,21.17,20.98,17.45,19.02,18.78,22.08,23.32,24.38,23.93,19.54,20.48
ALLSKY_SFC_SW_DWN,2010,18.24,21.25,21.94,19.47,16.16,15.96,15.09,19.78,20.38,19.58,22.28,17.0,18.9
ALLSKY_SFC_SW_DWN,2011,17.85,17.05,17.44,16.75,17.89,18.27,17.59,21.02,23.2,23.97,23.14,18.64,19.41
ALLSKY_SFC_SW_DWN,2012,18.46,20.47,17.57,20.76,14.45,18.07,17.97,21.89,23.75,24.42,23.92,21.29,20.24
ALLSKY_SFC_SW_DWN,2013,16.59,19.57,19.59,21.16,16.98,14.92,16.51,21.84,23.89,24.02,21.7,18.86,19.63
ALLSKY_SFC_SW_DWN,2014,18.83,18.54,21.62,20.02,18.38,15.37,18.48,21.55,24.81,26.06,24.7,19.61,20.68
ALLSKY_SFC_SW_DWN,2015,17.73,20.11,21.26,19.45,19.12,16.86,19.48,22.02,24.92,25.89,25.69,20.52,21.09
ALLSKY_SFC_SW_DWN,2016,23.33,21.86,22.15,21.43,18.5,16.97,18.35,21.26,23.01,23.44,23.6,18.69,21.04
ALLSKY_SFC_SW_DWN,2017,18.75,20.15,18.58,19.82,18.82,15.8,16.89,22.21,23.49,24.25,21.43,20.37,20.04
ALLSKY_SFC_SW_DWN,2018,17.23,21.49,21.3,22.31,18.37,18.02,18.84,21.23,24.27,25.16,22.09,19.43,20.8
ALLSKY_SFC_SW_DWN,2019,18.47,22.14,18.72,20.79,17.58,17.97,20.13,21.89,24.78,26.32,25.11,22.93,21.39
ALLSKY_SFC_SW_DWN,2020,20.11,21.03,21.06,20.7,17.47,18.29,19.4,22.53,23.86,24.05,24.41,18.17,20.91
ALLSKY_SFC_SW_DWN,2021,18.06,17.53,19.85,19.75,19.6,18.17,19.55,20.98,22.64,24.68,21.35,18.89,20.1
ALLSKY_SFC_SW_DWN,2022,19.78,19.42,20.75,21.62,18.93,15.3,18.98,21.31,23.3,22.8,20.44,19.6,20.19
ALLSKY_SFC_SW_DWN,2023,19.98,17.33,20.49,18.32,18.45,17.76,17.39,21.92,24.74,25.83,24.96,21.61,20.75
