# Area: Tokelau
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -9.2   Longitude -171.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.32,21.76,17.03,19.29,17.6,15.53,16.3,18.13,20.19,20.73,21.35,17.81,18.82
ALLSKY_SFC_SW_DWN,1985,16.94,19.6,19.77,18.44,18.05,17.67,17.14,20.03,22.33,23.09,21.43,17.44,19.32
ALLSKY_SFC_SW_DWN,1986,17.38,18.9,19.94,16.93,16.34,16.57,17.67,18.84,21.64,21.87,20.51,16.41,18.58
ALLSKY_SFC_SW_DWN,1987,16.98,19.31,19.43,18.16,16.92,16.4,15.26,14.85,18.25,18.92,21.31,19.76,17.94
ALLSKY_SFC_SW_DWN,1988,18.85,18.7,19.87,18.3,16.56,16.46,14.85,19.22,21.26,21.28,22.1,21.39,19.07
ALLSKY_SFC_SW_DWN,1989,18.35,19.15,19.57,17.49,18.14,16.63,18.24,20.04,20.26,22.01,20.5,17.93,19.03
ALLSKY_SFC_SW_DWN,1990,19.76,18.38,17.48,18.62,18.72,17.27,17.62,20.21,21.3,22.54,19.04,19.35,19.2
ALLSKY_SFC_SW_DWN,1991,19.96,17.32,21.45,18.88,17.32,16.8,16.05,17.21,19.58,20.35,18.74,18.04,18.48
ALLSKY_SFC_SW_DWN,1992,19.64,19.47,16.47,17.86,15.49,14.7,15.2,18.33,19.62,19.93,18.36,18.42,17.78
ALLSKY_SFC_SW_DWN,1993,19.59,17.12,18.22,18.36,14.07,16.15,13.77,17.14,19.37,19.72,20.0,19.53,17.75
ALLSKY_SFC_SW_DWN,1994,18.91,19.15,18.92,17.11,17.42,15.52,15.7,16.56,20.09,21.94,18.82,19.73,18.32
ALLSKY_SFC_SW_DWN,1995,19.48,18.32,19.77,20.44,18.17,16.43,16.78,19.54,21.22,21.36,19.53,17.65,19.06
ALLSKY_SFC_SW_DWN,1996,22.28,21.63,19.19,19.84,18.81,17.53,19.31,21.03,20.98,22.0,20.88,20.48,20.33
ALLSKY_SFC_SW_DWN,1997,18.42,20.77,17.56,21.95,18.06,13.87,18.39,19.63,20.54,18.55,22.4,18.6,19.04
ALLSKY_SFC_SW_DWN,1998,17.01,21.79,18.21,19.45,16.98,17.72,16.56,17.66,20.53,19.98,21.04,21.14,18.98
ALLSKY_SFC_SW_DWN,1999,19.32,21.38,21.85,20.88,18.29,18.11,19.17,20.8,22.57,23.32,21.51,19.56,20.56
ALLSKY_SFC_SW_DWN,2000,20.63,21.88,21.34,19.72,17.83,17.16,18.86,20.69,23.36,24.18,23.3,20.65,20.79
ALLSKY_SFC_SW_DWN,2001,22.7,20.93,19.11,17.92,17.66,16.71,18.46,19.6,20.43,20.7,17.88,17.37,19.12
ALLSKY_SFC_SW_DWN,2002,21.95,18.83,21.14,20.69,17.67,17.27,17.89,18.76,21.7,22.22,23.53,19.0,20.06
ALLSKY_SFC_SW_DWN,2003,18.2,18.7,20.99,17.59,16.9,15.8,17.74,21.4,20.33,22.14,20.9,20.2,19.25
ALLSKY_SFC_SW_DWN,2004,18.11,18.79,19.36,19.05,17.64,17.12,17.28,20.99,20.88,22.93,23.15,21.0,19.69
ALLSKY_SFC_SW_DWN,2005,19.93,15.4,22.41,20.24,17.14,17.03,17.66,20.26,22.14,23.83,22.98,20.13,19.96
ALLSKY_SFC_SW_DWN,2006,20.22,18.08,19.6,19.78,18.33,17.61,19.37,19.26,20.15,21.09,20.35,23.17,19.77
ALLSKY_SFC_SW_DWN,2007,16.01,21.8,20.07,19.26,16.5,16.87,16.53,16.96,21.56,21.15,20.43,18.07,18.73
ALLSKY_SFC_SW_DWN,2008,19.43,24.4,21.87,18.84,19.8,18.39,17.07,18.93,21.46,22.93,23.14,23.18,20.77
ALLSKY_SFC_SW_DWN,2009,20.02,20.86,20.91,18.77,17.69,16.5,19.23,20.54,23.16,23.61,21.8,21.5,20.38
ALLSKY_SFC_SW_DWN,2010,19.19,16.96,20.3,21.64,17.43,17.21,16.35,20.54,21.06,23.71,24.48,22.96,20.17
ALLSKY_SFC_SW_DWN,2011,17.99,21.55,23.8,22.42,20.83,18.53,19.67,21.41,24.57,24.05,20.49,20.1,21.28
ALLSKY_SFC_SW_DWN,2012,21.06,24.12,18.54,18.01,18.2,16.65,18.0,18.77,21.39,20.76,20.21,17.81,19.44
ALLSKY_SFC_SW_DWN,2013,15.67,21.52,19.96,19.99,16.42,16.93,17.19,17.79,19.81,18.15,22.39,19.99,18.79
ALLSKY_SFC_SW_DWN,2014,19.33,19.07,18.9,22.02,18.07,17.48,18.09,18.12,22.32,21.68,22.48,19.13,19.72
ALLSKY_SFC_SW_DWN,2015,20.78,21.86,17.06,21.04,18.04,16.73,17.01,17.71,21.24,19.62,17.03,20.33,19.01
ALLSKY_SFC_SW_DWN,2016,23.58,16.55,21.53,16.68,16.92,14.39,13.28,19.49,22.21,22.2,22.08,23.4,19.38
ALLSKY_SFC_SW_DWN,2017,21.77,19.86,21.18,18.33,17.39,17.65,18.98,19.92,23.3,20.31,21.4,20.74,20.07
ALLSKY_SFC_SW_DWN,2018,22.92,15.7,20.88,20.96,18.87,18.06,18.2,20.22,21.05,22.69,21.69,20.25,20.16
ALLSKY_SFC_SW_DWN,2019,19.9,15.11,23.46,21.35,16.59,15.96,15.67,17.72,19.01,21.15,22.01,19.88,19.01
ALLSKY_SFC_SW_DWN,2020,17.3,15.65,23.59,20.7,19.35,15.59,17.13,18.6,20.52,21.43,22.78,19.43,19.35
ALLSKY_SFC_SW_DWN,2021,23.87,20.36,22.14,19.42,20.37,18.67,18.87,20.63,24.71,20.68,22.62,20.41,21.07
ALLSKY_SFC_SW_DWN,2022,19.07,18.37,23.29,21.24,17.56,19.18,19.8,20.84,23.06,24.37,23.95,21.83,21.06
ALLSKY_SFC_SW_DWN,2023,22.49,22.2,22.07,20.64,17.99,18.75,18.46,19.75,20.16,21.14,22.34,17.37,20.26
