# Area: Tuvalu
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -8.52   Longitude 179.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,21.63,21.12,17.32,20.03,16.47,14.81,14.66,18.28,19.72,19.95,21.97,18.06,18.65
ALLSKY_SFC_SW_DWN,1985,17.92,20.8,16.14,20.47,16.97,17.48,17.22,19.51,22.43,22.05,20.8,20.67,19.35
ALLSKY_SFC_SW_DWN,1986,20.22,21.52,20.99,18.61,17.83,17.1,16.8,19.62,22.4,21.51,20.12,17.37,19.49
ALLSKY_SFC_SW_DWN,1987,19.45,17.71,20.02,17.44,15.21,14.39,14.26,18.06,16.57,19.92,20.79,18.3,17.68
ALLSKY_SFC_SW_DWN,1988,18.84,19.94,20.44,16.89,16.53,16.09,15.89,18.28,21.61,20.31,21.93,20.64,18.94
ALLSKY_SFC_SW_DWN,1989,19.51,19.1,20.83,19.17,17.73,16.93,18.77,19.66,19.92,21.77,20.53,20.11,19.51
ALLSKY_SFC_SW_DWN,1990,19.44,18.13,17.57,19.75,18.42,16.89,17.23,18.33,22.12,22.67,19.94,19.49,19.17
ALLSKY_SFC_SW_DWN,1991,21.16,16.91,20.78,18.28,18.76,16.79,16.33,16.65,20.34,21.56,20.62,19.81,19.02
ALLSKY_SFC_SW_DWN,1992,17.33,19.61,18.33,17.72,16.86,14.92,16.43,19.2,20.22,20.05,18.43,19.07,18.18
ALLSKY_SFC_SW_DWN,1993,21.1,18.92,17.81,16.95,15.16,16.17,13.97,18.64,17.56,18.47,20.07,20.14,17.91
ALLSKY_SFC_SW_DWN,1994,16.72,20.99,19.48,19.16,18.11,15.25,16.95,16.56,20.61,21.51,19.23,19.54,18.66
ALLSKY_SFC_SW_DWN,1995,16.93,19.18,19.58,19.02,16.98,16.07,16.16,19.11,20.23,19.59,21.71,18.48,18.57
ALLSKY_SFC_SW_DWN,1996,21.61,20.43,18.83,18.65,17.74,17.82,16.84,19.79,21.28,22.0,21.31,20.22,19.7
ALLSKY_SFC_SW_DWN,1997,20.16,19.58,15.55,20.36,16.77,16.07,17.59,19.23,19.46,18.68,22.71,18.55,18.71
ALLSKY_SFC_SW_DWN,1998,16.93,17.8,17.7,19.04,16.95,15.53,15.54,16.86,19.27,18.84,21.09,20.23,17.97
ALLSKY_SFC_SW_DWN,1999,19.63,19.23,20.31,19.7,17.48,16.78,18.21,21.33,22.28,23.76,22.39,21.01,20.18
ALLSKY_SFC_SW_DWN,2000,21.29,21.96,21.11,20.19,18.44,16.46,18.99,20.19,23.33,23.78,22.31,21.42,20.78
ALLSKY_SFC_SW_DWN,2001,23.21,20.58,20.39,19.92,17.41,16.23,17.99,19.09,21.5,21.46,18.99,17.99,19.56
ALLSKY_SFC_SW_DWN,2002,21.41,19.07,20.89,22.01,16.94,15.83,17.39,17.76,19.58,19.14,19.33,19.13,19.04
ALLSKY_SFC_SW_DWN,2003,16.84,20.29,21.86,18.02,17.14,14.19,17.23,18.91,19.51,21.71,20.8,20.05,18.88
ALLSKY_SFC_SW_DWN,2004,17.79,19.26,16.4,17.39,19.48,15.48,17.43,20.78,18.7,23.33,20.83,19.95,18.91
ALLSKY_SFC_SW_DWN,2005,19.64,16.52,20.62,17.03,16.66,17.88,15.7,19.22,22.26,22.1,21.11,20.69,19.14
ALLSKY_SFC_SW_DWN,2006,18.41,17.52,20.46,22.45,17.23,16.64,17.69,18.0,21.19,20.91,17.98,20.83,19.12
ALLSKY_SFC_SW_DWN,2007,18.19,20.52,19.09,17.59,15.93,16.69,18.11,16.21,21.16,22.4,20.39,20.09,18.85
ALLSKY_SFC_SW_DWN,2008,15.88,21.63,21.07,21.24,19.4,17.69,17.67,17.98,21.68,21.29,22.19,20.97,19.87
ALLSKY_SFC_SW_DWN,2009,20.08,20.52,20.97,17.09,17.4,16.28,17.01,20.04,20.74,18.82,17.57,19.85,18.86
ALLSKY_SFC_SW_DWN,2010,18.66,14.45,18.73,21.02,18.44,16.68,17.03,18.71,20.6,24.54,23.35,23.62,19.69
ALLSKY_SFC_SW_DWN,2011,19.61,21.98,24.25,22.37,20.17,18.34,19.44,20.53,24.27,25.43,19.8,20.79,21.41
ALLSKY_SFC_SW_DWN,2012,18.11,22.23,18.49,17.68,18.19,16.53,16.79,18.24,21.13,21.35,20.69,19.27,19.04
ALLSKY_SFC_SW_DWN,2013,16.49,19.52,17.43,20.7,18.28,16.54,17.67,19.18,20.86,20.8,22.36,18.14,18.98
ALLSKY_SFC_SW_DWN,2014,18.19,17.54,18.82,21.74,16.17,17.64,17.26,18.57,21.18,21.22,21.55,20.37,19.19
ALLSKY_SFC_SW_DWN,2015,18.53,19.61,19.0,19.25,16.85,16.03,14.98,18.93,20.77,18.57,18.0,18.36,18.23
ALLSKY_SFC_SW_DWN,2016,23.65,18.02,20.29,17.87,16.82,14.6,13.55,19.71,22.69,22.52,21.67,20.15,19.3
ALLSKY_SFC_SW_DWN,2017,20.8,21.31,19.89,18.22,17.48,16.97,17.95,18.6,21.22,21.21,21.31,19.36,19.51
ALLSKY_SFC_SW_DWN,2018,22.86,16.31,21.64,20.12,18.69,17.62,16.99,18.82,21.56,22.43,20.37,18.18,19.66
ALLSKY_SFC_SW_DWN,2019,19.2,13.69,22.85,19.48,15.25,16.74,17.47,18.07,17.63,20.79,21.93,17.15,18.39
ALLSKY_SFC_SW_DWN,2020,17.13,16.46,22.85,20.09,19.18,15.98,16.8,18.16,20.29,22.81,21.49,18.55,19.16
ALLSKY_SFC_SW_DWN,2021,22.91,16.04,21.43,18.23,19.41,16.61,18.16,17.99,23.42,20.37,22.82,18.28,19.66
ALLSKY_SFC_SW_DWN,2022,18.03,21.13,20.01,21.23,17.56,19.21,19.24,19.52,23.19,24.12,23.53,21.08,20.64
ALLSKY_SFC_SW_DWN,2023,22.36,20.81,22.72,20.11,17.87,18.91,16.75,19.97,19.18,19.8,19.86,20.57,19.91
