# Area: United Kingdom of Great Britain and Northern Ireland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  54.6   Longitude -2.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 284.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,1.39,4.43,6.85,14.98,17.97,16.93,18.91,15.3,9.28,4.88,2.39,1.28,9.56
ALLSKY_SFC_SW_DWN,1985,2.72,5.37,6.49,11.22,15.14,17.47,15.18,12.18,9.49,5.94,2.9,1.36,8.8
ALLSKY_SFC_SW_DWN,1986,1.64,5.62,8.17,11.94,15.05,18.49,14.94,12.51,11.35,5.91,2.45,1.35,9.13
ALLSKY_SFC_SW_DWN,1987,1.71,4.26,8.25,11.84,16.54,16.32,15.91,12.77,10.0,4.96,2.74,1.39,8.92
ALLSKY_SFC_SW_DWN,1988,1.82,3.89,6.75,12.39,17.03,21.01,15.56,14.24,8.61,5.23,3.01,1.21,9.24
ALLSKY_SFC_SW_DWN,1989,1.94,3.51,7.1,11.38,18.4,17.69,19.48,13.8,9.34,4.84,2.83,1.52,9.36
ALLSKY_SFC_SW_DWN,1990,1.87,3.33,7.18,13.53,17.43,15.57,18.63,13.87,9.08,4.75,2.82,1.44,9.16
ALLSKY_SFC_SW_DWN,1991,1.72,5.17,6.09,12.01,15.66,16.72,16.97,13.9,11.61,5.26,2.72,1.58,9.13
ALLSKY_SFC_SW_DWN,1992,2.47,3.98,6.88,11.57,19.41,19.66,16.6,14.05,10.26,5.46,2.65,1.56,9.56
ALLSKY_SFC_SW_DWN,1993,1.67,3.54,7.5,11.19,14.03,17.25,16.0,14.26,8.76,5.76,2.72,1.32,8.69
ALLSKY_SFC_SW_DWN,1994,1.85,3.22,6.86,12.82,17.32,17.91,18.93,14.55,10.08,5.82,2.4,1.47,9.47
ALLSKY_SFC_SW_DWN,1995,1.85,3.45,7.29,12.83,16.3,19.1,17.89,17.65,9.87,5.41,2.58,1.31,9.66
ALLSKY_SFC_SW_DWN,1996,2.01,4.75,6.6,10.2,15.11,19.01,17.67,14.25,10.06,5.52,2.69,1.53,9.13
ALLSKY_SFC_SW_DWN,1997,2.09,3.99,7.88,11.82,16.58,15.01,17.35,14.6,10.53,5.73,1.86,1.32,9.1
ALLSKY_SFC_SW_DWN,1998,1.75,3.2,7.0,12.18,19.7,15.08,15.84,13.86,10.36,5.04,3.07,1.38,9.07
ALLSKY_SFC_SW_DWN,1999,2.01,4.59,7.39,12.47,15.42,17.83,18.59,13.82,9.92,5.2,2.45,1.46,9.29
ALLSKY_SFC_SW_DWN,2000,2.4,4.64,7.94,11.56,18.46,15.29,17.4,13.98,8.56,4.46,2.0,1.41,9.03
ALLSKY_SFC_SW_DWN,2001,2.55,4.57,8.9,11.23,18.25,15.61,16.65,13.08,8.62,5.07,2.39,1.78,9.09
ALLSKY_SFC_SW_DWN,2002,1.81,3.79,8.94,13.86,14.96,15.26,14.83,13.28,10.6,5.46,2.35,1.49,8.91
ALLSKY_SFC_SW_DWN,2003,2.19,5.12,10.28,14.19,15.11,18.29,15.62,15.65,10.57,6.41,2.63,1.57,9.82
ALLSKY_SFC_SW_DWN,2004,1.78,4.92,7.9,12.23,18.85,16.7,16.77,13.66,10.38,4.95,2.43,1.59,9.36
ALLSKY_SFC_SW_DWN,2005,2.01,4.65,7.45,13.23,17.72,16.96,16.92,15.4,10.04,4.3,3.05,1.67,9.47
ALLSKY_SFC_SW_DWN,2006,2.18,4.43,7.94,15.03,15.95,18.8,20.75,13.41,10.48,5.44,2.67,1.51,9.91
ALLSKY_SFC_SW_DWN,2007,2.18,4.34,8.83,15.02,17.46,16.36,16.51,14.21,10.11,6.05,2.67,1.63,9.64
ALLSKY_SFC_SW_DWN,2008,1.66,4.97,8.35,12.48,18.06,16.92,15.72,11.47,8.53,5.53,2.67,1.69,9.01
ALLSKY_SFC_SW_DWN,2009,2.03,4.17,9.38,13.73,17.54,19.48,16.89,13.06,9.87,5.44,2.46,1.67,9.67
ALLSKY_SFC_SW_DWN,2010,2.18,4.63,8.48,14.64,17.89,19.55,14.63,14.83,10.14,6.02,2.91,1.8,9.83
ALLSKY_SFC_SW_DWN,2011,2.22,3.83,9.06,15.52,16.11,17.72,18.61,12.69,9.53,4.66,2.83,1.28,9.53
ALLSKY_SFC_SW_DWN,2012,2.2,4.03,9.7,13.19,18.15,13.74,14.48,13.38,9.87,5.88,2.54,1.51,9.07
ALLSKY_SFC_SW_DWN,2013,1.77,5.08,7.34,13.48,15.62,18.2,20.02,13.81,8.92,4.6,2.94,1.41,9.45
ALLSKY_SFC_SW_DWN,2014,1.8,4.03,8.54,12.32,15.28,17.78,18.89,14.35,10.74,5.23,2.58,1.6,9.46
ALLSKY_SFC_SW_DWN,2015,2.11,4.53,8.11,15.67,16.36,17.61,15.85,14.44,11.73,5.91,2.15,1.26,9.66
ALLSKY_SFC_SW_DWN,2016,1.7,4.72,8.83,13.39,18.15,17.26,15.58,14.45,9.77,6.05,2.96,1.51,9.54
ALLSKY_SFC_SW_DWN,2017,2.2,3.93,8.81,14.05,18.75,15.91,16.8,14.02,8.98,4.65,2.99,1.68,9.43
ALLSKY_SFC_SW_DWN,2018,2.08,5.2,7.76,12.21,19.81,21.39,18.54,12.84,9.67,5.74,2.59,1.51,9.97
ALLSKY_SFC_SW_DWN,2019,2.37,4.94,8.3,14.65,17.64,17.59,16.37,13.57,10.08,5.95,2.43,1.52,9.64
ALLSKY_SFC_SW_DWN,2020,1.9,4.32,9.29,16.57,19.87,16.57,14.72,13.4,9.9,5.36,2.55,1.58,9.68
ALLSKY_SFC_SW_DWN,2021,2.23,4.57,8.46,16.84,16.09,18.4,18.85,13.88,9.89,4.97,2.87,1.41,9.89
ALLSKY_SFC_SW_DWN,2022,2.38,4.32,9.71,14.18,15.88,18.95,18.08,15.89,10.24,5.48,2.63,1.83,9.99
ALLSKY_SFC_SW_DWN,2023,2.4,4.46,7.6,13.91,19.4,21.34,15.47,14.33,9.95,5.07,2.95,1.48,9.88
