# Area: Yugoslav SFR
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  44.82   Longitude 20.46 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 92.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,3.93,8.05,11.77,15.02,18.85,19.91,20.2,17.16,14.23,9.38,6.61,3.88,12.42
ALLSKY_SFC_SW_DWN,1985,5.41,8.09,12.18,15.34,20.79,18.83,23.67,18.03,15.4,9.31,5.37,4.61,13.12
ALLSKY_SFC_SW_DWN,1986,4.81,7.2,11.17,16.4,20.24,18.74,18.04,18.78,15.2,10.25,5.85,3.6,12.55
ALLSKY_SFC_SW_DWN,1987,4.11,8.18,12.22,16.17,16.5,21.3,22.11,18.51,15.24,9.84,4.57,3.29,12.69
ALLSKY_SFC_SW_DWN,1988,4.38,7.03,10.04,15.33,19.11,21.96,23.63,20.22,12.63,9.67,5.46,3.72,12.79
ALLSKY_SFC_SW_DWN,1989,4.89,7.12,11.63,13.98,16.41,18.78,21.02,17.04,13.36,10.22,5.61,4.41,12.07
ALLSKY_SFC_SW_DWN,1990,5.74,9.29,12.65,15.16,20.4,22.19,22.97,19.96,12.99,10.63,5.3,3.2,13.4
ALLSKY_SFC_SW_DWN,1991,4.61,7.73,11.19,15.3,14.56,22.53,19.24,16.99,15.26,9.16,5.57,4.37,12.22
ALLSKY_SFC_SW_DWN,1992,5.16,8.75,13.34,15.26,21.91,19.54,23.09,21.81,17.02,8.53,5.93,4.19,13.73
ALLSKY_SFC_SW_DWN,1993,5.49,7.13,10.56,16.72,21.68,23.26,23.15,20.49,13.91,9.96,6.25,4.12,13.6
ALLSKY_SFC_SW_DWN,1994,4.73,7.77,13.29,13.82,21.51,22.33,23.39,20.9,15.48,9.85,6.18,3.95,13.64
ALLSKY_SFC_SW_DWN,1995,4.82,8.36,10.66,15.89,17.75,19.91,23.26,17.76,13.36,11.95,5.41,3.78,12.77
ALLSKY_SFC_SW_DWN,1996,4.95,8.37,11.66,16.38,18.73,22.79,22.83,17.71,11.3,9.13,5.79,3.53,12.77
ALLSKY_SFC_SW_DWN,1997,5.16,8.59,12.8,15.39,22.43,23.24,18.89,17.56,15.45,9.28,5.33,3.07,13.12
ALLSKY_SFC_SW_DWN,1998,4.65,9.43,13.76,15.17,20.08,22.69,22.05,20.21,12.89,9.37,4.88,4.65,13.34
ALLSKY_SFC_SW_DWN,1999,4.29,8.3,12.31,15.2,19.8,20.32,20.5,19.81,14.91,9.4,5.06,3.77,12.83
ALLSKY_SFC_SW_DWN,2000,5.56,8.69,12.08,17.92,23.75,24.97,22.88,21.95,12.41,9.97,6.16,3.92,14.21
ALLSKY_SFC_SW_DWN,2001,4.31,8.23,11.32,14.94,20.41,19.14,21.48,19.88,12.11,11.17,5.06,4.09,12.71
ALLSKY_SFC_SW_DWN,2002,4.69,8.87,12.67,16.12,20.2,22.54,21.18,16.94,12.57,9.11,5.41,3.47,12.83
ALLSKY_SFC_SW_DWN,2003,4.38,8.16,12.97,15.81,22.12,25.14,21.01,21.58,14.48,8.63,6.08,5.06,13.81
ALLSKY_SFC_SW_DWN,2004,3.64,7.85,11.64,15.02,18.98,21.66,20.97,20.1,14.02,9.45,5.62,3.31,12.7
ALLSKY_SFC_SW_DWN,2005,5.11,7.58,12.69,14.63,19.48,21.95,21.12,15.89,13.35,9.64,5.7,3.3,12.56
ALLSKY_SFC_SW_DWN,2006,5.01,6.09,10.43,14.4,20.41,20.59,23.82,16.79,15.68,11.52,6.7,4.16,13.01
ALLSKY_SFC_SW_DWN,2007,5.2,7.45,12.35,21.0,20.26,23.97,24.96,19.2,13.66,7.52,5.69,2.98,13.71
ALLSKY_SFC_SW_DWN,2008,5.7,8.97,11.81,14.46,21.64,23.12,22.13,21.22,12.02,10.38,6.19,3.54,13.45
ALLSKY_SFC_SW_DWN,2009,3.94,6.32,10.33,18.64,22.05,20.73,24.64,19.6,15.3,8.72,5.96,3.27,13.33
ALLSKY_SFC_SW_DWN,2010,4.21,6.57,11.51,15.69,17.09,19.4,22.66,21.25,13.79,8.54,6.48,4.1,12.64
ALLSKY_SFC_SW_DWN,2011,4.92,6.6,11.56,17.22,19.87,22.78,21.33,22.06,16.69,10.76,6.56,4.16,13.74
ALLSKY_SFC_SW_DWN,2012,4.42,6.81,15.16,16.66,18.68,26.14,24.58,22.97,15.76,9.98,6.15,3.85,14.28
ALLSKY_SFC_SW_DWN,2013,4.57,6.0,10.79,17.89,20.11,20.85,24.79,20.52,13.87,10.76,5.5,4.83,13.42
ALLSKY_SFC_SW_DWN,2014,4.82,8.65,13.33,14.08,18.86,21.88,21.8,19.85,11.75,9.66,5.69,4.41,12.93
ALLSKY_SFC_SW_DWN,2015,4.67,8.06,11.23,17.81,19.61,22.71,25.25,19.95,13.59,8.98,6.8,4.11,13.59
ALLSKY_SFC_SW_DWN,2016,4.75,7.48,11.0,16.51,19.51,22.32,23.32,19.46,15.1,8.23,6.04,4.66,13.21
ALLSKY_SFC_SW_DWN,2017,5.16,8.29,13.04,15.74,20.43,24.94,24.62,20.98,14.25,10.75,5.42,4.09,14.01
ALLSKY_SFC_SW_DWN,2018,5.12,6.2,9.88,18.67,23.3,19.34,20.15,21.03,16.53,10.88,6.23,3.76,13.46
ALLSKY_SFC_SW_DWN,2019,3.43,8.46,14.25,16.78,16.04,24.2,23.2,21.87,15.43,11.63,5.71,4.03,13.78
ALLSKY_SFC_SW_DWN,2020,5.69,8.23,11.57,20.78,17.85,20.34,23.11,20.48,16.55,9.12,4.5,3.72,13.5
ALLSKY_SFC_SW_DWN,2021,4.73,8.79,12.62,15.75,21.23,24.71,23.18,19.98,15.49,9.59,6.0,3.14,13.79
ALLSKY_SFC_SW_DWN,2022,5.7,8.36,14.03,17.22,22.92,25.1,24.92,18.76,13.12,11.29,4.99,4.37,14.27
ALLSKY_SFC_SW_DWN,2023,4.26,8.6,12.48,14.4,17.86,19.99,24.75,20.59,16.66,10.52,5.55,4.79,13.4
