# Area: Australia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -25.27   Longitude 133.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 401.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,30.61,28.48,23.51,23.42,16.23,12.96,11.94,15.59,20.39,22.8,25.96,29.71,21.76
T2M,1982,31.01,28.16,24.88,20.47,16.55,11.14,11.14,16.44,17.96,22.35,28.32,30.81,21.57
T2M,1983,28.72,31.96,26.24,18.62,16.06,12.92,9.95,15.29,21.2,23.69,27.96,30.38,21.85
T2M,1984,25.62,28.37,24.39,20.77,16.93,11.63,10.69,14.59,16.42,22.95,26.87,30.53,20.79
T2M,1985,31.36,31.15,27.35,20.88,15.61,11.04,12.3,15.73,17.16,22.15,27.29,29.97,21.79
T2M,1986,30.22,31.18,29.46,21.23,18.2,12.73,10.59,13.43,19.56,22.23,25.87,28.15,21.85
T2M,1987,31.42,28.6,24.21,23.05,15.62,12.75,12.23,13.43,18.62,24.89,28.66,29.6,21.88
T2M,1988,31.45,27.96,26.9,19.91,16.95,13.36,12.33,14.03,19.22,26.23,25.53,28.65,21.87
T2M,1989,28.64,30.25,24.24,17.94,15.2,10.51,10.13,11.7,18.52,24.83,24.93,29.83,20.51
T2M,1990,32.01,27.74,27.99,21.58,17.34,11.87,13.09,14.97,18.4,23.54,29.33,30.9,22.38
T2M,1991,30.83,32.1,27.5,22.39,16.39,15.92,13.23,15.33,20.82,25.43,28.07,28.18,22.95
T2M,1992,29.2,30.49,28.23,23.02,16.44,13.16,12.33,14.38,18.38,20.64,24.53,27.59,21.5
T2M,1993,31.57,30.12,27.99,23.81,16.41,11.52,12.7,14.69,18.01,21.25,28.38,27.2,21.92
T2M,1994,31.47,29.82,25.35,20.5,16.71,12.05,11.22,12.71,19.1,23.67,25.73,29.91,21.48
T2M,1995,29.66,28.94,25.32,20.57,14.98,13.22,12.79,15.83,20.14,23.23,27.39,29.09,21.72
T2M,1996,30.27,29.34,27.2,21.23,16.25,16.31,13.61,14.87,20.75,23.47,26.94,30.32,22.52
T2M,1997,30.41,29.66,24.86,21.71,16.22,12.28,9.9,14.36,20.84,23.51,28.19,30.74,21.84
T2M,1998,31.58,30.3,28.14,21.08,17.23,12.32,11.12,15.07,19.78,24.17,26.86,29.16,22.19
T2M,1999,32.59,29.95,29.68,20.07,18.68,13.05,12.51,14.84,20.96,23.7,24.11,27.71,22.29
T2M,2000,30.01,27.58,26.16,20.35,13.34,11.22,13.98,14.01,22.03,21.95,27.75,29.23,21.45
T2M,2001,33.02,31.57,23.08,19.99,15.96,11.38,11.25,13.67,19.14,20.78,25.27,27.16,20.96
T2M,2002,30.25,27.4,25.23,24.95,18.28,12.67,12.79,14.19,20.71,23.92,28.53,30.52,22.42
T2M,2003,31.69,30.55,23.32,22.34,16.4,13.09,12.36,15.02,21.07,22.08,27.65,30.62,22.13
T2M,2004,32.64,30.93,27.01,22.89,15.88,13.42,12.07,14.6,17.84,25.41,27.41,28.95,22.4
T2M,2005,30.62,28.8,27.12,25.46,18.23,13.42,12.22,14.05,21.03,24.94,27.23,30.15,22.73
T2M,2006,34.87,31.05,28.5,21.47,14.6,10.31,11.68,15.47,20.4,26.07,29.55,29.32,22.73
T2M,2007,29.64,32.13,27.93,22.81,18.35,10.03,12.54,15.25,21.05,25.09,25.82,28.56,22.38
T2M,2008,32.95,28.65,26.6,20.67,16.71,13.14,12.47,12.49,20.64,25.4,26.25,28.49,22.02
T2M,2009,31.25,30.53,27.52,21.58,15.17,12.96,12.97,18.75,20.67,22.82,27.98,28.36,22.5
T2M,2010,29.57,28.89,24.73,22.52,16.07,11.75,11.59,12.49,16.3,19.18,22.92,27.31,20.23
T2M,2011,32.48,27.45,23.69,19.55,14.26,11.74,12.46,15.91,19.02,23.35,26.04,28.07,21.14
T2M,2012,30.22,27.77,22.81,20.71,14.98,11.33,10.19,14.98,19.8,24.58,29.7,30.13,21.41
