# Area: Bahamas
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  25.03   Longitude -77.4 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,20.93,22.36,22.34,24.04,25.83,28.04,28.47,28.74,28.22,26.86,24.53,22.93,25.29
T2M,1982,22.58,23.69,24.53,25.26,24.95,27.41,28.06,28.28,28.2,26.89,25.42,23.86,25.77
T2M,1983,23.06,22.63,22.61,23.68,24.99,27.36,28.09,28.42,28.32,27.19,25.34,24.76,25.55
T2M,1984,23.49,23.31,22.84,24.14,25.81,26.4,27.7,27.96,27.67,26.36,24.65,23.6,25.33
T2M,1985,21.29,22.06,23.05,23.75,25.66,27.66,28.14,28.59,27.91,27.27,25.72,23.61,25.41
T2M,1986,22.63,22.94,22.81,23.39,24.95,27.12,27.95,28.5,28.3,27.24,26.56,25.09,25.64
T2M,1987,23.01,22.93,22.94,23.02,25.33,27.22,28.64,28.91,28.9,27.08,25.56,23.33,25.59
T2M,1988,22.38,22.45,22.6,24.32,25.43,27.04,28.12,28.2,28.15,26.83,26.08,23.63,25.44
T2M,1989,23.64,22.9,23.55,24.88,26.55,27.19,28.16,28.57,28.32,27.06,25.98,23.27,25.86
T2M,1990,24.22,23.89,23.52,24.18,25.89,27.2,28.23,28.76,28.57,27.4,24.87,23.82,25.89
T2M,1991,24.04,23.08,23.58,25.04,26.08,27.52,28.53,28.52,28.19,27.32,25.1,23.91,25.93
T2M,1992,22.56,22.97,23.26,23.65,24.82,27.24,28.06,28.46,27.99,26.8,25.76,23.63,25.44
T2M,1993,23.85,22.29,22.55,23.46,24.79,26.72,28.46,28.59,28.49,27.66,26.03,23.8,25.58
T2M,1994,23.11,23.91,23.86,25.1,26.36,27.9,27.95,28.16,28.13,27.1,25.95,24.38,26.0
T2M,1995,22.77,22.39,23.19,24.79,26.65,27.5,28.54,28.54,28.61,27.82,25.27,23.34,25.8
T2M,1996,22.38,21.79,22.32,23.87,25.76,27.03,28.28,28.44,28.32,26.7,25.07,23.33,25.28
T2M,1997,22.69,23.98,24.34,24.4,26.33,27.63,28.45,28.85,27.99,26.88,25.42,23.78,25.91
T2M,1998,23.43,22.64,22.22,23.83,25.89,28.66,29.17,29.58,28.86,27.64,25.75,24.8,26.06
T2M,1999,23.64,22.74,22.75,24.9,25.91,27.02,27.9,29.05,28.21,27.21,24.87,23.37,25.65
T2M,2000,22.41,22.24,23.27,24.25,25.66,27.17,28.41,28.42,28.65,26.51,24.51,23.32,25.41
T2M,2001,21.28,23.4,23.63,24.22,24.53,27.61,28.4,28.69,28.23,27.25,24.52,23.83,25.48
T2M,2002,23.02,23.09,23.96,24.73,25.95,27.2,28.14,28.59,28.28,27.8,25.79,24.34,25.92
T2M,2003,21.94,23.84,25.78,24.65,26.92,27.78,28.25,28.54,28.46,27.83,25.89,23.16,26.1
T2M,2004,22.45,23.28,23.0,23.67,25.01,27.7,28.33,28.48,27.85,26.55,24.77,22.92,25.34
T2M,2005,22.23,21.69,22.99,23.55,25.39,27.73,28.87,29.24,28.86,27.3,25.33,23.75,25.6
T2M,2006,22.71,21.64,22.42,23.88,25.63,27.51,28.02,28.48,28.32,27.05,24.76,24.54,25.44
T2M,2007,23.77,22.65,23.2,23.86,25.47,26.99,28.74,29.14,28.61,27.91,24.97,24.52,25.84
T2M,2008,22.92,23.95,24.0,24.13,26.2,27.74,28.37,29.07,28.25,26.9,24.18,23.43,25.77
T2M,2009,22.3,21.25,21.98,24.06,25.59,27.44,28.83,29.08,28.64,27.76,25.52,24.88,25.64
T2M,2010,21.61,21.02,21.31,23.33,26.07,28.94,28.82,29.33,28.81,26.88,24.93,21.14,25.2
T2M,2011,21.94,22.68,22.72,25.38,26.07,27.56,28.82,29.27,28.54,27.11,25.08,23.77,25.76
