# Area: Belarus
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  53.71   Longitude 27.95 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 170.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-8.04,-5.43,-1.4,3.35,13.79,17.78,18.66,16.15,12.12,7.33,-0.54,-6.36,5.68
T2M,1982,-8.98,-8.5,-2.09,4.54,12.23,14.19,17.37,17.2,13.49,6.62,2.08,-1.27,5.66
T2M,1983,-2.13,-5.96,-0.58,8.32,15.65,15.73,17.6,18.06,14.48,6.91,-0.68,-4.31,7.0
T2M,1984,-4.64,-8.8,-3.05,7.47,14.46,14.44,16.13,17.62,12.83,7.91,-1.19,-6.34,5.62
T2M,1985,-13.21,-15.48,-4.03,5.75,13.56,15.4,16.6,19.38,10.61,7.19,-2.29,-4.87,4.18
T2M,1986,-6.71,-14.01,-1.97,7.29,14.14,17.55,18.37,18.07,9.36,5.36,1.7,-5.42,5.43
T2M,1987,-17.39,-5.76,-7.67,3.2,11.9,16.21,17.25,14.86,11.12,5.12,0.09,-5.92,3.62
T2M,1988,-5.75,-4.45,-0.43,4.94,14.22,17.07,20.06,16.81,12.52,5.16,-3.84,-6.84,5.82
T2M,1989,-0.83,0.71,2.71,7.83,14.08,17.67,18.46,16.56,13.58,6.63,-1.68,-3.84,7.7
T2M,1990,-1.82,1.33,3.39,7.5,12.07,15.48,16.21,16.66,9.51,6.22,1.77,-5.43,6.94
T2M,1991,-5.61,-7.39,-0.56,5.74,10.43,15.76,18.2,17.74,13.29,6.46,1.02,-3.55,6.04
T2M,1992,-4.36,-3.84,1.58,4.21,11.65,16.7,19.79,21.36,12.66,2.87,-2.74,-5.36,6.25
T2M,1993,-4.25,-3.94,-1.33,6.03,14.44,14.28,16.59,15.23,9.18,4.88,-7.6,-3.33,5.08
T2M,1994,-3.01,-10.89,-2.22,7.35,10.69,14.03,19.36,17.55,15.0,4.73,-0.81,-6.47,5.54
T2M,1995,-7.62,-0.92,0.98,5.85,11.88,18.21,18.76,18.44,12.93,7.16,-3.19,-10.11,6.06
T2M,1996,-12.75,-10.69,-5.74,6.07,14.71,16.14,16.84,18.05,9.93,7.31,3.37,-8.88,4.57
T2M,1997,-9.46,-3.66,-0.26,2.9,11.67,16.39,17.9,18.38,10.77,4.52,-0.24,-10.33,4.92
T2M,1998,-5.56,-3.3,-1.19,6.79,12.82,17.8,17.09,14.91,11.6,5.05,-6.08,-8.98,5.12
T2M,1999,-6.87,-6.92,-1.85,7.97,9.43,19.85,20.03,17.38,14.17,6.5,-2.35,-4.27,6.15
T2M,2000,-7.8,-3.1,-0.63,9.43,12.34,15.75,17.2,17.44,10.45,7.93,2.89,-2.36,6.65
T2M,2001,-6.54,-6.86,-3.24,7.9,11.83,15.02,22.88,19.52,12.2,7.64,-0.74,-12.42,5.67
T2M,2002,-6.19,-0.25,1.68,7.1,14.54,17.16,22.69,20.61,12.68,3.99,0.01,-10.52,6.99
T2M,2003,-9.3,-10.3,-3.34,3.95,14.53,14.88,20.0,16.85,12.33,4.03,1.63,-3.6,5.23
T2M,2004,-10.28,-7.15,-0.92,5.85,10.39,14.57,17.83,18.46,12.55,7.27,-0.9,-3.35,5.4
T2M,2005,-3.16,-9.05,-5.55,6.75,12.41,15.13,18.94,17.24,14.13,7.23,-0.39,-6.18,5.71
T2M,2006,-13.0,-10.74,-5.4,5.69,12.02,16.62,20.48,18.13,13.54,7.65,2.0,0.93,5.75
T2M,2007,-0.87,-10.46,3.19,5.44,14.45,18.26,17.9,20.09,13.44,6.57,-1.99,-4.99,6.87
T2M,2008,-5.83,-1.57,1.12,8.28,11.68,15.77,18.04,18.48,12.18,7.9,0.69,-2.96,7.0
T2M,2009,-7.66,-6.52,-1.97,6.96,12.26,16.01,18.22,16.07,13.89,5.09,2.07,-6.31,5.73
T2M,2010,-15.09,-7.47,-2.7,7.2,14.61,17.85,21.76,20.07,11.34,3.33,3.58,-9.45,5.47
T2M,2011,-7.3,-10.67,-3.3,7.13,13.01,18.16,19.99,17.79,13.47,5.43,0.64,-1.17,6.2
T2M,2012,-7.99,-12.69,-0.93,6.99,13.97,15.53,20.02,17.53,13.22,6.31,2.03,-8.53,5.51
T2M,2013,-10.88,-4.7,-7.23,4.04,15.84,18.65,18.28,18.15,11.91,7.28,3.26,-2.71,6.04
T2M,2014,-10.23,-3.36,3.33,7.83,14.41,15.56,20.98,19.4,13.09,5.81,-0.15,-4.45,6.91
T2M,2015,-3.25,-3.83,2.29,6.08,12.09,17.93,19.41,21.45,15.08,4.51,2.22,-0.61,7.85
T2M,2016,-9.45,-1.05,0.48,7.5,14.05,17.76,20.05,19.18,14.09,4.31,-2.18,-4.22,6.72
T2M,2017,-9.22,-6.41,2.33,4.89,11.93,15.87,17.31,18.78,13.43,5.97,1.35,-2.7,6.2
T2M,2018,-6.07,-8.59,-4.52,8.87,15.66,16.86,19.29,19.25,14.79,7.58,-1.12,-5.41,6.47
T2M,2019,-8.59,-3.11,1.34,7.45,13.99,20.88,17.46,18.32,13.38,9.21,3.16,-0.29,7.82
T2M,2020,-1.06,0.03,2.69,5.36,10.49,19.11,17.97,18.8,14.69,9.98,2.19,-3.37,8.09
T2M,2021,-7.23,-9.65,-2.23,5.39,11.39,19.13,22.02,17.83,10.82,5.97,2.02,-5.3,5.94
T2M,2022,-4.82,-1.99,-0.26,4.71,10.75,18.73,18.29,21.18,11.09,8.29,0.8,-6.48,6.74
T2M,2023,-4.37,-4.95,0.12,8.03,12.2,17.06,18.47,20.81,16.47,7.94,1.05,-3.38,7.52
