# Area: Botswana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -22.33   Longitude 24.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 997.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.56,24.09,22.36,21.93,17.12,13.68,14.98,17.12,21.21,23.47,28.53,29.71,21.71
T2M,1982,30.25,29.08,27.1,22.61,18.98,15.29,15.11,18.63,22.92,24.89,27.59,28.44,23.38
T2M,1983,29.44,29.9,27.29,24.59,19.31,16.53,16.1,17.09,23.31,25.83,28.93,28.16,23.83
T2M,1984,29.96,29.23,26.88,23.08,19.05,15.06,15.74,19.42,24.17,26.68,26.96,29.13,23.77
T2M,1985,28.14,27.92,27.26,23.03,18.93,16.26,15.78,19.55,23.27,26.3,27.74,27.78,23.47
T2M,1986,28.64,28.49,26.86,22.96,20.2,15.88,15.94,19.56,23.09,24.67,26.29,28.31,23.38
T2M,1987,29.73,29.93,28.26,26.11,21.23,14.8,15.16,18.05,22.89,25.89,29.18,27.14,23.99
T2M,1988,29.75,25.73,24.19,21.36,18.2,14.83,15.66,19.18,22.91,26.14,26.98,27.39,22.69
T2M,1989,26.13,24.65,25.44,21.85,19.82,15.73,15.2,19.4,22.13,24.66,26.48,29.71,22.59
T2M,1990,28.11,26.93,27.03,24.5,18.84,16.21,16.36,18.41,22.59,26.56,29.25,29.44,23.67
T2M,1991,27.54,26.69,25.03,21.07,18.99,15.08,14.86,18.23,24.15,26.59,27.69,27.55,22.77
T2M,1992,29.98,30.74,27.98,25.47,18.94,16.03,15.01,16.92,24.95,26.62,26.49,28.39,23.93
T2M,1993,28.06,26.46,26.77,23.29,20.63,15.07,16.44,17.95,23.6,28.29,26.44,28.94,23.49
T2M,1994,25.86,26.29,27.53,23.72,18.87,14.35,13.03,17.25,23.17,25.51,28.71,29.34,22.78
T2M,1995,30.23,28.39,26.59,23.29,19.11,15.51,15.68,19.07,23.74,26.71,27.98,26.39,23.53
T2M,1996,26.03,24.61,24.33,22.08,19.08,15.9,13.24,17.22,22.65,28.04,26.46,28.54,22.34
T2M,1997,26.22,26.87,24.53,21.24,17.82,15.43,15.37,18.83,23.4,25.36,27.62,29.84,22.69
T2M,1998,27.0,28.47,27.94,25.01,19.0,16.78,16.25,17.94,24.21,26.64,26.18,26.14,23.43
T2M,1999,26.99,28.05,26.32,23.79,20.41,16.76,15.93,18.22,21.25,24.8,27.79,27.43,23.11
T2M,2000,24.95,24.57,23.7,21.11,16.95,15.87,14.2,18.2,22.77,26.52,26.19,27.76,21.89
T2M,2001,29.53,26.9,25.51,23.86,18.77,16.16,14.13,18.67,21.92,26.53,25.8,27.82,22.95
T2M,2002,28.91,28.42,27.58,23.83,19.08,14.73,15.14,19.55,21.51,26.05,27.01,28.52,23.34
T2M,2003,29.32,27.93,26.62,24.76,19.09,15.93,15.25,16.77,22.99,26.41,28.67,29.58,23.58
T2M,2004,28.3,27.0,24.58,22.09,18.67,14.9,14.29,19.13,21.19,25.46,28.6,28.03,22.67
T2M,2005,29.19,28.58,26.8,23.95,20.66,18.36,16.26,20.46,23.41,27.42,27.33,27.09,24.1
T2M,2006,26.08,24.79,22.96,21.69,16.78,14.51,15.9,16.14,21.16,26.73,27.68,29.2,21.95
T2M,2007,28.09,28.88,27.45,23.9,18.17,15.7,14.38,17.74,24.47,25.59,27.32,24.73,22.99
T2M,2008,24.83,26.15,25.41,21.71,19.97,16.73,15.67,19.36,22.66,27.95,27.61,29.05,23.08
T2M,2009,27.14,25.01,23.6,22.34,19.24,16.45,13.38,17.18,23.92,26.85,26.89,28.95,22.56
T2M,2010,27.36,27.59,26.63,21.92,20.05,14.64,14.61,17.57,23.17,27.35,27.2,28.0,22.98
T2M,2011,25.65,26.38,26.28,22.69,19.08,14.27,13.14,16.97,22.52,25.93,27.95,26.92,22.29
T2M,2012,28.99,27.58,26.42,22.41,19.66,15.13,15.27,18.43,22.09,27.21,28.14,27.6,23.23
T2M,2013,27.35,28.51,26.96,22.61,18.75,16.54,16.38,17.77,23.23,25.89,28.16,26.52,23.19
T2M,2014,26.89,24.27,23.03,20.23,19.17,15.27,14.2,18.1,22.66,25.69,27.19,27.61,22.01
