# Area: Brazil
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -14.24   Longitude -51.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 280.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.36,25.89,25.95,24.48,24.26,24.93,23.97,27.6,30.63,28.27,25.63,26.22,26.1
T2M,1982,24.45,25.38,25.85,24.63,24.41,25.04,26.96,28.75,28.59,27.11,27.26,26.41,26.24
T2M,1983,25.53,25.28,25.57,25.59,26.27,26.64,28.13,28.55,30.91,27.13,25.5,24.74,26.66
T2M,1984,25.45,25.84,25.99,25.76,27.34,27.22,27.34,28.4,27.54,29.33,27.58,26.31,27.01
T2M,1985,24.65,25.86,25.28,24.82,24.55,22.4,25.29,28.98,30.56,26.77,25.16,25.73,25.84
T2M,1986,24.92,25.11,25.21,25.95,25.68,24.99,26.74,28.47,29.34,26.56,27.22,26.07,26.36
T2M,1987,25.55,25.51,24.8,25.58,26.58,27.71,28.2,28.98,31.34,30.31,27.19,26.05,27.32
T2M,1988,26.14,26.4,25.66,26.07,25.72,24.2,25.76,27.54,30.9,28.81,27.1,25.74,26.67
T2M,1989,25.28,24.98,24.98,25.56,24.01,26.12,25.12,28.45,31.28,29.0,26.42,24.89,26.34
T2M,1990,25.3,25.18,25.77,25.9,24.49,25.43,26.47,29.33,28.59,28.8,28.28,26.47,26.68
T2M,1991,25.49,25.7,25.01,25.09,24.64,25.64,26.23,27.95,30.45,28.93,27.04,25.68,26.49
T2M,1992,25.25,24.62,25.22,25.51,25.83,25.7,27.07,28.98,27.65,27.51,25.85,24.91,26.18
T2M,1993,25.64,24.61,26.18,26.37,26.41,26.05,26.95,28.88,30.42,29.13,29.1,26.59,27.21
T2M,1994,25.48,25.69,25.46,25.42,25.47,24.5,26.52,28.54,32.33,30.93,27.94,25.51,26.99
T2M,1995,25.77,25.35,25.96,25.13,24.2,23.97,26.62,28.84,30.94,29.83,27.39,26.12,26.69
T2M,1996,25.67,26.44,26.37,25.84,26.58,25.42,26.68,29.83,30.96,28.12,25.92,26.12,27.0
T2M,1997,24.77,25.69,25.09,24.96,23.81,23.98,25.33,28.08,31.22,31.05,28.49,26.43,26.58
T2M,1998,26.72,27.22,27.03,27.98,28.05,27.78,27.82,29.7,31.27,30.76,27.28,25.94,28.13
