# Area: Burkina Faso
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.24   Longitude -1.56 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 297.09 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.37,26.13,30.25,31.61,28.76,28.03,25.96,25.41,25.36,26.61,23.53,22.78,26.31
T2M,1982,22.44,25.46,28.09,30.09,28.52,27.74,26.23,25.24,26.51,26.65,24.98,23.8,26.31
T2M,1983,21.74,27.87,29.35,32.89,32.04,28.8,27.77,27.41,27.44,29.51,27.95,25.78,28.2
T2M,1984,24.8,25.87,29.89,31.7,29.63,28.76,27.15,26.64,25.87,27.43,27.19,24.48,27.45
T2M,1985,26.08,25.28,30.73,31.43,29.83,28.69,25.39,25.22,25.07,26.67,26.67,22.8,26.99
T2M,1986,23.0,28.28,29.77,32.07,30.6,29.33,26.47,25.62,25.23,26.45,24.94,21.69,26.93
T2M,1987,24.66,27.54,30.22,31.68,33.46,29.23,28.03,25.81,26.49,27.13,27.01,24.79,28.0
T2M,1988,24.93,27.26,31.19,31.76,32.14,28.6,26.81,25.57,25.8,27.7,26.35,23.19,27.6
T2M,1989,22.35,25.55,29.17,33.23,32.92,29.13,25.97,25.15,25.74,26.36,25.47,24.08,27.09
T2M,1990,24.95,26.5,28.89,32.39,30.63,29.02,26.94,25.94,26.95,29.08,28.53,26.96,28.07
T2M,1991,25.91,29.12,30.46,31.58,28.55,28.02,26.34,25.2,26.45,26.47,25.61,23.39,27.24
T2M,1992,22.64,26.41,29.61,31.15,30.66,29.24,26.86,25.77,26.45,28.58,25.85,24.64,27.32
T2M,1993,22.72,27.38,29.8,32.36,31.76,29.29,27.46,26.14,26.09,28.44,28.48,25.09,27.91
T2M,1994,24.73,26.66,31.14,32.81,30.88,29.11,26.74,25.23,25.88,26.29,24.73,21.34,27.12
