# Area: Canada
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.13   Longitude -106.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 468.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-17.19,-15.28,-6.91,-1.07,10.23,13.89,17.49,19.18,10.24,-0.61,-5.41,-21.42,0.34
T2M,1982,-34.68,-21.57,-12.87,-2.84,8.15,12.91,16.88,12.85,8.99,2.0,-13.18,-21.14,-3.62
T2M,1983,-22.05,-18.12,-10.11,0.15,6.18,14.27,17.64,18.92,8.41,1.78,-7.09,-26.27,-1.28
T2M,1984,-22.26,-10.78,-10.91,5.11,7.29,14.9,18.07,18.23,6.75,0.32,-14.47,-27.18,-1.24
T2M,1985,-22.09,-23.43,-7.07,0.85,10.53,11.42,15.5,14.56,5.82,-0.61,-16.25,-18.9,-2.33
T2M,1986,-18.25,-19.9,-8.41,-0.83,9.65,14.15,15.5,15.45,7.48,1.31,-15.08,-15.43,-1.07
T2M,1987,-17.5,-13.73,-10.25,1.53,10.75,15.44,16.59,12.99,10.58,0.5,-6.54,-14.74,0.53
T2M,1988,-25.46,-20.94,-10.57,-1.58,10.47,16.94,16.64,14.81,8.61,0.83,-11.98,-19.17,-1.73
T2M,1989,-21.64,-20.07,-16.02,-2.24,8.77,13.52,18.73,16.66,8.39,1.3,-15.58,-24.08,-2.59
T2M,1990,-22.56,-22.13,-7.9,-1.58,8.72,15.57,16.97,16.31,9.88,-1.72,-12.74,-24.86,-2.06
T2M,1991,-24.09,-14.49,-9.88,2.85,10.49,15.37,17.48,18.61,8.37,-2.85,-14.31,-17.77,-0.78
T2M,1992,-17.38,-14.94,-7.76,0.13,7.71,13.77,16.17,14.91,5.59,1.15,-6.58,-24.6,-0.96
T2M,1993,-21.5,-17.12,-5.29,2.77,9.23,13.38,15.35,15.49,6.59,-0.5,-9.81,-18.22,-0.71
T2M,1994,-29.15,-25.8,-7.4,0.22,8.61,15.08,17.1,16.18,12.02,1.79,-8.63,-17.94,-1.36
T2M,1995,-20.36,-18.44,-11.47,-3.93,8.29,17.73,15.81,13.69,9.81,1.85,-14.14,-21.34,-1.79
T2M,1996,-30.25,-17.84,-16.11,-2.81,6.09,15.24,17.2,16.23,7.94,-0.41,-13.46,-24.33,-3.52
T2M,1997,-26.75,-16.22,-12.34,-2.65,7.2,14.47,17.97,15.76,9.4,-1.14,-8.09,-11.63,-1.09
T2M,1998,-24.04,-11.18,-10.4,4.36,10.56,14.54,18.26,17.64,9.43,2.25,-8.03,-20.16,0.31
T2M,1999,-23.54,-15.14,-7.11,2.97,8.48,14.48,16.22,16.98,8.39,0.69,-6.07,-16.63,0.05
