# Area: Chile
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -35.68   Longitude -71.54 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 732.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,19.5,21.22,19.65,15.38,10.63,8.42,8.56,9.31,10.41,12.22,15.6,19.8,14.19
T2M,1982,21.12,19.76,18.85,16.06,11.06,6.13,7.44,9.26,10.3,11.48,14.21,21.17,13.88
T2M,1983,21.17,21.51,18.28,15.09,10.03,6.47,6.6,8.2,8.85,14.42,19.45,21.99,14.3
T2M,1984,21.72,19.86,18.61,14.85,7.73,5.1,6.76,7.74,10.34,12.45,14.3,18.97,13.19
T2M,1985,20.36,21.27,19.21,13.2,11.43,11.31,8.21,8.62,11.57,11.88,17.4,19.99,14.49
T2M,1986,20.84,20.92,17.73,13.38,10.22,7.47,9.88,8.89,9.61,14.1,14.11,20.14,13.91
T2M,1987,22.61,22.64,19.62,14.92,9.34,9.97,7.56,8.07,9.79,13.26,17.2,18.99,14.45
T2M,1988,20.71,22.84,18.14,15.41,11.2,8.55,7.06,6.75,9.04,11.93,16.99,19.87,14.01
T2M,1989,22.49,22.42,17.97,15.81,12.12,9.89,7.85,7.93,10.22,13.25,17.62,18.77,14.65
T2M,1990,21.45,20.43,17.76,13.4,10.18,9.82,7.44,10.53,9.96,12.31,16.23,19.14,14.02
T2M,1991,20.23,21.32,19.25,14.3,11.72,9.07,6.62,8.31,10.48,11.99,15.48,16.39,13.72
T2M,1992,21.83,19.49,18.87,12.65,7.95,5.67,5.65,8.99,10.2,11.86,15.52,17.78,13.03
T2M,1993,21.55,22.36,19.84,14.14,7.97,8.39,5.83,8.84,9.6,12.37,14.46,18.85,13.63
T2M,1994,21.58,20.73,19.86,14.37,10.99,8.24,7.0,7.94,11.81,12.2,16.07,19.48,14.15
T2M,1995,20.93,20.48,18.44,14.56,13.43,8.6,4.1,6.42,10.34,12.05,15.91,21.86,13.89
T2M,1996,20.1,20.3,18.52,12.74,11.2,8.23,9.54,8.5,10.29,12.94,16.99,18.92,14.01
T2M,1997,20.84,20.32,19.94,16.36,12.25,6.74,8.59,9.8,9.78,10.02,13.52,17.03,13.74
T2M,1998,20.54,20.08,17.99,13.38,12.39,9.28,8.58,8.41,9.52,15.55,16.99,20.93,14.45
T2M,1999,21.54,21.3,16.77,14.74,11.74,8.07,6.23,7.71,8.99,12.38,15.41,18.51,13.57
T2M,2000,20.39,18.24,16.68,14.51,10.44,6.65,6.81,8.22,8.71,12.58,15.0,19.66,13.15
T2M,2001,20.03,21.99,18.63,13.67,9.47,8.21,7.34,9.0,9.38,14.09,14.8,22.56,14.06
T2M,2002,21.68,21.17,16.64,12.6,10.56,6.87,7.84,8.2,9.78,11.55,14.51,18.12,13.25
T2M,2003,21.44,20.32,19.87,15.05,11.77,9.85,7.66,9.21,11.09,14.9,16.9,17.71,14.62
T2M,2004,22.43,20.81,18.9,13.44,11.55,8.86,7.92,9.11,11.21,12.06,15.19,18.78,14.17
T2M,2005,21.03,22.11,17.62,15.2,8.61,8.39,8.47,8.68,9.57,12.53,16.54,19.04,13.93
T2M,2006,21.68,21.06,17.45,15.06,12.87,9.47,8.83,9.4,11.29,12.77,16.96,18.84,14.6
T2M,2007,21.1,18.92,18.16,13.45,10.45,6.96,6.32,6.18,10.12,13.02,16.93,19.92,13.43
T2M,2008,22.56,22.04,18.96,14.56,11.57,8.11,8.09,7.16,11.39,13.73,18.82,21.29,14.84
T2M,2009,22.67,21.02,20.59,18.04,12.45,9.45,7.19,9.1,8.79,12.92,13.42,18.71,14.5
T2M,2010,21.91,19.23,19.17,14.58,11.86,8.03,4.95,7.96,10.19,12.77,16.69,17.84,13.74
T2M,2011,20.53,20.74,17.28,14.44,12.4,7.82,6.6,6.87,11.31,12.82,16.53,21.37,14.02
T2M,2012,21.34,20.31,20.21,15.31,12.42,9.48,7.59,8.16,11.77,11.86,17.01,16.56,14.31
T2M,2013,22.03,20.81,18.16,15.02,10.48,9.67,7.83,8.44,9.57,13.59,16.8,21.43,14.45
T2M,2014,21.76,19.7,17.77,13.56,10.92,7.32,7.5,9.51,9.43,14.15,15.93,18.76,13.84
T2M,2015,22.93,21.04,20.5,16.59,12.04,9.23,7.23,8.15,9.85,10.48,14.58,19.23,14.28
T2M,2016,21.19,21.5,20.42,13.0,11.72,8.67,7.67,9.66,13.26,13.67,18.2,19.57,14.86
T2M,2017,23.37,21.55,18.25,14.1,10.07,7.27,7.72,6.94,9.99,10.85,15.9,20.26,13.81
T2M,2018,21.62,21.8,17.76,14.79,11.47,8.07,7.65,9.66,11.16,12.13,16.31,19.35,14.27
T2M,2019,21.41,22.72,18.9,15.97,11.33,7.58,8.0,10.09,11.05,13.29,18.64,21.34,14.98
T2M,2020,22.84,21.3,20.24,16.57,13.44,6.22,6.35,7.58,10.52,13.5,17.55,20.12,14.67
T2M,2021,20.7,19.59,18.52,15.3,11.51,9.67,9.41,9.24,10.45,14.0,17.73,20.71,14.71
T2M,2022,20.21,20.17,18.0,13.53,11.37,8.39,6.8,8.93,10.45,13.74,19.63,21.55,14.37
T2M,2023,21.71,22.88,20.74,15.9,12.98,10.69,9.21,9.57,9.06,12.24,14.48,19.25,14.85
