# Area: Democratic Republic of the Congo
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -4.32   Longitude 15.31 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 437.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.76,24.68,24.33,24.76,24.24,22.2,20.73,22.65,24.8,24.66,24.09,24.25,23.75
T2M,1982,23.68,23.94,24.37,24.4,24.0,22.67,21.46,22.81,24.52,23.89,23.8,24.24,23.64
T2M,1983,24.63,24.87,25.13,24.8,24.96,22.6,21.53,21.4,24.81,25.26,23.73,23.24,23.9
T2M,1984,23.26,23.86,24.45,24.48,24.31,23.59,23.08,24.1,24.7,24.84,23.6,23.73,24.0
T2M,1985,23.86,23.67,24.35,23.9,23.81,22.29,22.24,23.88,24.5,24.54,24.26,23.98,23.77
T2M,1986,23.83,23.87,23.88,24.61,24.31,22.28,21.91,23.5,24.61,24.8,24.33,23.7,23.8
T2M,1987,23.93,24.35,24.43,24.59,24.55,22.02,22.89,24.6,25.12,25.37,24.88,24.7,24.29
T2M,1988,24.52,25.62,25.06,25.08,25.04,23.89,22.53,24.31,25.11,25.12,24.23,24.16,24.55
T2M,1989,23.77,24.5,24.4,24.75,24.37,22.99,22.49,24.14,25.3,24.81,25.18,24.41,24.25
T2M,1990,25.11,24.66,25.77,25.28,24.66,23.34,21.74,23.76,24.82,24.89,24.72,24.38,24.42
T2M,1991,24.6,24.99,25.48,24.77,24.85,23.83,22.63,23.63,25.37,24.85,25.14,25.35,24.62
T2M,1992,25.23,25.78,25.88,25.39,24.92,21.63,20.22,22.55,25.36,25.08,24.36,24.58,24.24
T2M,1993,24.56,24.51,24.66,25.25,24.78,22.67,23.09,25.22,27.13,26.3,24.68,24.81,24.81
T2M,1994,25.08,25.14,25.5,25.68,25.31,23.01,22.28,24.86,26.85,25.16,24.16,24.43,24.78
T2M,1995,24.62,24.41,25.23,25.41,25.04,23.17,22.03,24.4,24.85,24.88,24.9,24.22,24.43
T2M,1996,24.52,24.87,24.6,24.97,24.95,22.38,21.81,23.4,25.12,25.15,24.46,24.37,24.21
T2M,1997,24.35,24.79,25.36,24.52,24.14,24.33,23.07,24.25,25.83,26.01,25.17,24.78,24.71
T2M,1998,25.64,26.19,26.57,26.75,25.58,24.64,24.77,26.87,27.45,26.28,25.11,24.72,25.88
T2M,1999,24.83,25.23,25.23,24.97,24.84,23.58,23.42,24.74,25.65,25.23,24.49,24.51,24.72
T2M,2000,24.91,24.57,25.43,25.01,25.11,24.11,23.27,25.45,25.58,24.78,24.43,24.27,24.74
T2M,2001,23.93,24.77,24.76,25.19,25.09,23.48,22.53,22.83,24.62,25.75,24.81,25.24,24.41
T2M,2002,25.21,25.66,25.58,25.71,24.86,23.97,23.78,24.83,25.77,25.81,24.52,24.83,25.04
T2M,2003,24.84,25.17,25.12,25.02,25.11,23.79,23.32,24.01,25.35,25.71,24.9,25.23,24.79
T2M,2004,25.34,25.5,25.95,25.33,24.8,23.8,23.95,26.13,27.24,26.65,25.69,25.38,25.48
T2M,2005,25.76,26.54,26.3,26.1,25.52,25.02,25.97,26.92,28.17,25.96,25.2,24.73,26.01
T2M,2006,25.4,25.98,25.56,25.52,24.56,24.31,23.97,25.31,27.15,26.85,24.89,25.11,25.38
T2M,2007,25.71,25.2,25.93,25.53,25.61,23.69,23.81,25.0,25.91,25.78,24.57,24.56,25.11
T2M,2008,24.9,25.8,25.24,25.57,25.51,24.51,24.98,26.37,26.66,25.52,25.07,25.03,25.43
T2M,2009,25.41,25.4,25.71,25.31,25.31,24.37,23.46,24.78,25.6,25.59,24.96,24.94,25.07
T2M,2010,25.3,25.83,25.65,25.83,24.81,24.09,23.76,24.49,25.56,25.34,24.93,24.57,25.01
T2M,2011,24.82,24.68,25.21,25.08,25.25,23.93,23.35,24.53,26.14,24.88,24.54,24.71,24.76
T2M,2012,24.95,24.71,25.17,25.21,24.77,23.62,23.0,23.87,24.93,25.26,24.89,24.76,24.59
T2M,2013,25.32,25.43,25.37,25.43,25.12,23.6,23.05,23.63,25.41,25.13,24.68,24.35,24.7
T2M,2014,24.91,25.36,25.14,25.01,25.09,24.37,22.64,24.02,25.33,25.44,24.78,24.87,24.74
T2M,2015,24.94,25.02,25.5,25.28,25.63,24.35,25.25,26.22,27.57,26.98,25.17,25.03,25.58
T2M,2016,25.82,25.9,26.08,25.71,25.14,23.67,23.06,24.46,25.77,25.9,25.5,25.2,25.18
T2M,2017,25.14,25.31,25.62,25.83,25.29,24.29,23.11,23.71,25.28,25.23,24.54,24.95,24.85
T2M,2018,24.55,25.42,24.92,24.9,25.12,23.73,23.39,24.0,25.13,25.36,25.49,24.72,24.72
T2M,2019,24.86,25.69,25.95,26.3,25.93,24.32,24.68,25.66,26.19,25.12,25.24,24.84,25.39
T2M,2020,25.79,25.84,25.52,25.53,25.31,23.57,22.92,23.75,24.86,25.11,24.77,24.55,24.79
T2M,2021,24.79,25.06,24.86,25.35,24.58,24.22,23.42,24.66,25.21,25.38,25.25,25.51,24.85
T2M,2022,24.9,25.27,25.39,25.15,25.02,23.16,23.26,23.55,25.42,25.7,24.56,24.62,24.66
T2M,2023,24.73,25.89,25.02,25.21,25.34,23.92,23.57,24.6,25.86,26.22,25.31,25.41,25.08
