# Area: Ecuador
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -1.83   Longitude -78.18 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1626.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,17.61,17.18,17.75,17.86,17.29,16.38,15.07,16.16,16.23,17.29,17.78,17.58,17.01
T2M,1982,17.72,17.7,17.95,17.38,16.56,15.99,15.22,15.41,16.71,17.0,17.3,17.86,16.89
T2M,1983,18.56,18.54,18.58,17.83,17.65,16.54,16.25,16.64,17.38,17.64,17.34,17.06,17.49
T2M,1984,16.97,16.56,17.41,16.92,16.7,15.48,14.72,15.6,16.47,17.19,17.32,17.19,16.54
T2M,1985,17.94,17.05,17.75,17.32,16.11,14.38,14.63,15.34,16.45,17.31,17.28,17.79,16.61
T2M,1986,17.26,17.17,16.98,17.01,16.7,15.17,14.53,16.0,16.37,17.5,17.76,17.3,16.64
T2M,1987,17.08,17.26,17.79,16.93,16.61,15.54,16.08,16.14,17.15,18.17,18.18,17.69,17.05
T2M,1988,17.98,18.27,17.78,17.45,16.47,15.58,14.72,16.16,16.68,17.78,17.76,17.28,16.99
T2M,1989,16.84,16.77,16.94,16.74,15.79,15.42,14.84,15.68,16.61,17.22,18.06,18.61,16.62
T2M,1990,17.63,18.25,17.63,17.75,16.46,15.33,15.06,15.78,16.61,17.83,17.58,17.56,16.95
T2M,1991,17.76,17.98,17.91,17.03,16.91,16.39,15.23,15.39,16.97,16.64,18.03,18.45,17.05
T2M,1992,18.39,18.51,18.21,18.01,17.28,15.85,15.04,16.08,17.12,17.41,18.23,17.98,17.34
T2M,1993,17.65,17.79,16.99,17.12,17.27,15.59,15.35,15.71,16.61,17.02,17.91,17.51,16.87
T2M,1994,17.72,17.46,17.56,17.09,16.51,15.26,15.08,15.49,16.61,17.62,17.79,17.84,16.83
T2M,1995,17.75,18.23,18.09,17.78,16.7,16.16,15.94,16.65,17.04,17.86,18.19,17.94,17.35
T2M,1996,17.73,17.23,17.86,17.17,16.67,15.79,15.01,15.72,16.69,17.34,18.32,17.7,16.93
T2M,1997,18.03,17.27,18.28,17.35,16.27,16.94,15.75,16.24,17.86,18.91,18.19,17.95,17.42
T2M,1998,18.46,18.88,18.81,18.7,17.3,15.91,15.8,16.9,17.62,17.82,18.24,18.12,17.7
T2M,1999,17.55,16.96,17.38,16.34,16.23,16.0,15.02,15.19,16.64,16.94,17.99,17.77,16.66
T2M,2000,17.5,17.35,17.12,16.97,16.33,16.02,15.75,16.64,17.24,18.32,19.27,18.94,17.29
T2M,2001,17.69,18.35,18.22,18.4,17.25,15.2,15.39,15.7,16.91,17.88,18.14,18.16,17.27
T2M,2002,17.86,17.86,17.55,17.64,16.99,15.46,15.5,15.81,16.74,17.28,17.18,17.88,16.97
T2M,2003,18.24,17.98,17.84,17.41,16.43,15.9,15.15,15.89,16.94,17.84,18.11,17.7,17.11
T2M,2004,18.53,17.68,17.43,17.78,16.79,15.39,15.62,15.64,16.41,17.63,18.02,18.1,17.08
T2M,2005,18.88,18.83,18.44,18.3,18.53,18.26,17.96,18.97,19.81,18.79,18.79,18.35,18.66
T2M,2006,18.37,18.38,17.88,17.9,16.38,16.2,15.94,16.91,18.37,19.82,19.57,19.05,17.89
T2M,2007,19.53,19.63,19.11,19.24,18.95,17.1,17.85,17.23,17.47,17.88,17.79,17.81,18.29
T2M,2008,17.49,17.32,17.14,17.31,16.59,15.71,15.58,16.52,16.7,17.61,18.63,18.41,17.08
T2M,2009,17.51,17.19,17.56,17.53,17.53,16.79,16.86,17.12,17.74,18.29,18.79,18.21,17.6
T2M,2010,18.37,18.99,18.52,18.22,18.21,16.86,17.49,17.66,18.14,18.37,18.28,17.59,18.05
T2M,2011,17.45,17.41,17.66,17.31,16.97,16.44,16.02,16.68,16.89,18.2,18.06,17.83,17.24
T2M,2012,17.66,17.18,16.8,17.35,16.35,15.95,15.47,15.93,16.56,17.87,18.48,18.01,16.97
T2M,2013,18.17,17.57,18.0,17.51,17.1,15.99,15.31,15.97,16.83,17.46,18.32,18.02,17.18
T2M,2014,17.88,17.87,18.06,17.74,17.81,16.53,15.88,16.02,17.43,17.77,18.66,18.03,17.47
T2M,2015,17.23,17.62,17.75,17.03,16.98,15.85,16.09,16.7,17.24,17.93,18.48,17.66,17.21
T2M,2016,19.33,18.41,18.72,18.35,17.37,15.52,15.86,16.45,17.2,18.12,18.78,17.96,17.67
T2M,2017,17.45,17.6,17.83,17.56,17.48,16.79,15.2,16.86,17.04,17.97,18.54,18.31,17.38
T2M,2018,17.3,18.21,17.61,17.21,16.9,15.52,15.44,15.71,17.0,17.9,18.33,17.23,17.02
T2M,2019,17.37,18.16,17.81,18.16,17.45,16.12,15.66,15.89,17.35,17.32,18.3,17.95,17.29
T2M,2020,18.4,18.6,18.7,17.78,17.33,16.42,16.22,17.04,17.49,18.07,18.96,18.09,17.75
T2M,2021,17.32,18.32,17.33,17.15,16.72,16.04,15.57,16.52,16.92,17.98,17.91,18.27,17.16
T2M,2022,17.88,17.77,17.63,17.31,16.52,15.91,15.84,15.86,17.11,17.98,18.1,17.73,17.13
T2M,2023,17.25,17.32,17.76,17.73,17.49,15.95,16.39,16.83,17.77,18.65,18.38,18.42,17.5
