# Area: Eritrea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.18   Longitude 39.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 225.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.15,26.53,28.1,29.33,32.17,34.39,34.02,33.79,32.86,31.14,28.52,27.0,30.44
T2M,1982,25.48,23.53,26.07,30.21,30.9,33.36,34.29,34.16,33.01,30.59,26.91,25.97,29.57
T2M,1983,23.79,23.84,25.61,28.08,31.27,32.83,34.37,34.13,33.03,30.42,27.9,26.2,29.32
T2M,1984,25.2,26.37,29.55,30.93,32.41,34.28,34.86,34.31,32.87,30.76,28.45,26.38,30.54
T2M,1985,27.01,24.87,29.35,29.25,31.93,33.99,33.71,34.27,32.59,31.02,28.82,26.29,30.29
T2M,1986,25.63,27.01,28.74,29.6,30.43,33.97,34.03,32.22,31.07,29.59,27.83,26.01,29.69
T2M,1987,25.67,27.1,25.99,28.85,29.75,31.85,33.35,32.44,32.68,31.03,28.52,27.24,29.55
T2M,1988,26.59,26.92,28.76,31.82,33.63,34.59,34.06,32.75,32.65,30.76,27.88,26.54,30.59
T2M,1989,24.6,25.07,27.58,29.9,32.94,34.11,35.02,33.99,33.4,30.62,28.98,27.23,30.32
T2M,1990,26.41,24.83,26.79,29.79,32.94,34.99,34.68,34.75,33.42,31.62,28.65,27.08,30.53
T2M,1991,26.61,26.88,28.04,32.6,33.31,34.84,34.07,34.45,33.04,31.04,28.16,26.12,30.78
T2M,1992,24.96,23.45,26.76,29.48,32.03,34.23,34.2,32.04,32.17,30.93,28.47,26.91,29.65
T2M,1993,25.81,25.08,28.05,29.67,31.3,33.51,34.03,33.85,33.55,31.49,28.71,27.32,30.23
T2M,1994,26.82,26.35,27.5,31.54,33.02,34.99,33.8,33.32,32.26,31.12,28.69,25.86,30.46
T2M,1995,25.87,25.7,27.62,30.19,32.04,34.21,33.02,32.55,32.98,31.33,28.73,27.56,30.17
T2M,1996,26.51,27.47,27.46,29.87,32.26,33.84,34.48,34.15,33.27,30.95,28.43,26.99,30.48
T2M,1997,25.81,25.17,26.93,28.95,31.93,34.15,34.1,33.59,33.82,30.92,29.33,28.44,30.29
T2M,1998,26.52,26.0,28.11,31.5,32.74,35.03,34.5,32.7,32.81,31.3,28.83,26.81,30.59
T2M,1999,26.22,28.88,27.18,29.35,32.86,33.29,32.49,32.79,32.59,30.43,28.37,27.0,30.12
T2M,2000,26.16,26.76,27.98,31.32,33.44,34.7,35.2,34.27,32.89,30.85,29.88,26.95,30.87
T2M,2001,25.25,26.12,29.44,31.21,33.33,35.59,35.06,33.92,33.69,32.07,28.75,28.13,31.07
T2M,2002,25.6,27.73,28.93,30.86,32.14,35.02,35.87,35.26,33.88,32.21,29.68,26.9,31.19
T2M,2003,26.23,27.48,28.44,31.39,34.72,34.87,35.46,33.9,34.0,31.89,29.73,26.61,31.24
T2M,2004,26.5,26.31,28.46,31.01,33.41,35.06,35.82,35.19,33.7,31.5,29.5,27.13,31.15
T2M,2005,25.6,27.27,28.98,31.68,31.33,34.9,35.0,34.87,33.69,31.67,29.05,27.27,30.96
T2M,2006,26.74,27.83,27.57,29.6,32.91,34.67,34.34,33.63,33.18,32.56,28.83,26.98,30.75
T2M,2007,26.05,26.83,28.72,31.29,33.87,35.16,33.65,34.23,33.68,31.5,29.33,26.94,30.96
T2M,2008,26.37,26.78,29.22,31.4,32.59,35.19,35.89,35.22,33.87,31.02,28.73,26.62,31.09
T2M,2009,26.73,28.13,28.0,31.42,32.86,35.32,35.37,34.72,33.88,31.75,29.28,28.03,31.3
T2M,2010,26.99,27.96,29.02,32.16,33.34,35.83,34.38,34.28,33.52,32.42,29.47,26.96,31.37
T2M,2011,26.29,27.16,27.68,30.8,31.8,34.65,35.77,34.99,34.11,31.6,28.21,26.8,30.84
T2M,2012,26.2,27.33,27.78,31.0,33.68,35.58,35.79,34.75,34.29,31.79,29.45,27.65,31.28
T2M,2013,26.89,27.34,29.69,30.72,34.28,35.5,35.52,33.12,33.33,31.43,29.81,26.51,31.2
T2M,2014,27.02,26.92,28.84,32.07,32.5,35.13,35.27,33.83,32.67,30.82,29.5,27.24,31.0
T2M,2015,25.31,27.36,30.23,30.43,34.05,34.7,36.03,34.49,34.49,32.72,29.76,26.73,31.38
T2M,2016,26.04,26.92,29.79,31.5,32.9,35.39,34.44,32.9,33.43,31.54,28.59,27.55,30.92
T2M,2017,26.78,26.22,28.53,31.39,33.2,35.51,36.11,34.66,33.83,31.95,29.12,26.25,31.15
T2M,2018,24.9,27.03,28.96,30.98,33.99,35.44,35.25,34.59,33.7,31.69,29.51,27.3,31.13
T2M,2019,27.25,26.98,26.83,29.66,33.21,34.87,35.9,34.29,33.82,30.83,29.88,27.4,30.93
T2M,2020,24.87,26.24,27.53,30.36,33.2,35.05,34.58,32.96,33.61,31.66,29.29,27.63,30.59
T2M,2021,26.84,26.06,29.42,30.85,33.15,35.05,33.58,33.19,32.87,31.33,29.23,27.08,30.75
T2M,2022,25.68,26.25,27.94,32.28,33.5,34.91,33.65,32.32,33.35,31.47,29.66,27.36,30.71
T2M,2023,27.48,27.45,28.62,30.9,32.41,34.4,35.3,34.79,34.67,31.85,29.81,28.03,31.33
