# Area: Estonia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  58.6   Longitude 25.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 40.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-4.12,-5.8,-4.43,1.75,11.44,14.43,16.99,14.75,10.82,6.85,-0.02,-6.49,4.74
T2M,1982,-8.69,-6.88,-1.64,2.66,9.53,11.83,16.79,16.44,11.39,5.51,3.74,-0.48,5.09
T2M,1983,-0.97,-8.13,-3.17,5.56,12.2,13.8,17.57,16.94,12.49,6.89,0.14,-2.28,6.01
T2M,1984,-4.09,-7.26,-4.68,5.19,12.7,13.99,15.33,16.15,10.62,8.24,-0.05,-4.24,5.2
T2M,1985,-12.88,-14.96,-2.83,1.81,10.13,13.68,15.63,17.11,9.89,7.47,-1.63,-5.22,3.3
T2M,1986,-6.55,-12.38,-1.27,4.04,11.08,16.16,17.11,15.22,8.27,5.91,2.94,-6.43,4.61
T2M,1987,-16.24,-6.04,-7.29,2.02,8.89,13.1,15.33,13.35,9.88,5.88,-0.2,-3.61,2.96
T2M,1988,-4.39,-4.22,-3.02,1.99,11.75,16.9,19.68,15.18,12.07,5.6,-2.36,-5.38,5.35
T2M,1989,0.1,0.66,1.89,6.01,10.84,15.89,17.81,15.47,12.31,5.95,0.83,-3.88,7.02
T2M,1990,-2.73,1.47,1.79,6.82,9.53,14.62,15.85,16.14,9.19,5.74,0.61,-2.71,6.38
T2M,1991,-2.82,-5.41,-0.33,4.36,7.71,12.94,17.13,17.23,11.21,6.52,3.12,-0.92,5.97
T2M,1992,-1.23,-1.87,0.81,2.49,10.97,15.47,17.75,16.75,12.64,1.85,-2.26,-0.97,6.07
T2M,1993,-2.1,-2.78,-1.8,4.01,13.18,12.29,16.02,14.26,7.09,4.11,-5.78,-3.74,4.63
T2M,1994,-4.83,-12.73,-3.2,5.73,8.21,12.45,19.69,16.84,12.34,4.71,-0.23,-2.11,4.85
T2M,1995,-5.12,-1.0,0.19,3.72,9.53,17.09,15.88,16.54,11.48,8.1,-0.98,-6.55,5.77
T2M,1996,-9.63,-11.52,-4.6,3.1,9.89,13.42,15.08,18.53,9.72,6.79,3.08,-5.51,4.08
T2M,1997,-4.31,-3.45,-1.28,1.82,7.81,15.62,18.06,19.32,11.39,3.8,-0.65,-6.53,5.18
T2M,1998,-2.82,-4.46,-2.98,4.69,10.37,15.17,15.9,13.74,11.09,5.74,-5.43,-4.51,4.77
T2M,1999,-5.33,-7.16,-2.61,6.09,7.17,17.72,18.83,16.54,13.66,6.24,1.01,-2.22,5.89
T2M,2000,-3.33,-2.87,-0.89,6.97,10.08,13.76,16.28,15.37,10.18,7.93,2.94,-0.22,6.38
T2M,2001,-4.0,-6.14,-3.69,5.05,9.18,13.71,20.35,16.58,11.74,7.66,-0.76,-9.12,5.11
T2M,2002,-3.6,-1.49,-0.15,4.9,11.94,15.68,18.9,19.54,11.96,0.78,-2.67,-10.23,5.5
T2M,2003,-8.22,-8.35,-2.88,2.19,9.7,13.07,19.84,16.22,12.03,4.09,1.77,-0.84,4.97
T2M,2004,-8.79,-5.92,-2.18,4.38,9.33,12.92,16.22,16.94,12.21,5.57,0.25,-0.27,5.09
T2M,2005,-1.72,-8.86,-6.7,3.69,10.01,13.99,18.91,16.3,13.03,6.96,2.52,-4.68,5.37
T2M,2006,-8.25,-10.08,-6.2,3.84,10.05,15.65,19.27,17.93,14.26,8.62,1.92,2.64,5.9
T2M,2007,-1.71,-11.05,2.39,3.94,11.12,16.09,17.22,18.61,11.75,6.56,-0.27,0.26,6.37
T2M,2008,-2.33,0.17,-0.3,6.17,10.01,14.27,17.0,16.21,10.22,8.4,2.2,-1.88,6.7
T2M,2009,-4.75,-6.98,-2.13,4.91,10.64,13.98,17.36,16.24,13.46,4.39,1.15,-5.89,5.26
T2M,2010,-14.67,-9.83,-3.4,4.35,11.65,14.04,21.7,18.84,11.34,4.33,-0.63,-9.11,4.13
T2M,2011,-5.43,-11.68,-3.14,4.64,10.28,17.09,20.75,17.47,13.27,7.7,3.73,1.22,6.44
T2M,2012,-6.64,-12.07,-1.32,3.97,10.75,13.1,17.7,15.7,12.51,6.18,2.13,-8.81,4.49
T2M,2013,-7.94,-5.73,-8.97,1.82,13.56,17.81,18.65,17.89,12.15,7.2,3.76,0.88,5.99
T2M,2014,-7.74,-2.32,0.93,5.17,11.06,13.85,20.27,17.79,12.93,5.49,0.49,-1.52,6.42
T2M,2015,-2.53,-2.24,1.27,4.43,9.62,13.8,16.5,18.26,13.25,5.06,3.85,2.02,7.0
T2M,2016,-8.32,-0.65,-1.46,4.77,13.34,15.94,18.54,16.67,13.23,3.91,-1.72,-0.56,6.16
T2M,2017,-3.16,-4.44,0.16,2.5,9.32,14.11,16.56,17.17,12.21,5.1,2.04,-0.88,5.96
T2M,2018,-3.47,-8.51,-4.61,5.42,14.36,15.81,21.26,19.27,14.62,7.11,2.28,-3.81,6.74
T2M,2019,-6.39,-1.88,0.1,6.07,10.82,18.03,17.32,17.57,12.59,7.16,1.73,1.2,7.07
T2M,2020,1.83,0.46,1.25,4.29,8.84,18.23,17.02,17.7,13.94,8.95,4.1,-1.99,7.9
T2M,2021,-6.49,-8.7,-0.73,3.95,9.8,18.74,22.14,16.39,10.65,7.63,2.33,-6.01,5.89
T2M,2022,-3.52,-2.14,-1.15,3.39,9.1,17.22,18.61,20.43,10.42,8.21,1.34,-5.26,6.44
T2M,2023,-3.05,-2.93,-0.57,5.55,10.82,17.13,17.53,18.75,15.43,5.47,0.03,-4.76,6.66
