# Area: Guadeloupe
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  16.0   Longitude -61.72 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.76,25.6,26.24,26.28,27.11,27.34,27.63,27.82,27.93,27.55,27.4,26.74,26.96
T2M,1982,25.3,25.07,25.0,25.73,26.8,27.01,27.01,27.2,27.38,27.26,26.58,25.37,26.32
T2M,1983,25.28,25.12,25.82,26.25,26.95,27.27,27.3,27.47,27.74,27.14,26.78,26.17,26.62
T2M,1984,25.55,25.15,25.18,25.79,26.26,26.86,26.76,26.95,27.09,27.0,26.37,25.48,26.21
T2M,1985,24.92,25.02,24.86,25.31,26.33,26.9,27.34,27.52,27.41,26.87,26.46,25.84,26.24
T2M,1986,25.07,24.62,25.07,25.93,26.73,26.99,26.88,27.06,27.2,27.14,26.57,25.56,26.24
T2M,1987,25.12,25.2,25.68,27.03,27.05,27.23,27.35,27.93,28.2,27.84,27.13,26.4,26.85
T2M,1988,25.72,25.56,25.48,26.3,27.17,27.43,27.73,27.59,27.73,27.45,26.94,25.75,26.74
T2M,1989,25.12,24.79,24.78,25.36,26.13,26.82,27.55,27.74,27.36,27.24,27.1,26.27,26.36
T2M,1990,25.48,24.82,25.08,25.88,26.95,27.2,27.44,27.95,27.85,27.55,27.22,26.16,26.64
T2M,1991,25.58,25.49,25.55,25.89,26.72,27.15,27.01,27.56,27.79,27.07,26.67,25.36,26.49
T2M,1992,25.03,25.16,25.32,26.39,26.9,27.09,27.29,27.6,27.57,27.57,26.87,26.1,26.58
T2M,1993,25.31,24.93,25.28,26.19,26.81,27.52,27.2,27.52,27.69,27.65,26.95,26.23,26.62
T2M,1994,25.42,25.08,25.3,26.03,26.81,27.34,27.15,27.52,27.33,27.09,27.15,26.22,26.54
T2M,1995,25.46,25.68,25.52,26.21,27.59,27.63,28.0,28.27,27.69,27.51,27.25,26.65,26.96
T2M,1996,25.96,25.57,25.6,26.2,26.62,27.26,27.33,27.58,27.62,27.37,26.92,25.77,26.65
T2M,1997,25.65,25.48,25.38,25.97,27.03,27.65,27.63,27.77,28.01,27.71,27.65,27.01,26.92
T2M,1998,26.32,26.2,26.21,27.07,27.63,27.96,28.07,28.67,28.41,28.27,27.37,26.69,27.41
T2M,1999,25.75,24.81,25.52,26.42,27.49,27.78,27.89,28.28,28.24,27.74,26.86,26.05,26.92
T2M,2000,25.27,25.1,24.93,25.85,26.76,27.16,27.42,27.97,27.95,27.73,27.36,26.31,26.65
T2M,2001,25.46,25.18,25.58,26.0,27.11,27.61,27.92,28.16,28.33,27.9,27.36,26.94,26.97
T2M,2002,26.35,25.67,25.87,26.42,26.85,27.68,27.59,28.22,28.34,27.86,27.52,26.63,27.09
T2M,2003,26.27,26.13,26.14,26.85,27.23,27.22,27.61,28.24,28.44,28.24,27.61,26.78,27.24
