# Area: Haiti
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.97   Longitude -72.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.96,24.26,25.46,25.63,26.58,26.61,28.01,27.88,27.7,26.08,24.48,24.2,25.83
T2M,1982,24.16,24.36,25.96,26.9,26.24,27.65,28.62,29.59,27.92,26.85,25.47,23.94,26.48
T2M,1983,25.8,25.76,26.53,26.76,27.73,28.41,29.53,29.54,28.95,27.04,26.07,26.03,27.36
T2M,1984,25.15,25.78,26.22,26.82,26.94,26.74,27.53,27.86,26.5,24.93,24.19,23.17,25.99
T2M,1985,23.52,24.93,25.02,25.3,26.75,28.25,28.99,28.65,27.21,26.04,25.06,24.76,26.21
T2M,1986,24.49,24.22,25.61,25.47,26.09,26.12,27.96,28.52,28.11,26.77,25.87,25.69,26.26
T2M,1987,24.79,25.75,25.73,26.89,26.96,28.05,29.04,29.96,28.4,27.08,26.09,25.12,26.99
T2M,1988,24.85,24.93,26.19,26.81,27.46,28.54,29.51,28.72,27.72,27.37,26.38,24.69,26.94
T2M,1989,24.69,24.5,25.27,26.87,27.14,28.98,28.97,28.67,28.43,26.82,26.18,25.63,26.86
T2M,1990,24.99,25.0,25.27,26.08,27.91,28.54,28.68,29.88,28.58,26.85,26.1,24.86,26.91
T2M,1991,25.26,25.23,26.08,27.24,27.41,27.8,29.31,29.43,28.74,27.87,26.66,24.5,27.14
T2M,1992,25.1,25.33,26.09,27.16,26.83,29.03,29.75,29.16,28.37,27.15,26.91,24.64,27.13
T2M,1993,24.31,24.59,25.76,26.85,25.84,27.82,29.67,29.14,28.41,28.34,26.7,25.55,26.93
T2M,1994,25.5,25.95,26.2,27.19,27.59,29.39,29.63,29.03,28.72,26.99,26.56,25.16,27.33
T2M,1995,24.8,25.48,25.65,27.27,27.59,29.24,29.85,29.03,28.75,27.54,27.15,26.18,27.39
T2M,1996,24.9,25.39,25.94,26.73,27.33,27.91,28.69,28.56,28.18,27.59,25.47,23.27,26.67
T2M,1997,24.7,26.13,26.32,27.05,28.24,29.11,29.79,29.82,29.6,27.69,28.17,27.34,27.84
T2M,1998,25.92,25.58,26.92,27.06,28.35,29.52,29.73,29.36,27.84,27.02,26.1,23.99,27.29
T2M,1999,24.07,23.45,25.04,27.01,27.38,27.72,28.45,29.41,28.12,27.61,25.59,23.73,26.48
T2M,2000,23.57,24.94,24.85,26.85,26.5,28.33,29.53,29.47,27.48,26.93,25.63,25.72,26.65
T2M,2001,24.59,25.76,25.92,27.14,27.49,29.22,29.45,30.12,29.24,27.99,25.1,25.73,27.32
T2M,2002,25.13,25.27,26.6,26.43,28.1,28.72,30.14,29.46,28.78,28.49,28.04,26.44,27.65
T2M,2003,25.4,26.66,27.17,26.63,28.75,28.81,29.73,29.39,28.64,27.14,26.2,24.36,27.41
T2M,2004,23.65,25.52,25.27,26.07,27.4,29.73,29.59,29.5,27.86,27.23,25.44,25.35,26.89
T2M,2005,23.61,23.07,27.09,27.51,27.4,28.55,29.33,28.9,28.94,26.42,26.04,25.19,26.86
T2M,2006,24.79,25.11,25.64,26.11,27.31,27.91,29.19,29.33,28.57,28.35,26.64,25.64,27.06
T2M,2007,24.94,26.18,25.65,26.72,28.02,28.54,29.68,28.67,28.17,26.88,25.32,24.47,26.94
T2M,2008,23.79,25.66,25.75,26.64,27.89,28.63,29.65,28.85,27.08,27.09,25.36,24.2,26.72
T2M,2009,24.78,24.01,23.92,26.46,26.86,27.48,29.82,29.59,29.07,28.33,26.51,26.19,26.94
T2M,2010,24.41,25.41,26.39,26.99,28.22,28.39,28.75,29.02,28.2,27.09,24.44,22.59,26.66
T2M,2011,24.27,24.95,24.71,26.75,26.91,27.62,28.09,28.48,27.83,27.06,25.34,24.14,26.35
