# Area: Indonesia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.79   Longitude 113.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 122.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.89,25.06,25.56,25.6,25.53,25.15,24.91,25.11,25.42,25.3,24.95,24.99,25.21
T2M,1982,24.68,24.81,25.13,25.31,25.35,24.82,24.31,24.44,24.2,24.38,24.9,25.07,24.78
T2M,1983,25.11,25.27,25.54,25.6,25.43,25.24,24.81,25.02,25.07,25.2,24.8,24.51,25.13
T2M,1984,24.36,24.52,24.77,25.09,24.95,24.61,24.24,24.77,24.58,25.09,24.9,24.63,24.71
T2M,1985,24.41,25.18,24.96,25.03,25.23,24.55,24.14,24.62,25.27,25.31,24.87,24.84,24.86
T2M,1986,24.37,24.43,24.85,25.22,25.35,25.07,24.68,24.54,24.96,24.92,24.58,25.02,24.83
T2M,1987,24.96,25.06,25.23,25.78,25.08,25.42,24.84,25.1,24.83,25.59,25.31,25.23,25.2
T2M,1988,25.4,25.59,26.15,26.06,25.77,25.13,24.84,25.16,25.6,25.64,25.31,24.81,25.45
T2M,1989,25.13,24.92,25.2,25.38,25.58,24.81,24.83,25.02,25.26,25.3,25.55,25.3,25.19
T2M,1990,25.09,25.82,25.4,26.07,25.94,25.25,24.81,24.89,25.58,26.18,25.89,25.31,25.51
T2M,1991,25.49,25.56,25.77,25.59,25.75,25.15,24.9,25.5,25.36,25.25,25.19,25.02,25.38
T2M,1992,25.13,25.01,25.45,25.76,25.91,25.15,24.91,24.42,24.17,24.47,25.01,25.2,25.05
T2M,1993,25.16,25.22,25.1,25.56,25.72,25.67,24.79,24.7,24.94,25.69,25.75,25.42,25.31
