# Area: Iran (Islamic Republic of)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  32.43   Longitude 53.69 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1279.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,6.41,8.02,12.81,17.87,21.59,26.53,27.86,27.14,22.86,16.85,12.61,8.59,17.48
T2M,1982,5.28,4.37,10.12,19.58,24.63,28.65,29.4,28.14,23.94,18.15,9.06,4.34,17.21
T2M,1983,4.33,6.43,8.97,16.57,25.13,29.12,31.79,29.38,24.65,16.95,13.17,5.7,17.74
T2M,1984,5.09,3.97,12.67,19.15,21.29,26.57,28.49,29.24,23.41,16.05,11.97,2.59,16.74
T2M,1985,7.03,7.68,9.41,18.17,23.89,29.14,29.39,26.31,23.79,17.09,12.22,6.52,17.6
T2M,1986,5.91,6.56,7.83,17.3,23.74,27.65,28.41,26.76,23.21,19.33,9.44,4.67,16.79
T2M,1987,7.13,8.79,10.86,18.25,25.14,28.31,29.26,28.97,24.43,15.49,11.89,7.93,18.08
T2M,1988,4.65,6.04,12.09,18.24,24.82,29.06,30.69,28.52,24.63,18.94,12.59,8.18,18.24
T2M,1989,2.85,4.49,12.44,18.45,23.4,29.36,30.78,28.98,24.5,19.88,12.86,8.01,18.07
T2M,1990,3.74,6.37,11.55,18.11,25.23,30.17,30.15,30.34,26.75,19.37,14.24,8.03,18.73
T2M,1991,5.64,5.83,11.88,19.12,23.07,28.54,31.09,29.02,24.67,18.92,12.5,7.44,18.21
T2M,1992,2.52,5.98,8.55,16.64,21.1,28.53,30.63,26.93,22.75,17.81,13.59,6.87,16.85
T2M,1993,3.35,7.43,9.95,18.84,23.59,28.47,29.58,28.73,25.68,17.27,11.43,8.67,17.8
T2M,1994,7.03,6.94,12.59,19.47,23.96,28.92,31.29,30.05,21.94,18.04,13.83,5.7,18.38
