# Area: Liberia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  6.43   Longitude -9.43 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 219.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.62,25.89,26.34,26.38,25.01,24.78,23.13,22.93,23.37,24.51,24.72,24.57,24.59
T2M,1982,24.04,25.04,25.26,25.33,25.15,24.14,23.0,22.33,23.53,23.7,24.1,23.15,24.05
T2M,1983,22.35,25.94,26.39,27.1,25.66,24.23,23.35,22.74,23.4,24.32,24.46,24.24,24.5
T2M,1984,24.42,24.7,25.12,24.96,24.88,24.17,23.38,23.26,23.71,24.12,24.56,23.53,24.23
T2M,1985,24.24,25.3,26.01,25.5,24.78,24.02,22.65,22.96,23.05,24.18,24.37,23.55,24.21
T2M,1986,23.48,25.82,25.81,26.23,25.25,24.53,22.6,22.73,23.28,23.92,23.99,23.4,24.24
T2M,1987,25.28,26.03,26.89,26.59,25.92,24.58,24.14,23.61,23.81,24.58,25.19,24.95,25.12
T2M,1988,24.84,27.23,26.67,25.87,25.81,24.56,23.12,22.93,23.42,24.45,24.58,23.28,24.72
T2M,1989,23.71,26.09,25.49,26.08,25.67,24.39,23.43,22.92,23.73,24.17,24.85,24.51,24.57
T2M,1990,24.18,25.74,27.89,26.79,25.23,24.65,22.83,23.23,23.88,24.82,24.85,24.01,24.83
T2M,1991,24.17,25.69,26.44,25.85,25.2,24.84,23.55,23.04,23.7,23.77,24.29,24.25,24.56
T2M,1992,23.35,26.47,26.86,26.45,24.89,23.86,22.88,22.81,23.57,24.11,24.33,24.92,24.53
T2M,1993,25.4,26.79,26.93,26.84,26.12,24.5,22.96,23.19,23.87,24.39,24.89,24.68,25.03
T2M,1994,24.83,25.97,25.29,25.7,25.44,24.39,23.04,23.33,23.59,23.86,24.46,23.68,24.45
T2M,1995,24.44,26.81,26.76,26.81,25.76,24.8,23.65,23.5,23.82,24.45,24.7,24.13,24.95
T2M,1996,25.15,25.83,26.44,27.05,26.23,24.81,23.75,23.78,23.8,25.2,26.06,25.04,25.26
T2M,1997,26.08,27.93,27.52,25.37,25.23,23.95,23.18,23.27,23.71,24.7,25.03,24.38,25.01
T2M,1998,24.73,28.41,28.63,26.7,25.86,24.92,23.57,22.98,23.73,24.66,24.8,24.23,25.25
T2M,1999,24.16,24.89,25.83,26.32,25.74,24.76,23.47,23.11,23.6,23.95,24.51,23.5,24.48
T2M,2000,24.4,24.28,26.15,25.33,25.58,24.29,23.07,22.96,23.38,24.11,24.55,24.02,24.34
T2M,2001,24.4,24.95,25.92,26.04,25.67,24.31,23.22,23.24,23.45,24.77,24.8,25.23,24.66
T2M,2002,24.91,27.45,27.13,26.81,26.76,25.98,24.66,23.68,24.29,25.88,27.25,26.88,25.96
T2M,2003,28.16,28.86,28.43,27.32,26.69,24.49,23.66,23.55,24.12,25.12,25.17,25.4,25.9
T2M,2004,27.59,27.25,28.52,27.16,25.93,25.46,24.33,24.38,24.31,24.98,25.2,25.68,25.9
T2M,2005,25.47,27.66,27.28,26.62,25.54,24.67,24.67,24.75,25.62,25.52,26.17,26.66,25.87
T2M,2006,27.28,27.95,26.99,27.2,26.24,25.16,24.48,24.05,24.44,24.9,25.74,26.75,25.92
T2M,2007,26.55,27.58,26.72,26.29,26.56,24.85,23.93,23.75,25.05,25.41,25.18,25.71,25.62
T2M,2008,25.86,27.68,26.05,25.98,25.98,24.93,23.83,23.39,24.19,24.63,25.26,24.77,25.2
T2M,2009,24.09,25.35,25.95,25.75,25.48,24.85,23.5,23.47,24.07,24.61,24.77,24.64,24.7
T2M,2010,24.9,26.33,26.23,26.53,25.93,25.05,23.78,23.68,24.11,24.61,24.84,24.66,25.04
T2M,2011,23.63,24.86,25.6,25.9,25.71,24.88,23.77,23.9,24.42,24.7,25.17,24.36,24.74
T2M,2012,24.14,25.19,27.11,26.5,25.09,24.51,23.3,23.31,24.07,24.53,25.29,24.13,24.76
T2M,2013,23.85,25.53,26.2,26.49,25.5,24.55,23.47,23.39,24.15,24.5,24.71,23.48,24.64
T2M,2014,24.99,25.22,25.12,25.51,25.25,24.72,23.76,23.4,24.01,24.95,24.93,23.89,24.64
T2M,2015,22.88,25.18,25.84,25.73,25.7,24.49,23.84,23.87,24.31,24.82,24.97,22.35,24.49
T2M,2016,23.47,25.59,27.56,27.72,26.79,24.75,23.78,23.98,24.37,25.17,25.24,24.45,25.23
T2M,2017,25.38,25.92,26.82,27.41,26.51,25.01,23.77,23.82,24.36,25.16,25.13,24.87,25.34
T2M,2018,24.88,26.81,26.59,26.22,25.53,24.63,23.88,23.63,24.18,25.01,25.13,24.37,25.06
