# Area: Maldives
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  3.2   Longitude 73.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.91,27.28,28.02,28.34,27.91,27.99,27.63,27.35,27.55,27.37,27.24,27.08,27.56
T2M,1982,26.81,27.14,27.62,28.41,28.54,28.13,27.78,27.49,27.16,27.11,27.25,27.04,27.54
T2M,1983,27.09,27.5,28.0,28.46,28.22,28.07,28.12,28.0,28.18,27.85,27.37,26.88,27.81
T2M,1984,26.74,26.88,27.35,27.44,27.86,27.67,27.52,27.39,27.18,26.71,26.84,26.97,27.21
T2M,1985,26.97,26.93,27.39,27.59,27.9,27.12,27.02,27.12,26.88,26.78,26.6,26.53,27.07
T2M,1986,26.69,26.82,27.13,27.67,27.53,27.56,27.47,26.85,26.61,26.78,27.21,27.22,27.13
T2M,1987,26.89,27.15,27.66,27.9,28.22,28.46,27.9,27.58,27.59,27.35,27.54,27.42,27.64
T2M,1988,27.45,27.46,27.97,28.59,28.15,28.04,27.57,27.39,27.68,27.46,27.79,27.16,27.72
T2M,1989,26.9,26.96,27.02,27.96,27.72,27.1,27.25,26.82,27.19,27.08,26.72,27.32,27.17
T2M,1990,27.0,27.08,27.76,28.37,28.4,27.89,27.48,27.35,27.37,27.07,27.04,27.25,27.51
T2M,1991,27.1,27.4,27.72,28.33,28.26,27.65,27.76,27.28,27.22,27.43,27.1,26.83,27.51
T2M,1992,26.89,26.92,27.4,28.32,27.94,27.91,27.08,26.83,26.93,27.11,26.91,26.69,27.24
T2M,1993,26.77,26.77,27.32,28.05,27.91,27.88,27.37,26.95,26.76,27.17,26.99,26.5,27.2
T2M,1994,27.06,27.08,27.45,27.8,27.84,27.47,27.62,27.36,26.93,26.63,26.69,27.27,27.27
T2M,1995,27.13,27.47,27.63,27.92,27.9,27.59,27.75,27.09,27.23,26.99,27.05,26.96,27.39
