# Area: Micronesia (Federated States of)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  6.91   Longitude 158.16 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.95,27.57,27.64,27.72,28.12,27.89,27.71,27.72,28.02,28.24,28.04,27.79,27.87
T2M,1982,27.43,27.27,27.22,27.59,27.8,27.73,27.09,27.3,27.22,27.3,27.77,27.48,27.43
T2M,1983,26.62,26.61,27.05,27.21,28.14,27.95,27.37,27.64,27.78,27.9,27.52,27.79,27.47
T2M,1984,27.65,27.41,27.69,27.98,28.13,27.47,27.5,27.5,27.88,27.43,27.65,27.76,27.67
T2M,1985,27.33,27.46,27.26,27.07,27.68,27.52,27.12,27.34,27.72,27.65,27.75,27.74,27.47
T2M,1986,27.64,27.43,27.76,27.7,27.26,27.51,27.53,27.5,27.02,27.26,27.52,27.43,27.46
T2M,1987,27.23,26.91,27.35,27.64,27.73,27.82,27.18,27.54,27.7,27.65,28.21,27.76,27.56
T2M,1988,27.64,27.61,28.17,28.09,28.09,27.65,27.9,27.91,27.87,27.98,28.36,28.18,27.96
T2M,1989,27.92,27.62,27.57,27.65,28.08,27.41,27.51,27.49,27.77,27.93,27.8,27.95,27.73
T2M,1990,27.79,27.36,27.62,28.08,27.98,27.84,27.67,27.59,27.53,27.78,28.2,27.54,27.75
T2M,1991,27.17,27.37,27.54,27.72,27.89,27.68,27.73,27.81,27.49,27.58,27.57,27.62,27.6
T2M,1992,26.71,27.05,27.23,27.69,28.12,28.15,27.67,27.6,28.09,27.89,27.64,27.49,27.61
T2M,1993,27.05,27.06,27.21,27.41,27.55,27.77,27.73,27.21,27.63,27.57,27.91,27.98,27.51
T2M,1994,27.6,27.29,27.74,27.96,28.04,27.77,27.56,27.81,27.69,27.56,27.93,28.05,27.75
T2M,1995,27.44,27.15,27.61,27.76,28.2,28.24,27.8,28.06,28.28,28.07,28.49,28.67,27.99
T2M,1996,27.89,28.01,28.1,28.03,28.02,27.91,27.9,28.14,28.2,28.12,28.15,28.22,28.06
T2M,1997,28.13,27.87,28.01,28.1,27.99,27.57,27.91,27.36,27.48,27.47,27.75,27.7,27.78
T2M,1998,27.11,27.31,27.53,28.22,28.45,28.26,28.11,28.23,28.44,28.34,28.36,28.04,28.04
T2M,1999,27.7,27.71,27.92,27.81,27.98,27.65,27.47,27.34,27.39,27.83,28.0,28.31,27.76
T2M,2000,27.62,27.81,27.98,27.97,27.84,27.78,27.3,27.7,27.75,27.89,28.36,28.43,27.87
T2M,2001,28.02,27.32,27.66,28.35,28.01,28.03,27.79,27.82,27.89,27.75,27.85,28.12,27.89
