# Area: Nauru
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.55   Longitude 166.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.34,27.46,27.67,27.1,27.6,27.33,27.39,27.41,27.86,27.89,27.92,27.68,27.55
T2M,1982,27.69,27.6,27.78,27.69,27.77,27.69,26.84,26.86,27.19,27.17,27.88,27.67,27.48
T2M,1983,27.8,27.46,27.45,27.41,27.41,27.49,27.45,27.44,27.38,27.04,27.16,27.7,27.43
T2M,1984,28.02,26.97,26.5,26.9,27.12,27.33,27.34,27.26,27.45,27.64,27.63,27.38,27.3
T2M,1985,27.31,27.78,26.83,27.12,27.31,26.97,27.18,27.6,27.48,27.35,27.46,27.35,27.31
T2M,1986,27.66,27.66,28.11,27.32,27.41,27.75,27.44,27.64,27.48,27.28,27.59,27.26,27.55
T2M,1987,27.45,27.5,27.55,27.51,27.67,27.43,27.07,27.2,27.23,28.08,28.54,28.31,27.63
T2M,1988,28.02,28.33,28.16,27.23,27.57,27.4,27.55,27.55,27.64,26.89,27.1,26.75,27.51
T2M,1989,26.95,26.91,26.81,26.9,27.68,27.19,27.55,27.34,27.36,27.38,27.23,27.6,27.25
T2M,1990,27.86,27.82,27.76,27.76,28.04,28.45,27.88,28.01,27.7,28.28,28.51,27.78,27.99
T2M,1991,27.67,28.22,27.76,28.0,28.47,28.27,27.76,28.15,27.5,27.87,27.85,27.68,27.93
T2M,1992,27.88,27.79,27.93,27.73,27.43,27.85,27.89,27.89,28.35,28.34,27.84,28.04,27.91
T2M,1993,27.86,27.31,27.52,27.51,27.37,27.42,27.35,27.37,27.67,27.89,28.0,28.4,27.64
T2M,1994,28.29,27.78,27.65,27.44,28.32,28.13,28.08,27.65,27.3,27.27,27.83,27.87,27.8
T2M,1995,28.02,28.13,28.11,27.73,28.27,28.61,28.01,27.91,27.54,27.61,27.81,28.1,27.99
T2M,1996,28.23,27.49,27.4,27.42,27.58,27.88,27.61,27.73,27.86,27.91,27.57,28.18,27.74
T2M,1997,28.0,28.42,28.1,27.94,27.93,27.74,27.67,27.3,27.99,27.91,27.92,27.99,27.91
T2M,1998,27.71,27.88,27.71,27.57,27.35,27.29,27.64,27.72,27.59,27.07,26.9,27.44,27.49
