# Area: Nepal
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  28.39   Longitude 84.12 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3516.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-4.78,-1.88,0.52,4.94,7.96,10.76,11.87,11.38,9.28,5.32,0.07,-2.39,4.45
T2M,1982,-3.03,-4.57,-0.46,4.48,7.45,10.77,11.95,11.55,9.04,4.44,0.91,-0.91,4.35
T2M,1983,-3.91,-4.06,0.68,3.45,7.47,10.33,12.42,11.96,10.16,5.32,0.48,-2.11,4.4
T2M,1984,-3.96,-2.57,3.12,5.48,9.73,11.96,11.25,11.42,8.63,5.58,-0.32,-0.79,4.99
T2M,1985,-5.45,-2.04,3.44,6.31,8.21,11.03,11.21,11.62,9.24,5.64,0.96,-0.12,5.04
T2M,1986,-2.34,-2.13,0.72,4.48,6.99,11.22,11.55,11.22,9.21,4.34,1.47,-3.09,4.5
T2M,1987,-3.05,-1.65,1.0,5.2,7.64,11.62,12.6,11.59,9.98,3.93,2.19,0.94,5.2
T2M,1988,-1.18,-0.34,1.25,6.4,8.87,11.29,11.76,11.4,10.17,5.3,0.63,-0.44,5.44
T2M,1989,-3.56,-2.65,1.08,5.25,9.35,11.1,12.04,10.92,10.21,5.3,0.19,-1.96,4.81
T2M,1990,0.68,-2.39,-0.58,4.76,9.21,12.31,11.97,11.22,10.03,4.79,1.84,-0.82,5.29
T2M,1991,-3.89,-1.45,1.77,5.04,9.16,11.43,12.64,11.71,9.94,5.08,0.22,-1.88,5.02
T2M,1992,-2.38,-3.44,2.85,6.27,7.53,10.74,11.23,11.25,9.82,5.0,1.14,-1.73,4.88
T2M,1993,-2.8,-0.45,-0.52,4.65,8.34,11.02,12.56,11.92,9.36,5.31,2.04,0.19,5.16
T2M,1994,-1.84,-2.9,2.53,4.58,8.92,12.26,12.63,11.83,10.18,4.8,0.04,-1.81,5.15
T2M,1995,-5.06,-2.78,1.14,4.92,9.72,11.93,12.17,11.39,10.26,6.13,0.96,-1.38,4.99
T2M,1996,-3.59,-1.91,2.51,5.2,8.42,10.91,11.77,11.03,9.58,5.49,1.7,-0.2,5.09
T2M,1997,-3.74,-3.55,1.31,3.33,7.34,10.94,12.59,12.05,10.08,3.63,0.72,-2.32,4.41
T2M,1998,-2.49,-1.59,0.68,5.87,9.68,12.44,12.87,11.98,10.74,7.3,2.9,-0.01,5.9
T2M,1999,-2.78,0.44,2.82,7.6,9.03,11.24,12.57,11.72,10.44,5.6,2.11,-0.69,5.86
T2M,2000,-2.96,-4.34,-0.11,6.18,9.79,11.39,11.94,11.67,9.31,6.29,1.55,0.02,5.09
T2M,2001,-1.56,-0.71,0.77,5.13,9.03,11.78,12.71,12.14,9.66,6.09,2.43,-0.66,5.6
T2M,2002,-3.4,-1.19,1.64,5.86,9.13,11.49,12.24,11.79,9.16,5.09,1.77,-0.75,5.27
T2M,2003,-1.58,-3.22,0.67,6.15,7.49,11.24,12.31,12.31,10.56,5.92,2.34,-1.46,5.27
T2M,2004,-3.16,-1.13,4.1,6.04,8.47,10.49,11.23,11.62,10.21,4.32,0.25,-0.25,5.2
T2M,2005,-3.8,-2.84,1.56,4.36,7.08,11.17,12.01,11.83,10.07,4.08,-0.12,-1.21,4.56
T2M,2006,-0.56,1.84,0.5,4.52,9.22,10.3,12.6,11.47,9.95,5.26,0.95,-0.33,5.5
T2M,2007,-1.33,-4.51,-0.46,6.3,8.6,11.23,12.0,11.56,9.98,5.93,1.99,-0.25,5.14
T2M,2008,-3.31,-2.9,1.34,4.95,7.78,11.16,11.63,11.21,9.11,5.52,3.2,1.01,5.08
T2M,2009,-0.02,-0.11,1.46,6.22,7.96,10.67,12.56,11.68,9.97,4.99,1.37,-0.88,5.52
T2M,2010,-1.2,-1.9,3.35,7.36,9.13,11.66,12.4,11.59,9.77,6.01,3.17,-1.73,5.84
T2M,2011,-3.55,-1.65,1.37,4.15,8.6,10.91,11.7,11.2,10.05,5.92,2.59,-0.28,5.12
T2M,2012,-5.54,-2.16,0.92,4.88,8.26,11.66,12.26,11.7,9.91,4.18,0.64,-0.52,4.7
T2M,2013,-3.7,-2.92,1.35,4.8,8.42,11.2,11.98,11.21,9.59,6.45,1.79,-1.22,4.96
T2M,2014,-2.32,-2.37,0.51,4.47,8.06,11.26,11.85,11.58,9.89,4.54,2.56,-0.61,4.99
T2M,2015,-4.6,-2.01,-0.12,3.45,7.55,10.11,11.98,11.55,10.21,5.57,2.52,-1.81,4.56
T2M,2016,-3.15,-0.31,1.8,6.5,7.94,10.98,11.6,11.47,10.38,6.22,2.76,1.79,5.68
T2M,2017,-3.1,0.05,-0.21,4.16,7.29,10.41,11.74,11.4,10.81,6.91,1.81,0.88,5.2
T2M,2018,-0.96,-0.69,1.2,4.36,7.47,10.92,11.9,11.47,10.52,4.07,1.42,-2.46,4.96
T2M,2019,-4.32,-3.65,-0.96,4.62,7.23,10.39,11.83,12.05,9.95,6.23,3.47,-3.46,4.49
T2M,2020,-5.33,-3.46,-0.56,2.95,6.55,10.45,11.76,12.07,11.02,7.1,1.3,-0.12,4.5
T2M,2021,-0.51,-0.89,1.38,3.57,7.27,10.84,12.14,11.6,10.28,7.3,2.66,-1.77,5.36
T2M,2022,-4.48,-4.73,2.89,6.57,7.67,10.4,11.94,11.77,10.21,5.43,2.67,0.55,5.13
T2M,2023,-2.22,0.11,0.4,3.3,5.99,10.41,12.17,12.0,10.86,6.13,2.72,-0.22,5.16
