# Area: New Caledonia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -22.27   Longitude 166.45 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.19,26.97,26.37,25.2,23.47,22.52,21.09,20.62,21.11,22.15,22.83,25.6,23.57
T2M,1982,26.02,25.93,25.74,24.07,23.0,21.31,20.16,19.68,20.27,21.0,22.62,24.82,22.87
T2M,1983,25.72,25.07,25.59,25.67,23.9,22.24,20.73,20.5,21.65,22.38,23.51,23.6,23.37
T2M,1984,24.48,24.84,25.2,24.47,23.3,22.04,21.36,20.94,21.07,21.98,23.74,25.67,23.25
T2M,1985,26.36,26.99,25.52,25.6,23.2,21.73,20.57,20.23,21.03,22.04,23.06,24.43,23.37
T2M,1986,26.75,26.57,25.24,24.45,23.28,21.86,20.54,20.28,20.44,22.64,23.24,23.49,23.21
T2M,1987,24.81,24.91,24.85,23.88,23.34,21.6,20.81,21.27,21.02,22.51,23.06,24.4,23.03
T2M,1988,25.39,25.91,24.72,25.17,24.01,22.77,21.78,21.31,22.41,23.96,25.02,25.19,23.96
T2M,1989,26.01,25.97,25.32,24.52,23.12,22.68,21.24,20.51,21.01,22.25,23.7,25.28,23.45
T2M,1990,26.33,26.48,26.53,25.08,24.09,22.5,21.3,21.06,20.55,22.0,23.06,24.78,23.63
T2M,1991,26.04,26.44,24.96,23.6,22.29,21.42,20.63,20.65,21.12,21.67,22.5,24.5,22.97
T2M,1992,25.58,26.5,25.49,24.27,22.81,21.98,20.71,20.55,21.29,20.88,23.28,24.04,23.1
T2M,1993,24.81,24.8,25.39,23.6,22.65,21.42,21.43,20.38,20.67,22.04,23.28,23.93,22.86
T2M,1994,25.6,25.16,25.46,23.93,22.62,21.5,20.17,19.95,20.17,21.57,23.65,23.55,22.76
T2M,1995,25.37,26.14,25.96,25.19,23.22,21.69,20.99,20.44,21.46,22.52,24.08,25.75,23.55
T2M,1996,26.41,27.67,26.25,25.06,23.18,22.02,21.24,20.53,21.54,22.55,23.63,25.43,23.78
T2M,1997,24.49,25.38,25.63,24.25,23.53,22.1,20.62,19.97,21.16,21.61,23.74,26.47,23.23
T2M,1998,25.89,26.87,26.36,26.1,24.76,23.39,22.72,22.6,22.48,24.18,24.04,24.95,24.51
T2M,1999,26.38,26.39,27.01,25.41,24.32,22.14,21.63,20.86,21.6,22.71,23.15,23.65,23.76
T2M,2000,24.83,25.64,24.94,24.22,23.89,21.38,20.6,20.47,21.27,22.63,23.07,24.44,23.11
T2M,2001,25.73,26.21,26.82,24.89,23.49,21.75,20.82,20.73,21.54,22.9,24.26,25.72,23.72
