# Area: Niger
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.61   Longitude 8.08 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 667.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,16.94,21.42,26.04,31.08,32.95,32.78,31.16,31.7,30.96,28.57,21.67,20.38,27.16
T2M,1982,19.16,20.55,25.57,31.25,31.42,32.13,32.47,30.12,31.35,28.94,22.06,20.41,27.15
T2M,1983,14.87,22.49,23.43,29.18,33.85,33.1,32.67,31.45,31.23,26.72,24.24,21.47,27.07
T2M,1984,18.14,20.76,26.65,30.63,33.87,33.13,31.83,31.6,31.04,28.47,24.6,18.8,27.47
T2M,1985,20.81,19.63,26.57,27.31,33.27,33.73,31.73,30.98,30.53,27.0,23.86,18.87,27.06
T2M,1986,18.19,22.7,26.47,32.35,31.94,33.42,31.76,30.95,30.35,28.28,24.14,17.49,27.34
T2M,1987,19.99,22.33,26.47,27.57,33.2,32.9,32.12,30.89,31.83,28.6,23.86,21.0,27.59
T2M,1988,19.79,22.31,26.03,31.98,32.98,33.82,30.95,30.66,31.19,27.36,23.83,18.66,27.46
T2M,1989,17.04,18.87,24.56,29.93,32.51,34.77,31.63,29.86,31.45,28.18,23.76,20.53,26.96
T2M,1990,21.36,19.85,23.03,31.81,34.12,34.26,31.32,31.51,31.65,28.6,25.11,23.12,28.02
T2M,1991,19.4,24.83,26.49,31.42,32.8,34.63,32.0,28.8,30.73,28.6,23.94,18.7,27.69
T2M,1992,17.14,20.09,25.33,30.02,32.51,34.49,30.77,30.6,30.64,28.52,22.52,19.94,26.89
T2M,1993,16.28,21.49,26.33,30.2,33.52,34.18,32.39,31.11,31.25,29.61,25.61,19.61,27.65
T2M,1994,19.33,20.41,27.68,30.69,32.5,33.51,31.9,29.67,28.11,29.77,23.18,17.63,27.07
T2M,1995,17.41,19.84,27.54,31.44,33.08,34.8,33.38,31.42,32.04,29.48,22.92,22.23,28.01
T2M,1996,21.23,23.77,26.67,29.62,34.04,34.15,32.6,31.88,32.43,28.94,21.56,21.27,28.19
T2M,1997,20.13,18.62,24.82,29.42,32.64,33.83,32.74,30.67,31.47,31.36,26.24,20.09,27.72
T2M,1998,19.02,22.58,22.94,32.43,35.22,34.69,32.13,30.24,29.03,29.25,24.54,20.51,27.73
T2M,1999,19.77,22.69,28.23,30.9,32.24,33.37,31.99,28.65,30.51,28.68,24.06,19.83,27.59
T2M,2000,21.2,18.13,24.61,31.21,33.28,32.18,31.55,31.37,31.37,28.85,23.98,19.44,27.29
T2M,2001,18.67,20.09,26.25,31.2,33.5,33.27,31.93,31.2,32.0,27.89,23.42,21.86,27.64
T2M,2002,17.3,20.79,26.98,31.76,33.77,33.96,33.22,30.45,32.4,28.57,24.33,21.14,27.92
T2M,2003,20.55,24.06,25.11,31.46,32.37,32.96,32.09,30.16,31.3,30.14,25.78,20.17,28.02
T2M,2004,20.54,21.78,24.37,31.14,34.83,34.34,31.57,30.24,31.58,29.0,25.24,21.83,28.04
T2M,2005,17.98,26.01,28.47,31.1,32.39,32.6,32.65,30.83,31.2,29.13,24.27,21.8,28.2
