# Area: Oman
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.51   Longitude 55.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.22,21.48,26.02,30.83,33.95,36.45,37.72,37.3,33.63,29.57,24.07,20.75,29.46
T2M,1982,19.09,20.19,24.38,28.64,33.68,36.48,37.29,37.31,33.37,29.83,23.71,19.01,28.63
T2M,1983,18.24,19.75,22.66,27.16,34.19,37.08,38.71,37.11,34.72,29.07,24.02,19.71,28.58
T2M,1984,18.17,19.98,27.41,31.83,33.91,36.22,37.65,36.57,32.91,28.81,24.27,21.92,29.16
T2M,1985,21.15,20.4,26.65,29.36,35.04,36.48,37.45,37.76,34.2,29.22,24.84,20.19,29.45
T2M,1986,18.21,20.13,25.0,31.05,35.25,36.68,37.85,36.55,33.28,30.47,25.28,19.41,29.14
T2M,1987,18.95,21.87,26.14,29.54,34.91,37.21,38.21,36.85,34.27,29.9,25.72,20.94,29.58
T2M,1988,19.31,22.81,25.97,32.13,34.94,37.24,38.14,37.89,34.85,29.33,24.78,21.83,29.95
T2M,1989,17.72,21.24,25.18,29.65,34.22,36.59,38.2,37.66,33.82,29.85,26.18,21.59,29.37
T2M,1990,19.76,22.95,25.18,31.81,35.36,36.74,38.08,38.17,35.64,30.55,25.29,21.81,30.15
T2M,1991,21.79,21.87,26.38,31.6,33.83,36.91,38.24,37.37,34.08,29.88,24.85,21.41,29.89
T2M,1992,18.25,20.67,23.48,27.91,34.65,36.3,37.48,37.25,33.4,29.55,24.54,22.38,28.85
T2M,1993,18.96,22.09,24.89,30.39,34.14,36.64,38.59,37.41,34.74,29.74,25.51,21.75,29.61
T2M,1994,20.55,20.96,26.31,31.78,34.92,37.09,37.82,38.21,34.65,30.39,26.27,20.88,30.03
T2M,1995,20.08,22.37,24.0,29.2,33.89,37.1,37.02,37.4,34.77,30.76,24.78,23.01,29.57
T2M,1996,21.28,22.23,26.46,30.69,34.71,36.48,38.18,37.0,34.67,28.94,24.26,20.52,29.64
T2M,1997,19.29,22.28,24.35,27.78,33.92,37.29,38.27,38.2,35.42,31.31,26.8,21.87,29.77
T2M,1998,20.57,22.78,26.71,31.45,35.71,38.83,39.16,37.96,34.82,31.15,25.88,23.03,30.71
