# Area: Poland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  51.92   Longitude 19.15 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-4.24,-2.09,3.5,5.4,13.77,16.95,17.86,16.51,14.37,8.32,2.34,-6.11,7.26
T2M,1982,-6.33,-3.17,3.06,5.15,13.5,16.03,19.44,20.02,16.23,9.56,4.54,-0.05,8.23
T2M,1983,2.1,-4.08,3.73,9.5,15.28,17.62,21.03,20.03,15.34,9.05,1.88,-2.02,9.21
T2M,1984,-1.12,-2.49,0.64,7.93,13.44,14.97,16.45,19.45,13.14,10.02,1.99,-2.01,7.74
T2M,1985,-8.6,-8.67,2.2,7.65,14.95,15.04,18.35,17.84,12.74,8.13,-0.17,0.18,6.74
T2M,1986,-2.8,-10.14,1.38,8.27,14.61,16.36,18.79,18.09,11.19,8.45,4.31,-1.43,7.37
T2M,1987,-13.5,-2.62,-2.48,6.73,11.65,16.02,18.33,15.86,13.67,9.0,3.26,-0.59,6.31
T2M,1988,0.81,0.41,0.6,6.65,14.41,17.11,19.89,18.49,14.26,8.33,-0.49,0.05,8.41
T2M,1989,0.52,3.09,5.24,8.79,14.22,16.08,19.52,19.18,15.77,10.24,1.21,-0.43,9.49
T2M,1990,0.36,3.93,6.39,8.31,14.29,17.84,18.12,18.92,11.61,9.1,3.36,-2.95,9.14
T2M,1991,-1.32,-4.5,4.01,7.41,10.04,15.5,19.9,19.04,15.23,8.06,2.39,-2.34,7.86
T2M,1992,-2.04,0.44,2.49,7.15,13.56,18.76,21.26,23.06,13.67,5.7,2.53,-2.67,8.68
T2M,1993,-1.32,-2.59,0.65,8.37,16.02,16.13,17.62,17.76,12.74,7.73,-2.55,-0.03,7.62
