# Area: Qatar
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  25.35   Longitude 51.18 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 21.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,18.76,18.14,21.43,26.32,30.08,33.02,35.31,35.52,33.72,29.54,24.33,20.14,27.24
T2M,1982,17.03,15.85,18.8,24.17,29.8,33.05,34.19,33.59,33.43,29.85,21.87,16.14,25.7
T2M,1983,15.17,15.88,17.47,23.48,30.9,32.79,35.01,34.53,31.64,27.25,23.72,19.17,25.64
T2M,1984,16.87,17.91,22.14,26.79,30.07,31.86,34.45,32.6,32.15,28.04,24.3,19.03,26.37
T2M,1985,18.44,17.2,20.84,25.34,31.46,32.68,33.64,35.21,33.17,28.62,24.74,19.31,26.77
T2M,1986,16.74,17.28,20.53,26.06,32.21,33.03,35.23,36.17,33.98,30.49,24.18,18.0,27.05
T2M,1987,16.65,18.86,21.63,25.2,31.94,33.45,35.26,35.32,33.2,29.82,24.65,19.98,27.21
T2M,1988,17.07,18.22,20.68,25.97,30.81,33.41,35.32,35.68,33.91,30.19,24.84,20.43,27.23
T2M,1989,15.22,16.41,21.3,25.66,30.56,32.26,35.54,35.82,33.14,29.16,25.45,19.01,26.68
T2M,1990,16.15,17.71,20.46,25.58,31.37,33.41,36.03,34.8,32.94,29.78,25.36,21.01,27.1
T2M,1991,19.08,18.45,20.74,26.6,29.04,32.63,33.64,33.85,32.12,29.11,23.66,20.45,26.66
T2M,1992,15.27,16.35,18.45,24.25,30.76,33.82,34.25,35.0,32.98,28.1,24.74,19.75,26.17
T2M,1993,16.45,17.67,20.75,25.54,30.35,32.77,35.43,35.69,33.34,30.27,24.82,20.05,26.98
T2M,1994,19.07,18.12,20.91,26.72,31.41,33.49,34.85,34.59,33.35,30.04,26.16,19.08,27.36
T2M,1995,18.09,18.81,20.57,24.64,30.57,33.85,34.82,35.6,32.63,29.62,24.31,19.11,26.93
T2M,1996,17.58,19.06,21.29,25.61,32.21,34.14,36.95,36.59,33.61,29.18,23.68,20.45,27.56
T2M,1997,18.22,17.63,19.42,24.17,31.27,34.71,35.06,33.97,33.36,30.75,24.04,20.0,26.94
T2M,1998,16.9,18.7,21.45,26.92,32.2,35.51,36.9,37.79,35.52,30.65,25.58,22.36,28.43
T2M,1999,19.5,20.78,22.05,27.85,31.66,35.6,35.85,36.6,34.07,30.86,25.47,20.35,28.42
T2M,2000,18.18,17.79,20.55,28.64,32.06,32.99,36.35,36.98,32.74,29.94,24.2,19.69,27.54
T2M,2001,16.56,17.82,22.41,27.19,32.07,33.23,35.55,36.73,34.28,30.34,24.48,22.76,27.84
T2M,2002,18.25,18.53,22.9,26.37,32.33,34.21,36.42,35.26,33.38,30.78,24.47,20.19,27.81
T2M,2003,17.28,19.44,21.68,27.18,31.64,34.61,35.0,36.57,33.54,30.55,24.47,20.07,27.71
T2M,2004,19.46,19.13,22.86,25.85,30.82,33.77,36.1,35.14,32.94,30.14,25.97,19.18,27.64
T2M,2005,16.49,17.61,21.94,27.09,31.21,33.73,35.6,36.08,33.19,29.48,25.21,21.32,27.47
T2M,2006,18.22,20.21,22.38,26.99,32.64,35.2,35.74,36.38,33.59,30.58,25.03,17.18,27.88
T2M,2007,16.01,17.88,21.42,27.6,32.73,34.42,35.66,36.45,34.23,30.62,25.06,20.07,27.73
T2M,2008,16.21,17.03,22.98,27.21,32.4,33.85,35.63,35.72,34.04,29.98,24.35,18.4,27.35
T2M,2009,16.07,19.17,21.62,26.15,32.42,34.9,35.19,35.47,33.27,29.47,25.82,20.09,27.51
T2M,2010,18.39,20.41,23.78,27.54,31.8,34.89,36.27,37.06,34.71,30.83,25.09,20.14,28.45
T2M,2011,18.11,18.33,21.32,26.8,32.68,34.44,36.07,36.39,34.04,29.7,23.18,17.53,27.43
T2M,2012,16.98,17.74,20.17,26.85,33.36,34.73,36.64,36.22,33.83,30.82,25.24,20.72,27.8
T2M,2013,18.5,19.22,22.59,26.89,30.64,33.23,35.75,35.34,33.71,28.51,24.45,18.9,27.35
T2M,2014,16.62,17.46,22.63,27.74,32.58,34.23,36.15,36.06,34.09,30.89,24.49,19.92,27.8
T2M,2015,17.69,19.91,22.34,26.93,32.7,34.26,36.41,37.2,34.69,31.54,25.29,19.16,28.22
T2M,2016,17.1,17.9,22.1,25.9,32.15,34.11,36.51,37.17,34.2,29.06,24.84,20.14,27.63
T2M,2017,18.23,16.93,21.96,27.83,32.66,34.62,37.65,37.62,35.05,30.91,25.69,19.62,28.3
T2M,2018,17.51,20.06,24.37,27.29,32.1,35.5,36.53,35.82,35.25,30.93,24.91,20.66,28.45
T2M,2019,19.13,19.02,20.71,25.57,31.95,36.23,36.2,36.87,34.82,32.16,25.13,20.94,28.28
T2M,2020,17.41,18.82,21.95,27.29,31.19,34.94,37.72,36.4,35.09,30.21,25.88,20.73,28.16
T2M,2021,18.61,19.43,23.61,27.88,33.16,34.77,37.18,37.48,34.49,30.83,25.51,21.03,28.72
T2M,2022,17.77,18.4,22.7,27.64,30.82,35.49,35.86,36.47,34.44,30.82,27.14,21.65,28.32
T2M,2023,17.83,19.05,23.08,25.29,31.72,35.04,36.99,37.8,35.36,31.8,26.03,21.38,28.5
