# Area: Saint Kitts and Nevis
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.36   Longitude -62.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.66,25.42,26.07,25.96,27.08,27.41,27.84,27.96,28.03,27.51,27.28,26.65,26.92
T2M,1982,25.29,24.95,24.71,25.58,26.57,27.01,27.1,27.31,27.56,27.34,26.47,25.21,26.26
T2M,1983,25.15,25.04,25.77,25.81,26.74,27.24,27.43,27.46,27.87,27.26,26.88,26.17,26.58
T2M,1984,25.61,25.05,25.13,25.64,26.07,26.49,26.58,27.07,27.19,27.28,26.26,25.47,26.16
T2M,1985,24.84,24.94,24.81,25.09,26.2,26.77,27.26,27.66,27.6,26.87,26.36,25.75,26.19
T2M,1986,24.98,24.36,24.77,25.76,26.55,26.99,27.06,27.15,27.35,27.37,26.63,25.62,26.23
T2M,1987,25.08,25.17,25.24,26.74,26.84,27.21,27.52,27.99,28.23,27.94,27.22,26.38,26.8
T2M,1988,25.71,25.32,25.21,26.16,27.13,27.57,27.75,27.74,27.78,27.58,26.99,25.72,26.72
T2M,1989,25.18,24.75,24.65,25.2,25.95,26.61,27.54,27.73,27.48,27.17,26.93,26.29,26.3
T2M,1990,25.6,24.76,24.83,25.4,26.64,27.21,27.48,27.87,27.79,27.57,27.2,25.94,26.53
T2M,1991,25.47,25.43,25.21,25.45,26.48,27.12,27.11,27.45,27.84,27.21,26.73,25.28,26.4
T2M,1992,24.83,25.02,25.11,26.1,26.75,27.2,27.36,27.75,27.62,27.55,26.82,26.05,26.52
T2M,1993,25.23,24.63,24.92,25.95,26.43,27.4,27.16,27.47,27.73,27.57,26.97,26.15,26.48
T2M,1994,25.42,24.94,25.02,25.66,26.57,27.16,27.02,27.42,27.57,27.17,27.0,26.1,26.43
