# Area: South Sudan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.86   Longitude 31.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 496.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,30.15,31.32,30.11,28.28,26.98,25.45,24.32,24.4,24.73,25.75,25.95,27.97,27.09
T2M,1982,29.1,30.18,32.21,29.82,26.77,25.27,24.51,24.52,25.05,25.61,25.49,26.95,27.11
T2M,1983,27.65,30.8,33.49,30.87,27.98,26.64,25.43,24.51,25.11,24.82,25.7,26.67,27.45
T2M,1984,27.93,30.8,31.86,29.15,27.21,26.1,25.02,24.81,25.82,27.87,28.62,29.14,27.85
T2M,1985,30.8,29.18,30.28,27.49,26.29,24.51,23.74,24.23,24.95,25.73,26.45,28.31,26.82
T2M,1986,29.5,31.51,29.92,29.26,27.73,24.69,23.97,24.83,24.75,25.4,26.06,25.82,26.92
T2M,1987,29.11,30.78,30.33,29.72,25.94,24.53,25.24,24.99,25.56,25.69,26.46,27.09,27.1
T2M,1988,28.94,30.92,31.47,29.77,27.02,26.16,24.54,24.42,25.23,25.45,26.23,27.83,27.32
T2M,1989,27.17,29.35,30.9,29.72,27.02,26.41,24.62,24.76,26.29,27.2,28.68,28.62,27.54
T2M,1990,30.31,30.64,29.64,29.26,27.51,26.65,25.11,24.72,25.67,27.17,28.98,29.86,27.94
T2M,1991,29.76,32.26,32.97,29.27,27.17,25.68,24.51,24.83,26.25,25.88,28.16,29.18,27.97
T2M,1992,30.1,30.84,32.94,31.79,29.34,25.6,24.52,24.5,25.58,25.38,26.95,26.81,27.85
T2M,1993,28.14,30.2,32.18,31.99,28.0,25.76,24.68,25.15,27.69,29.41,28.74,30.61,28.53
T2M,1994,31.92,30.91,33.0,30.82,28.28,25.6,24.58,24.39,25.45,25.6,27.55,28.81,28.06
T2M,1995,30.62,30.82,32.42,32.51,29.17,27.09,24.39,24.95,25.47,26.16,27.29,28.63,28.27
T2M,1996,29.09,31.96,30.55,28.89,26.71,25.03,24.74,24.62,24.99,26.08,26.02,28.62,27.26
T2M,1997,30.11,30.88,32.68,27.66,27.11,27.98,25.43,25.84,29.47,28.09,27.44,28.81,28.44
T2M,1998,29.91,32.09,33.84,32.9,29.3,26.51,24.64,25.31,27.04,26.38,28.73,30.77,28.93
T2M,1999,31.13,32.89,33.05,30.26,28.21,28.22,24.59,24.62,26.94,26.98,29.38,29.99,28.82
T2M,2000,31.13,32.27,33.31,32.25,30.25,28.55,26.57,26.21,27.74,27.54,29.54,30.39,29.63
T2M,2001,29.47,31.73,32.4,31.46,30.49,27.37,27.12,26.27,27.14,27.32,27.32,29.16,28.92
T2M,2002,29.06,31.88,32.25,31.3,31.28,29.04,29.38,27.24,29.45,28.49,29.61,28.67,29.79
T2M,2003,30.91,32.38,32.59,31.83,29.88,27.99,27.38,26.84,29.56,30.16,29.32,29.34,29.83
T2M,2004,31.22,31.86,33.79,30.44,29.32,28.93,28.7,26.76,28.16,29.86,29.6,30.52,29.93
T2M,2005,30.71,33.45,33.95,32.86,27.74,27.87,26.19,27.28,28.0,29.53,29.67,31.08,29.83
T2M,2006,32.08,33.07,31.75,31.43,28.71,29.54,27.94,27.31,27.85,29.97,28.33,28.85,29.71
T2M,2007,30.39,31.66,32.75,32.11,28.84,25.98,25.81,25.47,26.02,27.24,28.58,29.24,28.66
