# Area: Sri Lanka
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.87   Longitude 80.77 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.98,24.27,28.13,28.76,27.76,26.62,26.55,26.93,26.26,26.46,25.1,24.02,26.16
T2M,1982,24.38,26.28,28.46,28.54,27.29,25.81,26.06,26.22,26.79,25.81,25.15,24.07,26.23
T2M,1983,23.67,25.49,29.03,31.41,28.52,27.34,27.46,27.13,26.29,27.14,25.2,24.5,26.94
T2M,1984,23.87,24.13,24.97,25.85,26.23,25.51,24.98,25.89,25.87,24.78,24.41,23.42,24.99
T2M,1985,23.88,24.4,26.36,27.87,27.86,26.26,26.41,26.62,26.48,26.04,24.03,24.01,25.86
T2M,1986,23.82,23.93,25.3,27.6,26.61,26.81,26.78,26.51,26.77,26.32,24.76,25.08,25.87
T2M,1987,24.93,25.58,28.91,29.11,28.69,27.77,28.34,27.03,27.5,26.13,25.16,24.7,26.99
T2M,1988,24.08,25.84,28.21,27.34,27.51,27.08,26.58,26.7,26.44,27.25,24.95,25.11,26.43
T2M,1989,25.16,25.52,28.14,29.45,27.63,26.17,25.53,26.12,26.11,25.63,25.36,23.99,26.23
T2M,1990,23.29,26.51,28.87,29.61,27.26,27.46,26.97,26.84,27.26,27.06,25.55,25.1,26.81
T2M,1991,25.23,26.47,28.98,29.12,29.21,27.17,27.01,27.06,27.98,26.15,24.74,24.01,26.93
T2M,1992,23.56,25.73,28.39,29.82,27.62,27.19,26.34,26.53,26.46,25.71,25.09,23.62,26.33
T2M,1993,23.17,25.75,28.0,29.61,27.8,26.87,26.25,27.05,27.23,25.87,25.06,24.51,26.43
T2M,1994,23.7,24.22,25.08,27.29,27.4,26.89,26.77,27.47,27.27,25.84,25.07,25.27,26.03
T2M,1995,25.98,27.15,29.16,29.17,28.25,27.62,27.73,28.12,28.3,27.37,26.87,26.37,27.68
T2M,1996,26.37,27.35,29.52,29.01,30.1,27.39,27.38,27.26,26.83,27.28,27.01,25.5,27.58
T2M,1997,26.28,27.26,29.81,29.69,28.0,28.36,27.51,27.68,27.05,26.57,25.73,25.23,27.43
