# Area: Sudan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.86   Longitude 30.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 582.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.78,22.37,26.72,28.98,31.3,30.58,26.44,26.9,26.35,27.92,24.01,23.04,26.39
T2M,1982,22.81,21.78,26.76,29.74,29.95,29.32,28.16,26.0,27.18,26.84,22.23,20.38,25.95
T2M,1983,17.51,22.0,24.5,28.73,30.98,30.6,29.31,27.58,28.38,28.51,25.95,23.16,26.45
T2M,1984,20.03,24.95,28.91,30.25,31.03,30.22,27.93,27.28,28.36,29.68,24.65,21.95,27.1
T2M,1985,24.29,20.35,28.1,28.25,31.68,29.85,26.69,26.41,25.95,26.35,24.0,22.43,26.23
T2M,1986,20.48,24.5,27.59,28.61,30.29,30.06,26.35,25.46,25.23,25.64,22.53,18.77,25.45
T2M,1987,20.16,24.2,26.33,28.78,29.82,27.95,26.27,25.51,26.37,26.2,25.19,21.55,25.69
T2M,1988,21.53,23.15,27.52,30.12,32.29,29.4,27.26,25.38,25.85,26.87,24.3,23.58,26.44
T2M,1989,17.12,20.01,26.1,29.46,31.34,30.3,27.48,26.64,27.16,27.97,25.56,21.46,25.91
T2M,1990,21.73,21.81,24.31,30.25,33.06,32.31,27.33,27.18,28.64,30.14,27.59,25.92,27.55
T2M,1991,21.46,24.04,27.09,32.21,32.81,31.55,28.84,27.96,29.69,29.24,25.98,20.91,27.65
T2M,1992,19.33,19.78,27.41,30.32,32.26,30.57,27.64,25.86,27.63,28.57,24.73,20.64,26.24
T2M,1993,19.95,21.8,27.46,30.65,31.02,29.5,26.32,25.7,25.97,27.83,26.32,23.66,26.37
T2M,1994,23.82,22.23,24.93,30.97,32.16,30.98,26.74,26.31,27.01,29.52,24.84,20.5,26.68
T2M,1995,21.98,22.74,27.45,29.71,32.08,30.78,26.49,25.64,26.28,27.47,23.56,21.7,26.34
T2M,1996,20.91,24.53,28.19,29.72,31.65,30.62,27.5,25.58,25.7,26.16,23.34,22.29,26.35
T2M,1997,21.71,20.22,27.28,30.38,31.24,30.29,26.23,25.64,27.25,28.03,25.18,22.09,26.32
T2M,1998,20.25,22.6,26.43,31.28,33.06,33.05,27.54,25.79,26.15,27.14,25.84,22.99,26.85
T2M,1999,22.38,27.75,25.89,29.56,32.95,31.9,26.04,25.49,26.14,26.15,24.19,22.67,26.74
T2M,2000,21.21,23.15,25.12,30.64,31.61,32.15,28.25,27.28,28.35,28.04,25.59,21.59,26.91
T2M,2001,20.04,23.02,27.67,31.05,32.24,31.44,28.43,26.23,26.75,27.4,25.42,22.99,26.9
T2M,2002,18.96,24.54,27.54,30.82,31.68,32.46,32.06,30.16,30.35,30.74,27.28,22.02,28.23
T2M,2003,22.45,24.84,27.68,30.6,32.46,32.11,27.74,27.45,30.17,30.79,26.9,22.85,28.01
T2M,2004,22.86,22.62,26.91,30.73,33.34,31.82,30.59,29.04,30.0,30.37,26.6,22.4,28.12
T2M,2005,20.79,26.91,27.45,31.2,31.1,31.55,28.27,27.44,28.58,29.16,25.06,24.6,27.67
T2M,2006,24.04,25.45,27.36,28.87,32.76,32.25,28.66,26.88,28.85,29.71,23.72,19.91,27.38
T2M,2007,19.08,23.32,27.05,30.55,33.08,30.9,25.98,25.38,26.08,28.46,26.28,22.6,26.57
T2M,2008,22.07,22.11,28.24,31.25,31.65,30.86,29.56,27.64,28.75,28.42,25.33,23.76,27.48
T2M,2009,23.24,25.7,26.4,31.92,31.91,32.6,28.14,28.42,30.06,30.28,26.09,21.87,28.05
T2M,2010,23.89,26.15,27.3,30.86,32.67,31.64,27.48,26.67,27.98,30.33,27.42,23.17,27.96
T2M,2011,20.54,24.95,25.74,30.13,30.93,32.12,30.6,27.54,29.0,29.98,23.05,21.32,27.16
T2M,2012,20.39,25.06,25.79,29.94,32.19,31.52,26.64,25.67,27.96,29.6,26.09,21.69,26.87
T2M,2013,23.09,25.67,27.96,29.46,32.41,30.75,28.96,26.21,27.69,28.53,26.08,21.82,27.39
T2M,2014,22.35,23.21,28.48,32.25,31.5,31.06,26.58,24.82,25.87,26.37,23.65,22.18,26.54
T2M,2015,19.86,25.62,28.76,28.45,32.49,29.98,28.9,26.74,27.88,29.01,24.67,19.3,26.8
T2M,2016,18.98,22.7,29.96,30.65,31.77,29.78,26.62,25.32,26.41,26.69,24.57,21.86,26.28
T2M,2017,22.94,21.96,26.84,31.34,32.14,30.33,27.44,25.89,26.07,26.81,24.43,23.15,26.63
T2M,2018,19.44,26.77,27.48,29.07,31.97,28.95,27.09,26.15,27.24,28.75,24.84,21.48,26.59
T2M,2019,23.35,25.1,26.52,30.25,32.76,29.45,27.84,25.74,26.52,26.04,24.14,21.09,26.57
T2M,2020,18.57,21.94,27.6,30.01,31.51,30.96,27.85,25.39,26.01,26.89,23.31,22.82,26.08
T2M,2021,22.34,22.92,27.98,30.1,31.15,30.55,25.66,25.38,25.67,26.19,24.25,21.29,26.13
