# Area: Togo
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  8.62   Longitude -0.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 117.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.04,27.52,27.6,28.18,26.85,26.38,25.07,24.91,25.13,26.17,25.84,26.35,26.16
T2M,1982,24.93,26.51,27.52,27.75,26.88,25.84,25.06,24.41,25.59,25.75,25.87,24.49,25.87
T2M,1983,22.25,28.19,30.35,29.66,28.13,26.4,25.93,25.56,25.67,27.27,27.91,27.34,27.04
T2M,1984,28.02,29.46,29.12,28.0,26.73,26.49,25.35,25.39,25.29,26.06,26.43,25.72,26.83
T2M,1985,26.54,27.57,29.42,27.91,27.16,26.06,24.64,24.63,24.94,26.19,26.35,24.49,26.31
T2M,1986,25.01,27.56,27.24,28.14,27.51,26.76,24.97,25.01,25.33,26.14,26.33,24.73,26.21
T2M,1987,27.99,29.75,29.82,30.81,29.96,27.82,26.81,25.68,25.8,26.6,27.39,26.25,27.87
T2M,1988,26.35,28.93,29.46,28.96,28.15,26.31,25.22,24.99,25.32,26.67,26.98,25.6,26.9
T2M,1989,24.67,27.52,29.17,29.34,28.89,26.37,25.13,24.87,25.71,26.12,27.13,25.7,26.71
T2M,1990,27.01,27.56,30.08,28.64,27.61,27.25,25.8,25.83,26.15,26.72,27.46,27.22,27.27
T2M,1991,27.93,30.97,30.42,28.7,26.98,26.73,25.24,24.87,26.01,25.81,26.69,25.16,27.1
T2M,1992,23.65,27.81,29.79,28.83,27.57,26.53,25.25,25.12,25.84,26.25,26.1,26.81,26.62
T2M,1993,25.72,29.73,28.87,28.52,27.82,26.65,25.66,25.45,25.7,26.48,27.05,26.13,26.96
T2M,1994,26.44,28.94,30.03,29.68,28.16,26.7,25.77,25.57,25.69,25.74,25.77,24.17,26.87
T2M,1995,25.64,28.12,30.31,29.22,28.07,27.02,25.65,25.41,25.81,26.31,25.95,26.12,26.96
T2M,1996,27.21,28.75,29.29,28.56,28.2,26.7,25.64,25.51,25.63,26.55,26.17,26.8,27.08
T2M,1997,27.75,27.1,29.27,27.33,27.08,26.29,25.48,25.71,26.11,26.86,26.88,25.85,26.81
T2M,1998,25.62,29.72,31.38,31.7,30.35,27.94,27.28,26.27,26.4,26.97,28.46,27.23,28.26
T2M,1999,28.42,28.98,29.38,29.37,28.59,27.57,25.77,25.49,25.67,26.18,26.72,24.44,27.2
T2M,2000,27.08,26.48,29.15,30.03,29.43,27.06,26.34,25.57,26.11,26.95,28.23,26.63,27.42
T2M,2001,26.66,28.46,31.6,29.76,28.72,26.98,25.85,25.86,25.66,27.43,28.56,28.88,27.86
T2M,2002,26.95,29.62,30.96,30.05,28.66,27.25,26.46,25.96,26.44,26.74,27.79,26.41,27.76
T2M,2003,27.78,30.49,30.99,29.59,29.72,26.25,26.13,25.8,25.78,26.75,27.06,24.95,27.59
T2M,2004,26.09,27.67,29.11,29.09,28.09,26.59,25.28,25.89,26.09,26.38,26.78,27.04,27.0
T2M,2005,23.76,29.41,29.56,29.19,27.51,26.64,26.12,26.2,26.45,26.37,27.28,26.53,27.06
T2M,2006,28.14,29.92,29.61,30.16,27.83,26.83,26.19,25.79,25.84,26.9,26.28,24.96,27.35
