# Area: United Arab Emirates
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  23.42   Longitude 53.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 122.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,19.29,19.26,23.52,29.19,31.52,34.24,36.74,36.21,33.27,28.69,23.01,19.26,27.9
T2M,1982,17.09,16.81,20.82,25.88,31.45,34.15,35.19,34.29,32.96,29.11,22.14,17.14,26.47
T2M,1983,15.98,17.25,19.31,24.64,32.82,33.74,35.92,35.61,32.51,27.75,22.51,18.52,26.43
T2M,1984,16.6,18.65,25.16,29.55,31.97,33.42,36.69,33.62,33.22,27.47,23.81,20.25,27.56
T2M,1985,19.32,18.34,23.32,26.9,32.46,34.22,35.56,37.08,33.79,28.63,24.34,19.49,27.84
T2M,1986,16.94,18.05,22.12,28.69,33.88,34.01,37.11,36.66,33.24,29.79,24.05,17.77,27.75
T2M,1987,17.11,19.77,23.8,27.08,33.58,34.29,36.84,36.79,34.05,29.29,24.24,19.36,28.06
T2M,1988,17.5,19.68,22.92,27.93,31.75,34.2,36.33,36.61,34.65,29.67,24.46,20.27,28.02
T2M,1989,15.78,17.84,22.73,26.59,31.44,34.16,37.96,36.77,33.66,29.44,25.29,19.85,27.68
T2M,1990,17.34,19.9,22.51,28.47,33.01,34.9,37.45,36.45,34.3,29.65,24.77,20.62,28.32
T2M,1991,20.07,20.19,23.46,29.09,30.88,35.14,35.44,36.18,33.77,29.05,23.46,20.69,28.16
T2M,1992,16.3,17.68,20.32,26.11,33.38,34.54,35.41,35.44,33.24,28.85,24.21,20.95,27.23
T2M,1993,17.59,19.13,22.42,27.56,32.03,34.51,37.23,36.8,34.5,29.45,24.58,20.18,28.05
T2M,1994,19.0,18.82,23.4,28.84,33.08,34.85,35.45,36.95,33.32,29.85,25.6,19.53,28.27
T2M,1995,18.53,20.0,21.95,26.82,32.11,34.75,35.11,37.99,33.87,29.86,23.96,20.64,28.01
T2M,1996,18.67,20.28,23.88,27.89,33.64,35.75,38.52,37.66,33.99,28.49,23.33,19.21,28.47
T2M,1997,17.62,19.44,21.84,26.16,32.38,35.74,36.13,35.63,34.61,30.67,25.13,20.44,28.03
T2M,1998,18.44,20.29,24.22,29.11,33.92,37.43,38.4,38.96,35.35,31.16,25.06,21.9,29.57
T2M,1999,19.64,22.54,22.9,29.32,32.73,36.93,37.41,38.45,34.86,30.16,25.44,19.99,29.23
T2M,2000,19.26,19.35,22.02,30.6,33.27,34.52,37.84,37.65,33.48,30.07,24.86,19.85,28.59
T2M,2001,17.09,18.86,24.18,28.14,33.89,34.84,37.07,37.41,34.43,29.82,24.1,22.84,28.62
T2M,2002,18.97,19.25,24.7,27.9,33.87,35.63,37.14,36.42,34.35,30.47,24.39,20.87,28.72
T2M,2003,17.96,21.74,24.9,29.48,33.26,35.77,36.08,37.51,34.39,30.03,24.38,20.18,28.84
T2M,2004,19.89,20.14,24.28,28.89,32.66,35.29,37.14,36.52,33.73,29.71,25.54,20.05,28.68
T2M,2005,17.42,19.88,24.12,29.37,32.97,34.89,36.96,37.09,33.92,29.94,25.56,21.14,28.65
T2M,2006,17.98,21.81,23.4,28.23,33.59,36.33,36.96,37.72,34.49,30.0,25.71,18.67,28.77
T2M,2007,16.77,20.37,23.24,30.08,33.95,36.2,37.01,37.65,34.51,28.98,24.54,20.37,28.68
T2M,2008,17.52,17.85,23.81,28.51,34.33,34.37,36.91,37.67,33.99,30.21,24.65,17.98,28.18
T2M,2009,16.39,21.03,24.27,28.15,33.86,35.61,35.92,36.76,33.58,29.41,25.4,20.79,28.47
T2M,2010,18.19,21.25,24.98,29.36,33.57,36.24,37.55,38.08,34.2,30.42,24.36,19.83,29.04
T2M,2011,18.83,19.72,22.76,29.07,33.75,35.8,37.33,37.91,34.59,30.0,24.43,18.18,28.58
T2M,2012,17.77,19.08,22.47,28.35,34.84,35.69,38.17,37.88,34.86,29.8,25.23,21.15,28.8
T2M,2013,18.71,20.03,23.48,28.66,31.83,33.74,37.53,37.04,34.12,29.11,24.56,19.31,28.22
