# Area: United Republic of Tanzania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -6.37   Longitude 34.89 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1071.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.83,24.33,24.51,22.29,22.36,20.31,19.92,21.83,23.44,24.79,25.36,24.04,23.16
T2M,1982,23.94,22.12,22.95,22.86,22.24,21.14,20.52,21.43,23.71,24.94,25.29,23.8,22.91
T2M,1983,23.44,24.91,25.04,24.4,23.44,21.95,21.27,22.42,23.44,24.92,26.02,24.29,23.78
T2M,1984,21.65,22.87,23.08,23.16,21.13,20.09,20.0,21.34,22.93,23.82,24.27,23.88,22.35
T2M,1985,25.09,21.99,23.63,22.78,21.9,20.26,19.97,20.89,23.31,24.15,25.35,25.39,22.9
T2M,1986,22.39,24.18,23.45,22.93,22.16,19.76,19.11,20.98,22.7,24.61,24.96,23.4,22.54
T2M,1987,22.02,22.52,23.48,23.68,22.04,19.96,20.12,21.68,24.04,25.24,25.47,26.29,23.05
T2M,1988,24.44,24.77,24.96,23.86,22.64,21.55,21.15,22.32,23.4,25.3,25.2,24.94,23.71
T2M,1989,21.49,22.94,22.6,21.83,21.87,20.02,19.7,20.57,23.51,24.46,25.78,23.04,22.31
T2M,1990,23.1,23.92,21.67,21.61,21.17,19.53,19.01,20.88,23.1,24.61,25.16,25.97,22.47
T2M,1991,24.75,23.64,24.31,23.16,22.96,21.25,20.44,21.35,23.19,25.36,25.91,23.67,23.33
T2M,1992,25.02,23.03,23.72,22.94,22.61,21.08,19.88,20.35,22.86,24.64,24.34,23.86,22.86
T2M,1993,22.63,22.07,22.37,22.75,22.39,19.72,18.84,20.75,22.26,24.24,25.94,25.87,22.49
T2M,1994,24.42,22.32,23.05,23.42,22.46,20.67,19.76,21.25,23.14,25.33,24.38,24.4,22.89
T2M,1995,23.61,22.88,21.91,22.4,21.51,19.7,19.44,20.98,23.05,24.66,24.22,25.0,22.44
T2M,1996,22.5,21.97,22.34,21.56,21.25,19.37,19.08,20.63,23.29,24.23,25.29,24.27,22.15
T2M,1997,24.48,22.51,23.39,21.95,20.88,20.67,19.65,21.33,23.51,24.32,24.4,22.98,22.5
T2M,1998,23.56,23.08,23.84,23.48,22.51,21.19,20.08,21.82,23.76,24.64,25.21,27.14,23.36
T2M,1999,23.99,25.68,22.71,22.64,22.16,20.75,19.98,21.96,23.25,24.21,25.02,25.03,23.1
T2M,2000,25.22,25.19,23.13,23.77,23.02,21.04,20.36,21.81,23.21,25.05,24.87,22.76,23.28
T2M,2001,21.65,22.36,22.83,22.77,22.96,21.09,20.31,21.72,23.69,25.34,25.98,25.45,23.01
T2M,2002,21.76,23.12,22.69,23.2,22.78,21.02,21.46,21.82,23.76,24.98,25.5,24.94,23.08
T2M,2003,23.24,23.92,25.04,23.76,23.31,21.82,20.74,21.74,24.09,24.83,26.37,25.16,23.66
T2M,2004,24.01,23.19,23.62,22.75,22.54,20.61,20.37,21.85,24.1,25.4,25.65,22.87,23.08
T2M,2005,23.01,24.24,23.28,23.57,23.15,21.82,20.7,22.12,23.91,24.83,26.17,26.37,23.59
T2M,2006,25.75,25.74,22.82,21.91,22.52,20.63,20.31,22.15,23.47,25.31,25.1,22.35,23.15
T2M,2007,22.46,21.96,21.97,22.57,22.63,20.56,20.71,22.1,24.2,25.18,25.79,23.62,22.81
T2M,2008,22.81,21.43,21.72,21.09,21.36,19.65,20.02,21.93,23.88,25.95,25.9,24.24,22.5
T2M,2009,24.15,21.57,22.42,21.71,21.77,21.3,19.89,21.84,24.08,25.61,24.64,25.13,22.85
T2M,2010,22.68,22.6,23.37,24.62,22.9,21.65,20.86,21.79,23.55,25.38,25.6,23.82,23.23
T2M,2011,23.64,23.39,22.59,22.69,23.13,22.0,21.12,22.38,24.05,25.64,25.68,22.8,23.25
T2M,2012,21.95,21.87,21.67,21.19,20.57,20.25,19.75,21.71,23.59,25.71,25.27,23.87,22.28
T2M,2013,23.81,23.26,23.6,23.02,22.81,20.9,20.76,22.15,24.48,25.32,26.63,24.7,23.45
T2M,2014,22.31,22.05,22.38,21.84,21.63,21.09,20.72,22.55,23.52,25.25,25.68,23.87,22.74
T2M,2015,22.52,23.39,22.77,22.98,22.6,21.96,21.63,22.41,24.36,26.31,24.7,24.0,23.3
T2M,2016,22.97,22.79,23.39,21.77,20.08,19.55,19.37,21.09,22.82,24.87,25.99,25.82,22.54
T2M,2017,24.35,23.45,21.9,22.3,21.78,21.13,20.84,22.23,23.77,25.84,24.83,24.94,23.11
T2M,2018,21.57,22.64,21.39,20.99,20.63,19.28,19.33,20.85,23.41,24.77,25.67,23.14,21.96
T2M,2019,22.34,22.34,22.19,22.15,20.95,19.91,20.04,21.42,23.06,23.92,24.26,22.78,22.11
T2M,2020,22.55,22.5,22.12,21.35,19.74,18.59,18.06,19.66,22.03,24.05,23.59,22.85,21.42
T2M,2021,22.1,21.99,21.63,21.16,20.12,19.32,19.02,20.98,22.75,24.63,25.9,24.72,22.02
T2M,2022,23.41,21.29,22.12,21.69,20.81,19.15,19.29,20.87,22.49,24.3,25.09,24.18,22.06
T2M,2023,21.79,22.56,22.24,22.34,22.55,21.85,20.94,22.57,25.01,26.74,25.06,24.0,23.14
