# Area: Uzbekistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.38   Longitude 64.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 381.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-0.62,-0.27,7.35,12.67,18.73,24.73,29.03,26.42,19.5,9.37,4.19,-0.61,12.62
T2M,1982,-4.76,-5.04,3.04,15.7,21.59,25.24,27.8,25.89,19.32,11.01,0.74,-1.63,11.67
T2M,1983,-1.43,3.04,4.52,16.12,21.5,27.72,32.21,28.42,20.01,11.19,6.69,-0.46,14.18
T2M,1984,-4.37,-7.71,3.89,13.1,20.88,27.16,31.36,29.23,19.86,11.9,3.8,-10.07,11.64
T2M,1985,-4.38,1.39,2.38,15.96,21.94,28.15,29.7,25.46,20.35,9.62,2.1,-0.52,12.73
T2M,1986,-0.55,-0.21,1.58,14.39,22.33,26.52,29.38,26.33,22.32,11.6,3.25,-0.6,13.1
T2M,1987,0.04,0.52,5.82,11.71,22.1,26.42,28.96,28.51,19.99,7.82,3.08,1.3,13.1
T2M,1988,-1.7,-3.43,5.3,16.67,19.77,29.39,30.76,26.31,20.68,11.38,7.72,2.41,13.81
T2M,1989,-3.65,-2.45,6.75,11.28,20.21,27.0,30.6,27.35,19.71,13.79,4.25,1.21,13.1
T2M,1990,-4.25,0.05,7.36,13.92,22.05,29.69,29.48,27.41,22.3,11.5,5.79,-2.07,13.67
T2M,1991,-4.44,-1.14,4.34,15.93,20.1,26.84,29.93,26.7,20.33,14.02,3.93,-2.47,12.91
T2M,1992,-3.26,0.8,2.98,13.68,17.97,26.28,28.33,24.72,18.27,10.0,6.06,0.88,12.25
T2M,1993,-2.92,-1.81,3.56,13.64,19.16,27.13,29.3,25.51,19.23,9.95,-1.96,-4.62,11.42
T2M,1994,-3.99,-4.69,4.76,10.92,21.13,28.27,27.97,27.81,17.76,12.5,6.84,-2.27,12.35
T2M,1995,-3.53,0.97,5.12,15.43,20.7,27.58,30.35,27.7,20.25,10.63,6.87,-2.64,13.34
T2M,1996,-4.58,-3.13,1.46,11.4,20.86,27.24,29.28,25.76,20.25,10.45,1.57,0.48,11.8
