# Area: Zambia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -13.13   Longitude 27.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1231.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.09,20.67,20.77,18.39,15.94,13.52,14.22,18.31,22.38,25.85,25.67,23.36,20.01
T2M,1982,20.87,21.01,21.08,20.0,16.48,15.74,15.42,18.29,22.42,24.73,22.98,21.42,20.03
T2M,1983,21.62,21.55,21.62,20.16,19.18,17.68,17.58,19.24,24.11,25.11,26.19,21.1,21.25
T2M,1984,20.96,20.65,20.75,19.69,17.86,15.97,16.52,18.78,24.13,26.08,23.69,20.84,20.49
T2M,1985,20.83,20.35,20.6,18.82,17.16,14.46,15.21,17.53,22.94,25.29,22.99,21.08,19.77
T2M,1986,20.02,20.68,20.75,19.99,17.1,14.46,14.93,18.4,22.49,24.48,23.07,21.47,19.81
T2M,1987,20.92,21.46,21.43,19.46,18.37,15.32,16.17,20.35,24.46,25.36,26.9,22.5,21.05
T2M,1988,21.59,21.44,21.13,20.93,17.15,17.62,17.45,20.05,24.18,25.21,24.79,22.21,21.14
T2M,1989,20.52,20.43,20.51,19.49,17.07,15.31,15.55,18.52,22.9,25.72,25.55,22.36,20.32
T2M,1990,21.02,21.2,20.79,20.45,18.93,17.79,17.14,19.25,22.71,26.81,26.19,22.92,21.26
T2M,1991,21.18,21.49,21.49,20.1,20.31,17.87,17.57,20.65,24.55,25.0,24.88,21.85,21.41
T2M,1992,21.99,22.25,21.89,20.93,20.72,18.03,17.44,19.34,23.74,26.58,24.89,22.21,21.66
T2M,1993,21.11,21.17,20.53,20.24,17.27,14.57,15.53,17.87,22.45,26.38,24.15,23.06,20.35
T2M,1994,21.27,20.68,20.88,20.43,19.11,16.95,16.83,20.18,23.99,24.63,26.45,22.94,21.19
T2M,1995,21.47,20.94,21.09,20.61,20.06,16.97,17.56,21.82,24.14,27.25,25.2,21.36,21.54
T2M,1996,20.95,20.91,20.7,18.87,17.95,14.72,15.16,19.09,23.85,26.82,26.16,21.89,20.58
T2M,1997,20.93,20.28,21.29,19.3,16.35,17.03,15.38,18.67,23.07,25.44,24.44,22.22,20.36
T2M,1998,22.55,23.43,24.29,24.57,21.67,18.85,18.48,21.04,24.8,27.38,26.76,22.36,23.0
T2M,1999,21.0,21.42,21.07,20.21,18.98,17.26,17.35,20.59,23.07,25.45,24.8,24.49,21.31
T2M,2000,22.37,21.23,21.09,22.17,20.72,19.08,17.15,19.58,24.03,26.26,23.23,21.33,21.51
T2M,2001,20.73,20.66,20.68,19.78,16.92,15.21,15.75,19.06,23.24,25.82,24.86,22.46,20.43
T2M,2002,21.12,21.44,21.63,20.27,19.0,17.44,19.27,21.01,24.45,26.77,24.52,22.96,21.66
T2M,2003,22.62,21.74,21.83,20.16,19.86,18.23,17.37,20.57,24.21,25.74,24.57,22.23,21.59
T2M,2004,22.24,21.56,21.73,20.5,17.78,17.08,17.67,21.35,24.27,25.29,24.26,21.48,21.26
T2M,2005,21.25,22.35,22.65,22.71,20.85,18.92,17.87,21.61,23.89,27.29,26.5,22.41,22.35
T2M,2006,21.41,21.61,21.02,20.0,19.43,17.06,16.93,20.43,23.07,27.57,24.68,22.25,21.29
T2M,2007,21.3,21.23,21.3,20.6,18.27,17.33,16.97,20.34,24.5,26.39,23.79,21.22,21.1
T2M,2008,20.9,20.93,20.14,18.98,17.75,15.52,16.57,19.49,23.61,27.0,24.51,21.43,20.57
T2M,2009,21.19,21.01,20.81,18.5,17.77,17.46,16.14,19.16,24.27,27.05,22.51,21.69,20.63
T2M,2010,21.83,21.54,21.39,21.14,18.57,16.86,17.28,18.83,23.38,27.32,25.21,21.18,21.2
T2M,2011,21.08,21.55,20.86,20.98,20.18,18.58,17.58,19.28,23.45,25.34,23.93,22.86,21.3
T2M,2012,21.39,21.28,21.19,19.55,18.83,17.63,17.49,21.33,25.32,27.77,25.27,21.7,21.56
T2M,2013,21.48,21.24,21.18,20.01,18.61,16.85,17.14,20.54,25.08,26.85,26.23,22.95,21.51
T2M,2014,21.38,20.89,21.2,19.9,17.95,16.79,16.83,20.01,22.91,26.62,27.43,22.67,21.21
