Crop,RMSPE (%),MAPE (%),RMSE,R²
Sweet potatoes,11.732188406866683,7.256574588702962,19601.54055323932,0.9421752148274077
Potatoes,12.226451070527888,7.0987432902033,22178.784868785988,0.9462873172993667
Wheat,14.908065056796222,8.507848531617606,4038.3115912632506,0.9522948767976297
Maize,17.429942890051876,9.126884569732233,7010.205004842181,0.9469529690532406
"Rice, paddy",17.8383346966561,7.886176148582126,5044.248650654151,0.9406183359201795
Yams,19.974763621322847,9.026651668441033,15527.708675495882,0.918275360788295
Cassava,21.302954657565298,9.843222113290448,19045.360042716817,0.9727704051847724
Soybeans,22.053746940713843,10.716140302397688,2258.169764524176,0.9309833703614289
Plantains and others,25.553504639638952,12.776703732655992,29951.18153895422,0.7752157408130214
Sorghum,72.23893984759037,23.272875373005544,9877.668641182858,0.7508246109523459
