# Area: Albania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.33   Longitude 19.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 686.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,58.98,124.49,140.76,57.26,63.33,18.18,12.65,65.85,71.14,127.25,94.45,162.6,996.94
PRECTOTCORR_SUM,1982,65.61,87.52,84.34,46.3,21.17,12.07,39.59,21.78,28.45,97.64,68.16,157.09,729.72
PRECTOTCORR_SUM,1983,59.73,96.23,37.41,44.7,58.69,64.82,33.42,41.37,73.92,59.36,94.76,86.0,750.41
PRECTOTCORR_SUM,1984,149.67,116.95,105.98,40.14,56.23,16.13,13.12,71.31,113.56,31.78,71.41,52.89,839.17
PRECTOTCORR_SUM,1985,143.81,88.42,95.39,68.98,47.74,36.13,3.03,23.65,43.15,14.62,371.73,47.31,983.96
PRECTOTCORR_SUM,1986,213.26,151.25,86.45,74.49,41.56,81.89,31.36,4.51,42.01,50.55,10.32,72.42,860.07
PRECTOTCORR_SUM,1987,153.38,48.46,107.14,44.46,64.54,45.32,25.54,14.6,20.76,78.51,66.87,95.22,764.8
PRECTOTCORR_SUM,1988,58.05,100.43,92.12,55.78,15.88,41.35,6.77,18.76,34.86,53.94,133.44,57.47,668.85
PRECTOTCORR_SUM,1989,1.91,49.09,46.16,77.52,59.62,71.46,30.61,69.14,39.77,112.98,99.15,31.82,689.23
PRECTOTCORR_SUM,1990,10.45,48.31,13.65,117.02,43.48,19.08,11.71,22.95,51.85,88.55,80.56,103.96,611.57
PRECTOTCORR_SUM,1991,30.92,113.52,42.41,121.72,104.97,31.76,32.52,19.65,37.65,112.85,142.17,41.15,831.29
PRECTOTCORR_SUM,1992,20.69,22.89,48.24,116.36,25.82,99.08,22.81,7.49,31.25,150.64,96.59,64.74,706.6
PRECTOTCORR_SUM,1993,21.87,22.27,124.99,66.43,32.92,29.61,14.56,7.77,92.36,59.79,146.42,88.25,707.24
PRECTOTCORR_SUM,1994,102.11,64.5,14.67,164.41,17.11,74.92,43.77,31.6,78.27,47.78,59.73,85.07,783.94
PRECTOTCORR_SUM,1995,122.27,59.24,132.32,82.83,83.71,9.65,74.32,130.12,120.26,4.69,92.3,151.97,1063.68
PRECTOTCORR_SUM,1996,36.94,99.96,110.77,72.21,63.9,18.96,20.14,48.66,196.82,77.52,138.57,137.59,1022.04
PRECTOTCORR_SUM,1997,42.73,49.95,38.32,75.07,23.16,8.26,18.01,46.85,8.26,139.59,85.0,97.79,632.99
PRECTOTCORR_SUM,1998,40.75,54.08,42.48,118.23,112.16,28.55,32.97,41.27,140.91,131.78,134.6,93.13,970.91
PRECTOTCORR_SUM,1999,73.23,84.3,55.26,102.82,23.03,51.25,75.14,18.65,60.57,74.5,196.38,163.12,978.25
PRECTOTCORR_SUM,2000,27.97,82.74,63.51,64.96,25.72,19.76,41.62,11.45,48.76,95.78,152.13,81.47,715.87
PRECTOTCORR_SUM,2001,112.88,50.43,67.83,109.47,42.21,31.78,23.56,25.22,91.18,9.85,125.47,93.99,783.87
PRECTOTCORR_SUM,2002,20.59,36.59,49.98,98.46,87.09,24.73,56.24,73.16,137.0,108.23,51.87,157.7,901.64
PRECTOTCORR_SUM,2003,179.15,41.4,11.37,56.17,19.28,47.78,19.99,15.64,98.45,228.6,90.89,78.89,887.61
PRECTOTCORR_SUM,2004,138.17,106.03,134.28,83.84,104.99,68.05,58.01,22.46,99.24,95.18,151.09,127.81,1189.15
PRECTOTCORR_SUM,2005,67.46,119.49,86.06,52.26,38.71,43.7,37.67,42.14,105.09,52.38,150.72,198.84,994.52
PRECTOTCORR_SUM,2006,66.38,100.19,99.72,96.17,44.94,61.23,64.57,84.81,58.95,57.43,64.04,55.17,853.6
PRECTOTCORR_SUM,2007,87.11,96.0,72.31,18.11,65.57,39.15,0.85,34.04,67.59,134.57,150.91,60.06,826.27
PRECTOTCORR_SUM,2008,59.05,25.84,105.48,70.99,24.74,58.59,34.44,6.71,98.55,62.75,85.16,167.8,800.1
PRECTOTCORR_SUM,2009,167.41,65.08,133.5,64.51,44.81,123.33,18.27,28.06,41.36,156.83,155.1,208.95,1207.21
PRECTOTCORR_SUM,2010,156.86,217.26,81.51,109.31,70.92,56.16,30.9,9.53,81.68,186.25,229.26,142.42,1372.06
PRECTOTCORR_SUM,2011,55.76,48.97,48.48,28.45,76.05,22.41,17.65,4.1,39.88,54.23,14.05,113.03,523.06
