# Area: Antigua and Barbuda
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.12   Longitude -61.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,27.5,145.53,29.02,235.57,152.99,144.94,175.21,175.95,131.1,187.01,160.27,252.17,1817.26
PRECTOTCORR_SUM,1982,50.0,156.65,22.76,60.84,177.54,58.45,103.91,123.49,109.99,103.76,194.75,247.48,1409.62
PRECTOTCORR_SUM,1983,27.95,15.57,29.85,44.58,276.71,54.42,127.27,99.56,97.33,44.71,44.53,40.75,903.23
PRECTOTCORR_SUM,1984,51.14,67.0,31.88,22.86,91.29,46.53,115.16,133.1,146.84,115.69,389.11,26.77,1237.37
PRECTOTCORR_SUM,1985,31.78,48.7,53.82,42.94,38.49,54.97,105.43,111.48,186.96,251.75,115.12,28.32,1069.76
PRECTOTCORR_SUM,1986,33.29,17.45,28.66,150.64,162.28,51.19,53.15,128.07,72.77,74.62,159.84,29.77,961.73
PRECTOTCORR_SUM,1987,78.9,7.76,56.69,88.15,269.89,164.78,104.55,82.77,97.93,147.01,228.63,45.46,1372.52
PRECTOTCORR_SUM,1988,42.84,62.1,64.22,19.73,25.02,50.5,109.53,219.89,124.6,105.06,118.12,72.63,1014.24
PRECTOTCORR_SUM,1989,65.18,50.59,59.71,30.83,25.68,64.18,71.05,151.78,279.95,50.44,51.19,35.6,936.18
PRECTOTCORR_SUM,1990,57.85,36.37,107.17,90.86,57.28,87.24,64.85,115.8,80.87,335.7,56.51,47.21,1137.71
PRECTOTCORR_SUM,1991,32.16,33.51,68.44,47.73,66.44,87.22,86.62,58.66,129.21,57.91,130.49,45.18,843.57
PRECTOTCORR_SUM,1992,62.99,29.52,26.2,54.26,170.06,86.86,58.16,89.37,143.16,32.02,203.02,131.78,1087.4
PRECTOTCORR_SUM,1993,36.4,52.19,27.65,78.92,257.48,114.21,109.86,78.36,137.63,74.29,50.61,41.66,1059.26
PRECTOTCORR_SUM,1994,54.76,32.24,23.59,25.3,50.2,24.99,29.29,34.02,176.43,87.17,82.95,65.28,686.22
PRECTOTCORR_SUM,1995,21.47,41.03,32.01,12.58,34.75,31.16,69.17,200.44,300.67,118.45,28.39,63.41,953.53
PRECTOTCORR_SUM,1996,31.59,39.01,24.88,34.68,63.1,127.98,162.85,64.01,234.93,101.06,124.57,147.76,1156.42
PRECTOTCORR_SUM,1997,52.47,80.37,25.05,17.79,40.81,38.46,150.88,76.08,120.51,172.72,25.8,94.57,895.51
PRECTOTCORR_SUM,1998,66.55,57.22,47.1,49.79,73.6,137.67,83.4,117.23,108.45,186.38,170.71,127.12,1225.22
PRECTOTCORR_SUM,1999,40.98,52.69,34.82,36.72,29.74,87.68,92.72,84.93,151.44,312.8,399.36,54.59,1378.47
PRECTOTCORR_SUM,2000,59.19,45.38,47.58,56.84,71.09,32.79,32.99,84.22,97.39,45.93,84.12,37.7,695.22
PRECTOTCORR_SUM,2001,36.06,24.68,17.95,30.6,35.84,42.73,87.99,96.46,48.15,134.37,57.82,185.11,797.76
PRECTOTCORR_SUM,2002,35.64,20.77,42.29,77.33,32.1,46.52,78.87,55.67,118.16,113.8,40.18,48.5,709.83
PRECTOTCORR_SUM,2003,29.85,27.15,15.46,24.28,63.15,71.24,69.29,68.01,59.92,116.83,536.82,73.09,1155.09
PRECTOTCORR_SUM,2004,45.17,47.26,47.11,26.38,127.5,56.67,180.19,77.18,310.48,216.48,243.19,48.48,1426.09
PRECTOTCORR_SUM,2005,89.48,64.65,10.08,79.53,82.53,274.71,141.49,106.32,117.03,355.44,103.46,34.5,1459.22
PRECTOTCORR_SUM,2006,80.94,37.34,46.77,123.4,58.84,133.91,130.43,129.44,71.31,214.72,51.06,70.37,1148.53
PRECTOTCORR_SUM,2007,32.3,8.99,64.54,11.78,103.67,34.07,131.41,157.67,151.05,275.2,10.36,41.65,1022.69
PRECTOTCORR_SUM,2008,64.65,26.13,21.6,37.5,44.69,110.37,55.74,145.95,218.84,302.15,70.34,32.34,1130.3
PRECTOTCORR_SUM,2009,33.16,44.0,38.19,26.82,87.16,63.31,85.42,89.0,166.57,95.08,77.14,30.05,835.9
PRECTOTCORR_SUM,2010,11.1,12.49,24.47,60.92,105.1,164.06,248.87,216.97,154.89,324.77,96.39,89.64,1509.67
PRECTOTCORR_SUM,2011,30.41,22.54,27.23,95.93,158.07,142.81,295.15,288.06,255.68,45.78,238.44,165.15,1765.25
PRECTOTCORR_SUM,2012,32.14,21.46,126.55,53.14,210.62,46.77,123.73,268.49,100.8,278.84,27.51,48.44,1338.49
PRECTOTCORR_SUM,2013,15.11,9.29,37.7,79.23,163.51,136.72,90.09,113.11,153.04,162.71,79.94,183.52,1223.97
PRECTOTCORR_SUM,2014,16.36,23.52,14.76,28.53,127.66,51.47,72.35,153.81,149.81,131.1,174.97,71.39,1015.73
PRECTOTCORR_SUM,2015,19.43,32.12,16.23,43.68,36.88,67.3,58.41,142.69,88.32,118.49,128.09,49.08,800.72
PRECTOTCORR_SUM,2016,31.93,32.87,48.99,84.9,147.31,109.75,88.64,151.89,130.44,114.66,262.42,58.01,1261.81
PRECTOTCORR_SUM,2017,55.04,25.9,33.83,63.38,110.18,148.23,48.8,127.5,268.21,148.02,38.77,58.28,1126.14
PRECTOTCORR_SUM,2018,43.43,29.72,10.64,59.95,33.63,34.42,63.87,95.05,57.56,100.6,183.37,25.18,737.42
PRECTOTCORR_SUM,2019,41.83,24.96,24.64,22.62,65.89,85.46,99.27,106.33,119.47,48.21,46.64,49.58,734.9
PRECTOTCORR_SUM,2020,73.02,42.06,31.83,6.07,25.95,21.71,124.12,110.48,117.93,215.29,170.75,31.42,970.63
PRECTOTCORR_SUM,2021,24.61,21.64,29.64,80.18,38.27,126.46,56.04,154.13,54.02,91.73,21.65,59.42,757.79
PRECTOTCORR_SUM,2022,19.7,50.31,34.76,48.85,72.94,53.52,95.73,52.66,192.84,139.83,173.93,27.44,962.51
PRECTOTCORR_SUM,2023,60.05,20.01,25.62,48.52,47.41,63.29,141.57,150.97,47.42,428.67,35.56,35.6,1104.69
