# Area: Armenia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  40.07   Longitude 45.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1946.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,12.82,24.37,48.97,47.76,55.84,61.17,22.2,31.32,29.09,24.23,37.93,30.11,425.81
PRECTOTCORR_SUM,1982,15.27,21.07,47.33,17.6,39.8,43.75,28.57,3.92,11.74,22.19,44.85,9.77,305.86
PRECTOTCORR_SUM,1983,31.53,15.85,17.91,31.66,56.47,68.61,15.51,30.55,9.82,43.51,44.58,4.1,370.1
PRECTOTCORR_SUM,1984,15.89,27.72,44.66,47.69,39.63,12.63,24.89,11.6,6.87,39.3,9.23,9.14,289.25
PRECTOTCORR_SUM,1985,32.72,39.13,17.77,13.62,20.75,17.25,22.96,3.76,4.37,13.6,4.77,26.48,217.18
PRECTOTCORR_SUM,1986,15.61,10.67,16.83,28.33,74.87,34.24,6.53,3.42,17.46,37.96,55.64,9.26,310.82
PRECTOTCORR_SUM,1987,10.97,24.14,15.57,18.49,29.13,23.6,12.42,14.85,12.3,36.26,3.79,28.17,229.69
PRECTOTCORR_SUM,1988,13.71,9.56,11.05,18.18,38.14,25.01,13.91,6.85,8.99,16.81,20.1,8.28,190.59
PRECTOTCORR_SUM,1989,1.37,1.17,10.93,15.3,14.25,25.65,18.87,7.13,7.82,20.18,19.69,14.65,157.01
PRECTOTCORR_SUM,1990,12.01,2.77,6.28,47.08,29.96,13.64,9.87,5.19,3.3,21.38,9.91,10.46,171.85
PRECTOTCORR_SUM,1991,23.66,6.69,21.46,32.07,31.52,25.88,16.2,9.14,0.22,20.1,34.08,20.59,241.61
PRECTOTCORR_SUM,1992,14.59,12.0,6.95,16.57,37.86,32.71,16.09,14.19,35.77,6.17,28.62,19.83,241.35
PRECTOTCORR_SUM,1993,12.67,11.53,6.3,36.51,60.33,35.12,5.39,14.3,9.8,10.94,40.7,8.19,251.78
PRECTOTCORR_SUM,1994,14.2,13.19,19.96,37.19,21.65,18.03,5.08,2.5,4.81,15.16,27.24,21.8,200.81
PRECTOTCORR_SUM,1995,6.36,5.97,10.27,12.41,10.97,28.94,25.06,0.82,32.4,6.89,8.45,1.91,150.45
PRECTOTCORR_SUM,1996,6.67,6.23,12.85,20.52,13.49,14.38,6.64,1.2,6.57,15.76,3.41,7.61,115.33
PRECTOTCORR_SUM,1997,3.74,22.59,12.58,5.2,42.03,40.5,31.1,1.2,12.77,18.06,2.61,2.91,195.29
PRECTOTCORR_SUM,1998,6.44,5.25,9.94,26.77,24.43,16.04,25.54,5.11,2.9,16.98,10.98,4.12,154.5
PRECTOTCORR_SUM,1999,0.77,7.22,10.74,14.49,19.61,28.94,4.04,11.57,20.09,3.37,9.97,1.35,132.16
PRECTOTCORR_SUM,2000,24.29,3.77,7.15,19.45,29.39,5.03,2.05,7.48,4.11,26.35,2.63,17.62,149.32
PRECTOTCORR_SUM,2001,5.09,7.64,58.31,43.14,51.81,13.71,8.58,15.63,0.71,20.31,8.96,15.29,249.18
PRECTOTCORR_SUM,2002,5.35,4.0,16.81,50.88,44.99,30.7,20.99,22.22,3.65,13.31,5.61,11.28,229.79
PRECTOTCORR_SUM,2003,5.74,13.39,30.42,36.19,44.07,42.74,27.86,24.27,21.57,30.08,17.9,8.64,302.87
PRECTOTCORR_SUM,2004,5.41,18.05,25.24,36.52,66.7,38.53,18.53,6.63,4.45,22.75,12.58,2.28,257.67
PRECTOTCORR_SUM,2005,10.3,9.76,36.98,15.66,60.88,56.72,13.53,30.24,14.9,16.78,21.82,6.96,294.53
PRECTOTCORR_SUM,2006,18.39,14.88,13.63,75.01,28.8,9.01,26.09,2.86,13.83,47.08,3.47,6.07,259.12
PRECTOTCORR_SUM,2007,9.5,8.82,35.72,48.18,32.02,63.83,53.56,22.05,0.11,30.82,51.57,10.37,366.55
PRECTOTCORR_SUM,2008,11.46,9.69,15.5,26.22,58.73,49.5,13.88,10.86,24.42,22.19,4.63,17.51,264.59
PRECTOTCORR_SUM,2009,10.92,10.33,30.02,33.04,29.51,60.21,31.35,22.72,61.45,11.53,29.91,13.75,344.74
PRECTOTCORR_SUM,2010,28.21,14.95,22.78,62.9,79.64,20.57,16.32,10.65,14.58,71.44,0.0,1.97,344.01
PRECTOTCORR_SUM,2011,30.75,34.5,25.34,66.65,95.14,71.15,37.36,36.39,25.54,49.19,18.47,4.14,494.62
PRECTOTCORR_SUM,2012,12.25,19.2,21.79,26.19,51.31,45.61,30.33,8.27,50.81,24.9,25.05,23.01,338.72
PRECTOTCORR_SUM,2013,33.23,13.24,23.22,52.56,79.02,58.5,9.42,19.54,24.77,15.04,28.81,15.13,372.48
PRECTOTCORR_SUM,2014,16.76,8.2,20.76,21.0,73.93,55.42,28.88,4.69,39.66,44.21,31.06,14.93,359.5
PRECTOTCORR_SUM,2015,15.95,19.48,48.04,42.81,53.8,27.45,3.0,34.15,8.71,83.42,10.43,22.32,369.56
